,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4059,0,1970,2089
1,1,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,3710,0,1509,2201
2,2,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4399,0,1996,2403
3,3,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4564,0,2290,2274
4,4,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4571,0,2329,2242
5,5,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4398,0,2105,2293
6,6,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4396,0,2090,2306
7,7,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4055,0,1738,2317
8,8,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,5434,0,1157,4277
9,9,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,5434,0,2936,2498
10,10,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,3537,0,1263,2274
11,11,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,6459,0,2127,4332
12,12,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4228,0,1819,2409
13,13,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4573,0,2308,2265
14,14,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,5608,0,1484,4124
15,15,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,5432,0,3060,2372
16,16,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,5260,0,3026,2234
17,17,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,5251,0,2862,2389
18,18,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,5082,0,2763,2319
19,19,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,5436,0,1208,4228
20,20,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,5086,0,2921,2165
21,21,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4054,0,1668,2386
22,22,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,3703,0,1360,2343
23,23,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4916,0,2714,2202
24,24,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4908,0,2549,2359
25,25,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,5253,0,3054,2199
26,26,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,3882,0,1728,2154
27,27,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4567,0,2328,2239
28,28,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,3875,0,1552,2323
29,29,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4222,0,1752,2470
30,30,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,3709,0,1389,2320
31,31,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4388,0,2099,2289
32,32,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4225,0,1827,2398
33,33,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4567,0,2362,2205
34,34,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4912,0,2591,2321
35,35,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,5248,0,2962,2286
36,36,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,5425,0,1369,4056
37,37,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,3707,0,1318,2389
38,38,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,3707,0,1376,2331
39,39,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4571,0,2419,2152
40,40,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4046,0,1940,2106
41,41,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4913,0,2617,2296
42,42,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4054,0,1697,2357
43,43,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4907,0,2637,2270
44,44,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4568,0,2250,2318
45,45,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,4737,0,2451,2286
46,46,2472,SDL2_OpenGLES,image,SDL2_OpenGLES_image,fullscreen,3,getpixel,5255,0,2882,2373
