,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,5959,1037,1985,3974
1,1,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7514,2764,1307,6207
2,2,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7669,520,1096,6573
3,3,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6292,341,1113,5179
4,4,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8014,691,1095,6919
5,5,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6121,1547,2132,3989
6,6,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8199,2244,1257,6942
7,7,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6647,349,987,5660
8,8,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7162,864,1173,5989
9,9,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7497,512,1284,6213
10,10,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6464,1379,1140,5324
11,11,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6820,862,1330,5490
12,12,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7847,862,1132,6715
13,13,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8020,2757,1198,6822
14,14,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6294,1203,2148,4146
15,15,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6986,862,1347,5639
16,16,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7154,1892,1115,6039
17,17,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6815,1209,1201,5614
18,18,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6123,3097,1190,4933
19,19,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6809,691,912,5897
20,20,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7159,2066,3352,3807
21,21,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,5784,3965,1894,3890
22,22,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6294,342,2182,4112
23,23,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6293,862,2434,3859
24,24,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6292,862,1102,5190
25,25,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7674,2417,1289,6385
26,26,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7668,2576,992,6676
27,27,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6630,3959,1040,5590
28,28,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6639,171,2669,3970
29,29,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7507,341,1263,6244
30,30,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6802,2065,1184,5618
31,31,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7325,1723,1138,6187
32,32,2004,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7666,4135,1130,6536
