,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8883,11198,2968,5915
1,1,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8190,10504,3977,4213
2,2,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8536,10682,2315,6221
3,3,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,9056,11373,2927,6129
4,4,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8537,11024,4503,4034
5,5,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8030,10344,3637,4393
6,6,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,7676,9998,3572,4104
7,7,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,9042,11354,2810,6232
8,8,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8699,10840,2512,6187
9,9,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,7664,10152,3512,4152
10,10,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8716,11215,2599,6117
11,11,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,7498,9813,3334,4164
12,12,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8189,10504,3937,4252
13,13,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,7848,9992,3625,4223
14,14,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8533,10847,4472,4061
15,15,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8189,10682,2076,6113
16,16,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,9916,12409,3524,6392
17,17,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8364,10858,4178,4186
18,18,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,9553,11879,3464,6089
19,19,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,7849,10173,3787,4062
20,20,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,10781,13446,6885,3896
21,21,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8702,11199,2548,6154
22,22,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8526,10847,2349,6177
23,23,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,9224,11554,3191,6033
24,24,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8534,10855,2418,6116
25,25,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8184,10507,2242,5942
26,26,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,7667,9995,3514,4153
27,27,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8185,10339,3947,4238
28,28,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,9222,11549,3145,6077
29,29,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8369,10692,2314,6055
30,30,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,9228,11378,2884,6344
31,31,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,7665,9996,3634,4031
32,32,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,9228,11549,3061,6167
33,33,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8021,10352,3967,4054
34,34,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,9217,11545,3180,6037
35,35,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8541,10866,2378,6163
36,36,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,9229,11559,3135,6094
37,37,2307,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8364,10689,2280,6084
