,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2322,SFML,default,SFML_default,fullscreen,3,getdbits,6124,6373,-1,6125
1,1,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3702,5505,-1,3703
2,2,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3712,6032,-1,3713
3,3,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4223,4472,-1,4224
4,4,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3882,4309,-1,3883
5,5,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4056,4314,-1,4057
6,6,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4228,4485,-1,4229
7,7,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3706,3963,-1,3707
8,8,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4223,4480,-1,4224
9,9,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3541,5684,-1,3542
10,10,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3880,4129,-1,3881
11,11,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4913,5162,-1,4914
12,12,2322,SFML,default,SFML_default,fullscreen,3,getdbits,5089,5338,-1,5090
13,13,2322,SFML,default,SFML_default,fullscreen,3,getdbits,5089,5339,-1,5090
14,14,2322,SFML,default,SFML_default,fullscreen,3,getdbits,5255,5505,-1,5256
15,15,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4750,4828,-1,4751
16,16,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4572,4821,-1,4573
17,17,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4053,4302,-1,4054
18,18,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4744,4993,-1,4745
19,19,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4397,4654,-1,4398
20,20,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3703,6025,-1,3704
21,21,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4572,4822,-1,4573
22,22,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4573,4829,-1,4574
23,23,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4052,4301,-1,4053
24,24,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4402,4651,-1,4403
25,25,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4223,4472,-1,4224
26,26,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3881,4132,-1,3882
27,27,2322,SFML,default,SFML_default,fullscreen,3,getdbits,5085,5336,-1,5086
28,28,2322,SFML,default,SFML_default,fullscreen,3,getdbits,5259,5513,-1,5260
29,29,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4749,4999,-1,4750
30,30,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3540,5852,-1,3541
31,31,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4742,5000,-1,4743
32,32,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3533,3790,-1,3534
33,33,2322,SFML,default,SFML_default,fullscreen,3,getdbits,5092,5349,-1,5093
34,34,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4576,4825,-1,4577
35,35,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4237,4486,-1,4238
36,36,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4739,5159,-1,4740
37,37,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4573,4823,-1,4574
38,38,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3885,4134,-1,3886
39,39,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3889,4138,-1,3890
40,40,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4742,4991,-1,4743
41,41,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3875,4125,-1,3876
42,42,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4741,4990,-1,4742
43,43,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4228,4479,-1,4229
44,44,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3538,5854,-1,3539
45,45,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4055,4312,-1,4056
46,46,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3716,5869,-1,3717
47,47,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3533,3961,-1,3534
48,48,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3711,5859,-1,3712
49,49,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4054,4303,-1,4055
50,50,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3888,4137,-1,3889
51,51,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3539,5859,-1,3540
52,52,2322,SFML,default,SFML_default,fullscreen,3,getdbits,4750,5170,-1,4751
53,53,2322,SFML,default,SFML_default,fullscreen,3,getdbits,3363,5679,-1,3364
