,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3639,SFML,rects,SFML_rects,fullscreen,,none,24977,228,-1,24978
1,1,3639,SFML,rects,SFML_rects,fullscreen,,none,25246,353,-1,25247
2,2,3639,SFML,rects,SFML_rects,fullscreen,,none,38173,353,-1,38174
3,3,3639,SFML,rects,SFML_rects,fullscreen,,none,27655,183,-1,27656
4,4,3639,SFML,rects,SFML_rects,fullscreen,,none,31986,190,-1,31987
5,5,3639,SFML,rects,SFML_rects,fullscreen,,none,33517,183,-1,33518
6,6,3639,SFML,rects,SFML_rects,fullscreen,,none,49869,183,-1,49870
7,7,3639,SFML,rects,SFML_rects,fullscreen,,none,35065,182,-1,35066
8,8,3639,SFML,rects,SFML_rects,fullscreen,,none,37986,190,-1,37987
9,9,3639,SFML,rects,SFML_rects,fullscreen,,none,40398,352,-1,40399
10,10,3639,SFML,rects,SFML_rects,fullscreen,,none,41255,360,-1,41256
11,11,3639,SFML,rects,SFML_rects,fullscreen,,none,44166,362,-1,44167
12,12,3639,SFML,rects,SFML_rects,fullscreen,,none,68639,183,-1,68640
13,13,3639,SFML,rects,SFML_rects,fullscreen,,none,46280,183,-1,46281
14,14,3639,SFML,rects,SFML_rects,fullscreen,,none,52112,190,-1,52113
15,15,3639,SFML,rects,SFML_rects,fullscreen,,none,51757,182,-1,51758
16,16,3639,SFML,rects,SFML_rects,fullscreen,,none,54523,182,-1,54524
17,17,3639,SFML,rects,SFML_rects,fullscreen,,none,53822,353,-1,53823
18,18,3639,SFML,rects,SFML_rects,fullscreen,,none,56267,361,-1,56268
19,19,3639,SFML,rects,SFML_rects,fullscreen,,none,57315,182,-1,57316
20,20,3639,SFML,rects,SFML_rects,fullscreen,,none,62625,183,-1,62626
21,21,3639,SFML,rects,SFML_rects,fullscreen,,none,96537,353,-1,96538
22,22,3639,SFML,rects,SFML_rects,fullscreen,,none,63513,362,-1,63514
23,23,3639,SFML,rects,SFML_rects,fullscreen,,none,66450,182,-1,66451
24,24,3639,SFML,rects,SFML_rects,fullscreen,,none,66961,183,-1,66962
25,25,3639,SFML,rects,SFML_rects,fullscreen,,none,69340,362,-1,69341
26,26,3639,SFML,rects,SFML_rects,fullscreen,,none,72956,182,-1,72957
27,27,3639,SFML,rects,SFML_rects,fullscreen,,none,72479,183,-1,72480
28,28,3639,SFML,rects,SFML_rects,fullscreen,,none,75887,182,-1,75888
