,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3837,SFML,rects,SFML_rects,fullscreen,3,windup,56397,10858,46564,9833
1,1,3837,SFML,rects,SFML_rects,fullscreen,3,windup,49337,6885,46430,2907
2,2,3837,SFML,rects,SFML_rects,fullscreen,3,windup,46227,20482,35955,10272
3,3,3837,SFML,rects,SFML_rects,fullscreen,3,windup,65855,40103,51805,14050
4,4,3837,SFML,rects,SFML_rects,fullscreen,3,windup,46571,18593,42810,3761
5,5,3837,SFML,rects,SFML_rects,fullscreen,3,windup,51412,338,47235,4177
6,6,3837,SFML,rects,SFML_rects,fullscreen,3,windup,56568,21860,50750,5818
7,7,3837,SFML,rects,SFML_rects,fullscreen,3,windup,61193,8942,71077,-9884
8,8,3837,SFML,rects,SFML_rects,fullscreen,3,windup,60866,8082,58325,2541
9,9,3837,SFML,rects,SFML_rects,fullscreen,3,windup,55559,2926,60491,-4932
10,10,3837,SFML,rects,SFML_rects,fullscreen,3,windup,68801,13783,62436,6365
11,11,3837,SFML,rects,SFML_rects,fullscreen,3,windup,65369,5687,65154,215
12,12,3837,SFML,rects,SFML_rects,fullscreen,3,windup,65856,11186,65894,-38
13,13,3837,SFML,rects,SFML_rects,fullscreen,3,windup,92195,5342,92416,-221
14,14,3837,SFML,rects,SFML_rects,fullscreen,3,windup,72224,9461,70280,1944
15,15,3837,SFML,rects,SFML_rects,fullscreen,3,windup,69289,12387,72578,-3289
16,16,3837,SFML,rects,SFML_rects,fullscreen,3,windup,71377,12735,75080,-3703
17,17,3837,SFML,rects,SFML_rects,fullscreen,3,windup,78081,19276,76081,2000
18,18,3837,SFML,rects,SFML_rects,fullscreen,3,windup,75651,1033,76690,-1039
19,19,3837,SFML,rects,SFML_rects,fullscreen,3,windup,84458,14462,80086,4372
20,20,3837,SFML,rects,SFML_rects,fullscreen,3,windup,78230,4987,80675,-2445
21,21,3837,SFML,rects,SFML_rects,fullscreen,3,windup,78429,1032,82799,-4370
22,22,3837,SFML,rects,SFML_rects,fullscreen,3,windup,112370,46170,119424,-7054
23,23,3837,SFML,rects,SFML_rects,fullscreen,3,windup,80512,16531,86892,-6380
24,24,3837,SFML,rects,SFML_rects,fullscreen,3,windup,88415,2415,89782,-1367
25,25,3837,SFML,rects,SFML_rects,fullscreen,3,windup,92177,10148,90292,1885
26,26,3837,SFML,rects,SFML_rects,fullscreen,3,windup,80654,27021,92897,-12243
27,27,3837,SFML,rects,SFML_rects,fullscreen,3,windup,94973,6882,94511,462
28,28,3837,SFML,rects,SFML_rects,fullscreen,3,windup,97168,3094,96483,685
29,29,3837,SFML,rects,SFML_rects,fullscreen,3,windup,92547,1372,99312,-6765
30,30,3837,SFML,rects,SFML_rects,fullscreen,3,windup,99589,33901,100371,-782
31,31,3837,SFML,rects,SFML_rects,fullscreen,3,windup,103555,15480,101837,1718
32,32,3837,SFML,rects,SFML_rects,fullscreen,3,windup,96848,19614,104087,-7239
33,33,3837,SFML,rects,SFML_rects,fullscreen,3,windup,94108,24450,106519,-12411
34,34,3837,SFML,rects,SFML_rects,fullscreen,3,windup,101662,78836,108235,-6573
35,35,3837,SFML,rects,SFML_rects,fullscreen,3,windup,163130,5845,161556,1574
36,36,3837,SFML,rects,SFML_rects,fullscreen,3,windup,110255,20656,110971,-716
37,37,3837,SFML,rects,SFML_rects,fullscreen,3,windup,109071,38896,113940,-4869
38,38,3837,SFML,rects,SFML_rects,fullscreen,3,windup,102025,25125,115190,-13165
39,39,3837,SFML,rects,SFML_rects,fullscreen,3,windup,109936,4986,117169,-7233
40,40,3837,SFML,rects,SFML_rects,fullscreen,3,windup,120933,2921,119482,1451
41,41,3837,SFML,rects,SFML_rects,fullscreen,3,windup,117013,40472,121182,-4169
42,42,3837,SFML,rects,SFML_rects,fullscreen,3,windup,123506,8596,122997,509
