,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,1815,Skia,default,Skia_default,small,,none,13023,174,-1,13024
1,1,1815,Skia,default,Skia_default,small,,none,9227,520,-1,9228
2,2,1815,Skia,default,Skia_default,small,,none,13344,1031,-1,13345
3,3,1815,Skia,default,Skia_default,small,,none,8526,683,-1,8527
4,4,1815,Skia,default,Skia_default,small,,none,12324,344,-1,12325
5,5,1815,Skia,default,Skia_default,small,,none,8876,179,-1,8877
6,6,1815,Skia,default,Skia_default,small,,none,14386,690,-1,14387
7,7,1815,Skia,default,Skia_default,small,,none,9906,1031,-1,9907
8,8,1815,Skia,default,Skia_default,small,,none,8011,519,-1,8012
9,9,1815,Skia,default,Skia_default,small,,none,13018,349,-1,13019
10,10,1815,Skia,default,Skia_default,small,,none,8194,170,-1,8195
11,11,1815,Skia,default,Skia_default,small,,none,13187,521,-1,13188
12,12,1815,Skia,default,Skia_default,small,,none,13366,690,-1,13367
13,13,1815,Skia,default,Skia_default,small,,none,11969,518,-1,11970
14,14,1815,Skia,default,Skia_default,small,,none,12660,690,-1,12661
15,15,1815,Skia,default,Skia_default,small,,none,8366,520,-1,8367
16,16,1815,Skia,default,Skia_default,small,,none,12152,690,-1,12153
17,17,1815,Skia,default,Skia_default,small,,none,13003,519,-1,13004
18,18,1815,Skia,default,Skia_default,small,,none,12161,179,-1,12162
19,19,1815,Skia,default,Skia_default,small,,none,8711,171,-1,8712
20,20,1815,Skia,default,Skia_default,small,,none,12320,348,-1,12321
21,21,1815,Skia,default,Skia_default,small,,none,14058,1373,-1,14059
22,22,1815,Skia,default,Skia_default,small,,none,12838,2236,-1,12839
23,23,1815,Skia,default,Skia_default,small,,none,12674,520,-1,12675
24,24,1815,Skia,default,Skia_default,small,,none,13886,1901,-1,13887
25,25,1815,Skia,default,Skia_default,small,,none,15610,341,-1,15611
26,26,1815,Skia,default,Skia_default,small,,none,12663,341,-1,12664
27,27,1815,Skia,default,Skia_default,small,,none,13024,341,-1,13025
28,28,1815,Skia,default,Skia_default,small,,none,9742,342,-1,9743
29,29,1815,Skia,default,Skia_default,small,,none,9565,1377,-1,9566
30,30,1815,Skia,default,Skia_default,small,,none,11806,1896,-1,11807
