,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2492,Skia,image,Skia_image,fullscreen,,none,16618,0,-1,16619
1,1,2492,Skia,image,Skia_image,fullscreen,,none,16958,0,-1,16959
2,2,2492,Skia,image,Skia_image,fullscreen,,none,13512,0,-1,13513
3,3,2492,Skia,image,Skia_image,fullscreen,,none,12653,0,-1,12654
4,4,2492,Skia,image,Skia_image,fullscreen,,none,16266,0,-1,16267
5,5,2492,Skia,image,Skia_image,fullscreen,,none,28314,0,-1,28315
6,6,2492,Skia,image,Skia_image,fullscreen,,none,11802,0,-1,11803
7,7,2492,Skia,image,Skia_image,fullscreen,,none,16643,0,-1,16644
8,8,2492,Skia,image,Skia_image,fullscreen,,none,14898,0,-1,14899
9,9,2492,Skia,image,Skia_image,fullscreen,,none,16794,0,-1,16795
10,10,2492,Skia,image,Skia_image,fullscreen,,none,16434,0,-1,16435
11,11,2492,Skia,image,Skia_image,fullscreen,,none,15254,0,-1,15255
12,12,2492,Skia,image,Skia_image,fullscreen,,none,13856,0,-1,13857
13,13,2492,Skia,image,Skia_image,fullscreen,,none,13687,0,-1,13688
14,14,2492,Skia,image,Skia_image,fullscreen,,none,16288,0,-1,16289
15,15,2492,Skia,image,Skia_image,fullscreen,,none,13697,0,-1,13698
16,16,2492,Skia,image,Skia_image,fullscreen,,none,14374,0,-1,14375
17,17,2492,Skia,image,Skia_image,fullscreen,,none,16967,0,-1,16968
18,18,2492,Skia,image,Skia_image,fullscreen,,none,17137,0,-1,17138
19,19,2492,Skia,image,Skia_image,fullscreen,,none,11797,0,-1,11798
20,20,2492,Skia,image,Skia_image,fullscreen,,none,14385,0,-1,14386
21,21,2492,Skia,image,Skia_image,fullscreen,,none,16287,0,-1,16288
22,22,2492,Skia,image,Skia_image,fullscreen,,none,17480,0,-1,17481
23,23,2492,Skia,image,Skia_image,fullscreen,,none,15587,0,-1,15588
24,24,2492,Skia,image,Skia_image,fullscreen,,none,13858,0,-1,13859
25,25,2492,Skia,image,Skia_image,fullscreen,,none,13355,0,-1,13356
26,26,2492,Skia,image,Skia_image,fullscreen,,none,16439,0,-1,16440
