,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,19722,14804,-1,19723
1,1,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18517,0,-1,18518
2,2,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,19045,859,-1,19046
3,3,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,17302,12736,-1,17303
4,4,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18511,2752,-1,18512
5,5,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18698,7917,-1,18699
6,6,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,17129,16516,-1,17130
7,7,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18506,0,-1,18507
8,8,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,17485,858,-1,17486
9,9,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18523,7235,-1,18524
10,10,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,17654,1201,-1,17655
11,11,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18002,12741,-1,18003
12,12,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,19378,6371,-1,19379
13,13,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18530,0,-1,18531
14,14,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,19034,11878,-1,19035
15,15,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18856,14634,-1,18857
16,16,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,17314,1891,-1,17315
17,17,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,19715,2230,-1,19716
18,18,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,19390,4989,-1,19391
19,19,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18348,16021,-1,18349
20,20,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18681,11705,-1,18682
21,21,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,17480,0,-1,17481
22,22,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,17831,0,-1,17832
23,23,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18332,4984,-1,18333
24,24,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18337,1883,-1,18338
25,25,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,19386,7566,-1,19387
26,26,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18858,15839,-1,18859
27,27,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,17824,7399,-1,17825
28,28,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,19043,6362,-1,19044
29,29,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,17661,5502,-1,17662
30,30,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,19207,692,-1,19208
31,31,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,17313,11194,-1,17314
32,32,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18008,9472,-1,18009
33,33,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,19372,15657,-1,19373
34,34,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,19207,0,-1,19208
35,35,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,19026,849,-1,19027
36,36,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,17831,1541,-1,17832
37,37,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18000,7057,-1,18001
38,38,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,17990,0,-1,17991
39,39,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18510,13417,-1,18511
40,40,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18875,2238,-1,18876
41,41,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,17989,1203,-1,17990
42,42,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18347,7061,-1,18348
43,43,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,17654,859,-1,17655
44,44,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,17300,858,-1,17301
45,45,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18001,6195,-1,18002
46,46,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18690,8600,-1,18691
47,47,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,19383,11194,-1,19384
48,48,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18356,4650,-1,18357
49,49,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,19700,1889,-1,19701
50,50,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18543,0,-1,18544
51,51,3850,Skia,rects,Skia_rects,fullscreen,3,getpixel,18179,346,-1,18180
