,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9061,11203,3185,5876
1,1,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7844,10337,2067,5777
2,2,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8360,10676,2382,5978
3,3,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7854,9996,1911,5943
4,4,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8364,10683,1980,6384
5,5,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8182,10498,4064,4118
6,6,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8185,10330,1871,6314
7,7,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9053,11370,4860,4193
8,8,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9046,11191,2635,6411
9,9,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8016,10334,4048,3968
10,10,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8355,10504,1936,6419
11,11,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,6642,8786,2487,4155
12,12,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8709,10856,2245,6464
13,13,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8358,10675,1938,6420
14,14,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8354,10672,2003,6351
15,15,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7843,9984,1485,6358
16,16,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9053,11368,2686,6367
17,17,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8185,10330,2159,6026
18,18,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7323,9639,3301,4022
19,19,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8541,11027,2189,6352
20,20,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9566,11718,3026,6540
21,21,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8367,10686,4331,4036
22,22,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8189,10508,1724,6465
23,23,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7150,9466,2825,4325
24,24,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8887,11032,2677,6210
25,25,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8355,10678,2086,6269
26,26,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7677,9994,1290,6387
27,27,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7847,10164,1684,6163
28,28,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7851,9997,1396,6455
29,29,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8712,11028,2508,6204
30,30,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8186,10499,3996,4190
31,31,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7675,9998,1688,5987
32,32,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9059,11203,2763,6296
33,33,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9394,11709,5699,3695
34,34,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7489,9803,1232,6257
35,35,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7503,9650,1200,6303
36,36,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7840,10155,1427,6413
37,37,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7665,9808,1192,6473
38,38,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8183,10668,2107,6076
39,39,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7505,9831,1361,6144
40,40,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7498,9814,1095,6403
41,41,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7326,9819,1230,6096
42,42,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,6810,8954,2515,4295
43,43,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8189,10511,1989,6200
44,44,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7670,9820,1278,6392
45,45,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8014,10328,1827,6187
46,46,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8363,10690,4144,4219
47,47,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8528,10673,2115,6413
48,48,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7845,9998,1365,6480
49,49,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7842,10166,1589,6253
50,50,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,6977,9301,3115,3862
51,51,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7494,9815,3337,4157
52,52,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8705,11024,2480,6225
53,53,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,6636,8957,2452,4184
54,54,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9045,11198,2767,6278
55,55,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8360,10513,2061,6299
56,56,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9219,11541,2998,6221
57,57,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8359,10519,2023,6336
58,58,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8528,10854,2264,6264
59,59,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8020,10346,1853,6167
60,60,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8361,10687,2347,6014
61,61,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7498,9640,1278,6220
62,62,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8185,10510,2290,5895
63,63,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8186,10507,1858,6328
64,64,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7668,9990,1542,6126
65,65,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7669,9820,1004,6665
66,66,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8872,11189,2511,6361
67,67,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9047,11367,2767,6280
68,68,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7153,9473,2926,4227
69,69,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7337,9485,3149,4188
70,70,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7677,9992,1426,6251
71,71,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8878,11019,2523,6355
72,72,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7842,10334,3695,4147
73,73,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7844,10159,1572,6272
74,74,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8012,10158,1207,6805
75,75,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7672,9822,1456,6216
76,76,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9046,11191,2652,6394
77,77,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9219,11534,3048,6171
78,78,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,6465,8612,2234,4231
79,79,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9395,11709,3084,6311
80,80,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8875,11189,2765,6110
81,81,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8707,10855,2271,6436
82,82,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7841,10156,1683,6158
83,83,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,6647,8961,2588,4059
84,84,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7839,9983,1120,6719
85,85,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9216,11361,2965,6251
86,86,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8536,10679,4201,4335
87,87,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8546,10860,2250,6296
88,88,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7687,9831,1346,6341
89,89,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7844,10158,1544,6300
90,90,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8541,10863,2130,6411
91,91,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9054,11201,2917,6137
92,92,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7845,9993,1133,6712
93,93,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8009,10326,3601,4408
94,94,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7678,9990,1650,6028
95,95,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8874,11017,2541,6333
96,96,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8368,10689,2032,6336
97,97,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8705,11020,2469,6236
98,98,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,5607,7755,1179,4428
99,99,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7679,10001,1339,6340
100,100,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8004,10156,1460,6544
101,101,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9047,11190,2696,6351
102,102,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9396,11716,3082,6314
103,103,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7850,10000,1524,6326
104,104,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8179,10495,1861,6318
105,105,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9047,11197,2818,6229
106,106,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,6649,8970,2587,4062
107,107,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8346,10493,1702,6644
108,108,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8530,10851,2237,6293
109,109,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7156,9471,2838,4318
110,110,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9228,11547,2948,6280
111,111,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8873,10848,2530,6343
112,112,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9047,11361,2640,6407
113,113,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,7323,9637,3050,4273
114,114,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,8527,10670,2163,6364
115,115,2318,WinAPI,default,WinAPI_default,fullscreen,2,getdbits,9046,11532,2745,6301
