,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,14101,4294967164,10061,4040
1,1,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11976,4294967164,8585,3391
2,2,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11464,4294967164,9129,2335
3,3,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11124,4294967164,7135,3989
4,4,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13557,4294967164,9660,3897
5,5,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11120,4294967164,7027,4093
6,6,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12497,4294967164,8650,3847
7,7,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12501,4294967164,8543,3958
8,8,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,9745,4294967164,5758,3987
9,9,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,10092,4294967164,6295,3797
10,10,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12509,4294967164,8412,4097
11,11,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12164,4294967164,8470,3694
12,12,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11814,4294967164,7934,3880
13,13,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,14054,4294967164,10141,3913
14,14,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,10272,4294967164,6211,4061
15,15,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11642,4294967164,7712,3930
16,16,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12504,4294967164,8625,3879
17,17,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12348,4294967164,8620,3728
18,18,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11983,4294967164,9056,2927
19,19,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12856,4294967164,9012,3844
20,20,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11310,4294967164,7505,3805
21,21,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11984,4294967164,8180,3804
22,22,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11646,4294967164,8034,3612
23,23,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12692,4294967164,8782,3910
24,24,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12854,4294967164,9074,3780
25,25,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11648,4294967164,7801,3847
26,26,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12846,4294967164,9145,3701
27,27,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12349,4294967164,8786,3563
28,28,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,14056,4294967164,10159,3897
29,29,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12158,4294967164,8168,3990
30,30,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13186,4294967164,8971,4215
31,31,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11809,4294967164,8240,3569
32,32,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11469,4294967164,7564,3905
33,33,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13036,4294967164,9069,3967
34,34,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12856,4294967164,8859,3997
35,35,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12511,4294967164,8656,3855
36,36,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,10951,4294967164,7320,3631
37,37,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12324,4294967164,8600,3724
38,38,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12330,4294967164,8589,3741
39,39,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12323,4294967164,8577,3746
40,40,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,10780,4294967164,6936,3844
41,41,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12330,4294967164,8493,3837
42,42,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11819,4294967164,7967,3852
43,43,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13379,4294967164,9501,3878
44,44,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11125,4294967164,7259,3866
45,45,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11141,4294967164,7258,3883
46,46,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13196,4294967164,9146,4050
47,47,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11477,4294967164,7414,4063
48,48,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12693,4294967164,8680,4013
49,49,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12858,4294967164,8789,4069
50,50,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12348,4294967164,8453,3895
51,51,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11653,4294967164,7759,3894
52,52,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13031,4294967164,9161,3870
53,53,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12337,4294967164,8491,3846
54,54,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12175,4294967164,8336,3839
55,55,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,9909,4294967164,5989,3920
56,56,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13706,4294967164,9894,3812
57,57,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12330,4294967164,8343,3987
58,58,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13544,4294967164,9546,3998
59,59,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12682,4294967164,8934,3748
60,60,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12846,4294967164,9331,3515
61,61,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,14047,4294967164,10021,4026
62,62,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11480,4294967164,8823,2657
63,63,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12325,4294967164,8579,3746
64,64,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13187,4294967164,9143,4044
65,65,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12864,4294967164,9111,3753
66,66,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12176,4294967164,8223,3953
67,67,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13032,4294967164,8941,4091
68,68,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13036,4294967164,9201,3835
69,69,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11468,4294967164,7748,3720
70,70,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13883,4294967164,9714,4169
71,71,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12153,4294967164,8344,3809
72,72,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12495,4294967164,8818,3677
73,73,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11995,4294967164,8184,3811
74,74,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12156,4294967164,8419,3737
75,75,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11119,4294967164,8670,2449
76,76,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13544,4294967164,9544,4000
77,77,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13025,4294967164,9326,3699
78,78,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13185,4294967164,9204,3981
79,79,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13199,4294967164,9157,4042
80,80,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12000,4294967164,8363,3637
81,81,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12323,4294967164,8480,3843
82,82,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13697,4294967164,9943,3754
83,83,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11631,4294967164,7782,3849
84,84,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13706,4294967164,9970,3736
85,85,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13016,4294967164,9141,3875
86,86,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11988,4294967164,8019,3969
87,87,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,14237,4294967164,10178,4059
88,88,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,17497,4294967164,13451,4046
89,89,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13536,4294967164,9781,3755
90,90,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,9745,4294967164,5904,3841
91,91,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13021,4294967164,9114,3907
92,92,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11987,4294967164,8276,3711
93,93,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13194,4294967164,9293,3901
94,94,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12348,4294967164,8415,3933
95,95,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12160,4294967164,8251,3909
96,96,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11822,4294967164,7921,3901
97,97,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12516,4294967164,8643,3873
98,98,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,14233,4294967164,10310,3923
99,99,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11814,4294967164,7948,3866
100,100,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12164,4294967164,8271,3893
101,101,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12342,4294967164,8445,3897
102,102,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11986,4294967164,8027,3959
103,103,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11997,4294967164,9460,2537
104,104,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,9750,4294967164,6019,3731
105,105,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,15782,4294967164,11686,4096
106,106,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13535,4294967164,9390,4145
107,107,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13368,4294967164,9612,3756
108,108,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11472,4294967164,7842,3630
109,109,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,14237,4294967164,10185,4052
110,110,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13891,4294967164,9905,3986
111,111,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12340,4294967164,8457,3883
112,112,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12676,4294967164,8948,3728
113,113,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12337,4294967164,8526,3811
114,114,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,14400,4294967164,10383,4017
115,115,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13359,4294967164,9297,4062
116,116,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12863,4294967164,8938,3925
117,117,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,10952,4294967164,8422,2530
118,118,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12508,4294967164,8570,3938
119,119,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,15247,4294967164,11210,4037
120,120,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13210,4294967164,9399,3811
121,121,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11126,4294967164,7189,3937
122,122,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12857,4294967164,8981,3876
123,123,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11985,4294967164,8284,3701
124,124,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,9573,4294967164,5632,3941
125,125,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,12669,4294967164,8823,3846
126,126,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,14049,4294967164,10306,3743
127,127,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,13024,4294967164,9170,3854
128,128,2387,WinUI,default,WinUI_default,no_fullscreen,2,bitblt,11646,4294967164,7742,3904
