,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,106501,26171,-1,106502
1,1,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,112525,10839,-1,112526
2,2,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,102855,2062,-1,102856
3,3,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,100495,6370,-1,100496
4,4,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,104777,1541,-1,104778
5,5,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,102739,6540,-1,102740
6,6,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,115440,3094,-1,115441
7,7,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,100630,1028,-1,100631
8,8,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101653,16004,-1,101654
9,9,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,97358,1720,-1,97359
10,10,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,120953,10845,-1,120954
11,11,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101692,2063,-1,101693
12,12,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101314,4127,-1,101315
13,13,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,102692,16524,-1,102693
14,14,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101370,13603,-1,101371
15,15,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,117840,16358,-1,117841
16,16,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,100617,2753,-1,100618
17,17,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,97528,339,-1,97529
18,18,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,99941,4985,-1,99942
19,19,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,129212,4985,-1,129213
20,20,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,102351,2234,-1,102352
21,21,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101668,3268,-1,101669
22,22,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,100167,23935,-1,100168
23,23,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,105141,8777,-1,105142
24,24,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,125752,15490,-1,125753
25,25,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,99934,9114,-1,99935
26,26,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,102192,9292,-1,102193
27,27,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101319,17375,-1,101320
28,28,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,100478,2069,-1,100479
29,29,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,126987,33930,-1,126988
30,30,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,99923,2922,-1,99924
31,31,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,100984,32191,-1,100985
32,32,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101550,3608,-1,101551
33,33,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,100107,3964,-1,100108
34,34,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,130582,5859,-1,130583
35,35,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101478,5504,-1,101479
36,36,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101362,26867,-1,101363
37,37,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,102694,12207,-1,102695
38,38,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,130588,4992,-1,130589
39,39,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101371,691,-1,101372
40,40,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,103078,9637,-1,103079
41,41,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,100642,2921,-1,100643
42,42,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,100296,22200,-1,100297
43,43,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,137674,21348,-1,137675
44,44,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,99073,19794,-1,99074
45,45,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,99632,6204,-1,99633
46,46,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,100653,5675,-1,100654
47,47,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101990,5680,-1,101991
48,48,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,147590,338,-1,147591
49,49,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,98554,16701,-1,98555
50,50,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,102185,3271,-1,102186
51,51,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,98419,2402,-1,98420
52,52,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,154236,13777,-1,154237
53,53,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,102724,5681,-1,102725
54,54,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,100098,6019,-1,100099
55,55,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101147,3776,-1,101148
56,56,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101532,859,-1,101533
57,57,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,143325,2580,-1,143326
58,58,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101694,33593,-1,101695
59,59,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,100811,5852,-1,100812
60,60,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101846,5684,-1,101847
61,61,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,103723,11693,-1,103724
62,62,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,145205,15146,-1,145206
63,63,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,100529,1033,-1,100530
64,64,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101686,35129,-1,101687
65,65,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,100608,8778,-1,100609
66,66,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,149170,5154,-1,149171
67,67,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101844,17724,-1,101845
68,68,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,104426,858,-1,104427
69,69,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,102252,2581,-1,102253
70,70,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,100882,51832,-1,100883
71,71,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,154557,11020,-1,154558
72,72,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,108359,1368,-1,108360
73,73,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,103608,2928,-1,103609
74,74,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,103948,8091,-1,103949
75,75,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,102325,4823,-1,102326
76,76,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,154622,11523,-1,154623
77,77,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,100478,1716,-1,100479
78,78,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101544,9292,-1,101545
79,79,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,100449,8782,-1,100450
80,80,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,157633,2404,-1,157634
81,81,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,102191,1208,-1,102192
82,82,3861,pyglet,3D,pyglet_3D,fullscreen,3,getpixel,101343,2932,-1,101344
