,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,103231,4131,99727,3504
1,1,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,112868,4819,107667,5201
2,2,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,101835,1545,96775,5060
3,3,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,104769,1028,99068,5701
4,4,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,100859,1718,97798,3061
5,5,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,100327,863,96389,3938
6,6,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,115647,5677,110742,4905
7,7,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,102058,4990,97720,4338
8,8,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,101084,1544,97088,3996
9,9,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,95641,1890,93842,1799
10,10,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,116694,3957,114605,2089
11,11,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,101365,2064,97502,3863
12,12,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,99654,347,97254,2400
13,13,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,102568,2581,97306,5262
14,14,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,102737,5162,98444,4293
15,15,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,114927,1028,112241,2686
16,16,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,99453,1882,97025,2428
17,17,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,98748,4125,93638,5110
18,18,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,100492,688,95173,5319
19,19,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,121919,2060,119566,2353
20,20,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,101469,5498,96786,4683
21,21,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,99818,4648,96103,3715
22,22,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,101845,517,96744,5101
23,23,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,102902,518,97734,5168
24,24,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,122054,2237,117243,4811
25,25,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,100814,1030,95861,4953
26,26,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,100983,3263,98037,2946
27,27,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,99253,1541,96310,2943
28,28,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,102692,3440,96966,5726
29,29,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,121641,2231,118597,3044
30,30,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,100458,1028,94619,5839
31,31,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,99772,1031,96366,3406
32,32,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,99059,168,95798,3261
33,33,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,99793,3101,95433,4360
34,34,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,123499,1201,120479,3020
35,35,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,100440,3093,97372,3068
36,36,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,101501,2403,96908,4593
37,37,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,103728,346,98740,4988
38,38,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,125989,687,123113,2876
39,39,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,97846,167,94498,3348
40,40,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,101826,1037,96892,4934
41,41,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,101496,340,96628,4868
42,42,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,97891,1030,95563,2328
43,43,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,131658,339,127420,4238
44,44,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,99070,168,96636,2434
45,45,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,99934,1383,96158,3776
46,46,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,101309,3093,97749,3560
47,47,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,100966,7575,97950,3016
48,48,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,137966,8431,134870,3096
49,49,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,97006,2413,94375,2631
50,50,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,99247,1027,96144,3103
51,51,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,97359,2922,94375,2984
52,52,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,151575,2752,148711,2864
53,53,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,102906,3608,99456,3450
54,54,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,100134,3273,95793,4341
55,55,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,101651,4987,96795,4856
56,56,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,101173,2921,97958,3215
57,57,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,137137,1895,134285,2852
58,58,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,100961,2241,97632,3329
59,59,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,99968,2749,96256,3712
60,60,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,101804,4467,98044,3760
61,61,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,99936,339,96998,2938
62,62,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,144597,339,138885,5712
63,63,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,100275,3093,96483,3792
64,64,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,101109,1719,97628,3481
65,65,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,100783,2403,96202,4581
66,66,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,145114,4305,140813,4301
67,67,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,102752,344,97794,4958
68,68,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,101562,687,97134,4428
69,69,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,99827,167,97859,1968
70,70,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,101517,7225,97049,4468
71,71,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,144944,3615,140474,4470
72,72,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,101228,7053,97889,3339
73,73,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,102513,7745,98616,3897
74,74,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,100546,2924,97507,3039
75,75,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,102410,4480,97546,4864
76,76,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,145122,2402,142337,2785
77,77,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,101189,2402,96628,4561
78,78,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,99626,168,96109,3517
79,79,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,103455,175,98897,4558
80,80,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,150726,859,147134,3592
81,81,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,100124,5164,96768,3356
82,82,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,99284,7226,96367,2917
83,83,3879,pyglet,3D,pyglet_3D,fullscreen,3,windup,99141,1369,95215,3926
