,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9230,11552,3192,6038
1,1,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9052,11378,3154,5898
2,2,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9735,12059,3641,6094
3,3,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9212,11537,5694,3518
4,4,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9042,11361,5623,3419
5,5,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10949,13278,4265,6684
6,6,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10764,12915,4849,5915
7,7,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10955,13286,5094,5861
8,8,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10253,12575,4503,5750
9,9,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10425,12747,4501,5924
10,10,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9051,11207,5411,3640
11,11,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,8879,11203,4917,3962
12,12,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9744,12069,3817,5927
13,13,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9738,11885,6075,3663
14,14,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,8869,11364,5130,3739
15,15,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9907,12233,3975,5932
16,16,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10080,12400,3878,6202
17,17,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10252,12398,4596,5656
18,18,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,8878,11201,5094,3784
19,19,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10779,13093,4352,6427
20,20,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10946,13269,5162,5784
21,21,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9223,11540,5710,3513
22,22,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9746,12068,5954,3792
23,23,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9392,11706,3305,6087
24,24,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9917,12238,3973,5944
25,25,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9578,11891,3400,6178
26,26,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9234,11210,5034,4200
27,27,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10613,12930,4768,5845
28,28,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,8872,11366,4871,4001
29,29,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9572,11887,5549,4023
30,30,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10608,12753,4529,6079
31,31,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9243,11561,5074,4169
32,32,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10599,12917,4594,6005
33,33,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10261,12575,4364,5897
34,34,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10777,13092,4939,5838
35,35,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9068,11555,3042,6026
36,36,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9744,12062,3561,6183
37,37,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9909,12226,3793,6116
38,38,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9912,12227,3765,6147
39,39,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9912,12226,3756,6156
40,40,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9048,11368,5351,3697
41,41,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10267,12584,4246,6021
42,42,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9741,12058,5611,4130
43,43,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,8711,11196,4782,3929
44,44,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,8544,11036,5254,3290
45,45,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,11116,13432,5476,5640
46,46,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9398,11883,3317,6081
47,47,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,8544,10862,4958,3586
48,48,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9748,12063,3721,6027
49,49,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9567,11711,3339,6228
50,50,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9044,11359,5253,3791
51,51,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9563,11875,3701,5862
52,52,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10430,12751,4150,6280
53,53,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,8540,10853,4940,3600
54,54,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10436,12579,4411,6025
55,55,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,10949,13261,5135,5814
56,56,2303,pyqt5,default,pyqt5_default,fullscreen,2,bitblt,9910,12228,3680,6230
