,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,1999,pyqt5,default,pyqt5_default,small,5,getpixel,6464,5857,2032,4432
1,1,1999,pyqt5,default,pyqt5_default,small,5,getpixel,7843,10679,1364,6479
2,2,1999,pyqt5,default,pyqt5_default,small,5,getpixel,7334,690,3646,3688
3,3,1999,pyqt5,default,pyqt5_default,small,5,getpixel,8195,2415,1382,6813
4,4,1999,pyqt5,default,pyqt5_default,small,5,getpixel,7676,170,1117,6559
5,5,1999,pyqt5,default,pyqt5_default,small,5,getpixel,7676,2584,1369,6307
6,6,1999,pyqt5,default,pyqt5_default,small,5,getpixel,9396,1032,3694,5702
7,7,1999,pyqt5,default,pyqt5_default,small,5,getpixel,7843,340,1790,6053
8,8,1999,pyqt5,default,pyqt5_default,small,5,getpixel,7840,861,1642,6198
9,9,1999,pyqt5,default,pyqt5_default,small,5,getpixel,7501,8263,3842,3659
10,10,1999,pyqt5,default,pyqt5_default,small,5,getpixel,6983,171,2606,4377
11,11,1999,pyqt5,default,pyqt5_default,small,5,getpixel,6647,861,2959,3688
12,12,1999,pyqt5,default,pyqt5_default,small,5,getpixel,7677,512,1254,6423
13,13,1999,pyqt5,default,pyqt5_default,small,5,getpixel,7667,9119,3941,3726
14,14,1999,pyqt5,default,pyqt5_default,small,5,getpixel,8021,6374,1288,6733
15,15,1999,pyqt5,default,pyqt5_default,small,5,getpixel,6815,1202,2756,4059
16,16,1999,pyqt5,default,pyqt5_default,small,5,getpixel,7680,7578,1382,6298
17,17,1999,pyqt5,default,pyqt5_default,small,5,getpixel,9045,1032,3193,5852
18,18,1999,pyqt5,default,pyqt5_default,small,5,getpixel,9396,2414,3448,5948
19,19,1999,pyqt5,default,pyqt5_default,small,5,getpixel,8368,8275,4914,3454
20,20,1999,pyqt5,default,pyqt5_default,small,5,getpixel,7507,2416,3893,3614
21,21,1999,pyqt5,default,pyqt5_default,small,5,getpixel,8532,8611,4888,3644
22,22,1999,pyqt5,default,pyqt5_default,small,5,getpixel,9215,853,3212,6003
23,23,1999,pyqt5,default,pyqt5_default,small,5,getpixel,7320,3438,3700,3620
24,24,1999,pyqt5,default,pyqt5_default,small,5,getpixel,8180,1891,1314,6866
25,25,1999,pyqt5,default,pyqt5_default,small,5,getpixel,6817,2238,2707,4110
26,26,1999,pyqt5,default,pyqt5_default,small,5,getpixel,7503,177,3765,3738
27,27,1999,pyqt5,default,pyqt5_default,small,5,getpixel,6979,5503,3239,3740
28,28,1999,pyqt5,default,pyqt5_default,small,5,getpixel,7148,7226,3556,3592
29,29,1999,pyqt5,default,pyqt5_default,small,5,getpixel,8353,1204,4821,3532
30,30,1999,pyqt5,default,pyqt5_default,small,5,getpixel,6640,350,2503,4137
31,31,1999,pyqt5,default,pyqt5_default,small,5,getpixel,7500,8612,3910,3590
