,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,11287,13602,-1,11288
1,1,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,14221,16539,-1,14222
2,2,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,15432,17235,-1,15433
3,3,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,13880,16366,-1,13881
4,4,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,10764,13086,-1,10765
5,5,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,9393,11706,-1,9394
6,6,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,13184,15498,-1,13185
7,7,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,13692,15836,-1,13693
8,8,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,14232,16544,-1,14233
9,9,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,10600,12916,-1,10601
10,10,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,14747,17240,-1,14748
11,11,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,16115,18607,-1,16116
12,12,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,11975,14118,-1,11976
13,13,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,14568,16712,-1,14569
14,14,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,13869,16183,-1,13870
15,15,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,14550,16880,-1,14551
16,16,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,14556,16877,-1,14557
17,17,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,13690,15836,-1,13691
18,18,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,14218,16360,-1,14219
19,19,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,15423,17748,-1,15424
20,20,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,14383,16710,-1,14384
21,21,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,14549,16879,-1,14550
22,22,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,14387,16879,-1,14388
23,23,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,14559,16881,-1,14560
24,24,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,13195,15512,-1,13196
25,25,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,13345,15668,-1,13346
26,26,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,14211,16533,-1,14212
27,27,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,14050,16381,-1,14051
28,28,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,14720,17050,-1,14721
29,29,2336,pyqt5,default,pyqt5_default,no_fullscreen,,none,14562,16719,-1,14563
