,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4920,5169,3029,1891
1,1,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4403,4823,2288,2115
2,2,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,3719,6204,3427,292
3,3,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4578,4998,1953,2625
4,4,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5442,5691,2232,3210
5,5,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4910,5330,1940,2970
6,6,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5608,5857,3570,2038
7,7,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4575,4995,2166,2409
8,8,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4741,5161,2343,2398
9,9,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5941,6190,4030,1911
10,10,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4571,4820,2100,2471
11,11,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,3886,6205,2202,1684
12,12,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5438,5859,2182,3256
13,13,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5611,5860,3529,2082
14,14,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4920,5173,2037,2883
15,15,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4223,4643,4259,-36
16,16,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,3887,6206,3840,47
17,17,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4739,4989,2169,2570
18,18,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5256,5678,2230,3026
19,19,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5602,5852,3053,2549
20,20,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4229,4650,2258,1971
21,21,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5255,5504,1979,3276
22,22,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4230,4650,2055,2175
23,23,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4050,6369,2123,1927
24,24,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5084,5334,2198,2886
25,25,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5782,6031,3851,1931
26,26,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4574,4824,1983,2591
27,27,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4740,4819,2205,2535
28,28,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4225,4993,2009,2216
29,29,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4055,6376,2145,1910
30,30,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4575,4824,2195,2380
31,31,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4398,4817,2115,2283
32,32,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5601,5850,2090,3511
33,33,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5255,5505,1856,3399
34,34,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4059,6202,1994,2065
35,35,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5433,5512,2073,3360
36,36,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5081,5502,2216,2865
37,37,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5947,6197,3769,2178
38,38,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5773,6023,3624,2149
39,39,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5262,5686,2938,2324
40,40,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4916,4822,2065,2851
41,41,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5782,6032,3710,2072
42,42,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5256,5684,2137,3119
43,43,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4222,6541,4231,-9
44,44,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4228,4648,2086,2142
45,45,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5951,6200,3394,2557
46,46,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,3887,6202,3881,6
47,47,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4223,4652,2143,2080
48,48,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5778,6028,3681,2097
49,49,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4911,5167,2071,2840
50,50,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4918,5175,2165,2753
51,51,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4564,4992,2021,2543
52,52,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5602,5859,3613,1989
53,53,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5087,5514,2037,3050
54,54,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5594,5851,3477,2117
55,55,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5597,6025,3254,2343
56,56,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,4225,6376,4016,209
57,57,2324,pyqt6_quick,default,pyqt6_quick_default,no_fullscreen,2,getpixel,5260,5688,2069,3191
