,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25071,3969,-1,25072
1,1,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,21806,8779,-1,21807
2,2,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25061,6017,-1,25062
3,3,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25238,5337,-1,25239
4,4,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,44833,1028,-1,44834
5,5,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,26255,2913,-1,26256
6,6,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24023,10494,-1,24024
7,7,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24705,3613,-1,24706
8,8,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,26086,2407,-1,26087
9,9,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25739,5328,-1,25740
10,10,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,23698,10333,-1,23699
11,11,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24704,2063,-1,24705
12,12,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,22290,8086,-1,22291
13,13,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,21275,2238,-1,21276
14,14,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25922,4134,-1,25923
15,15,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25733,687,-1,25734
16,16,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25906,8778,-1,25907
17,17,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24535,10503,-1,24536
18,18,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24376,2074,-1,24377
19,19,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25426,3442,-1,25427
20,20,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,22149,859,-1,22150
21,21,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25055,7743,-1,25056
22,22,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24535,2581,-1,24536
23,23,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,34531,11025,-1,34532
24,24,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25398,1201,-1,25399
25,25,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25222,3607,-1,25223
26,26,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,40375,508,-1,40376
27,27,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25908,2753,-1,25909
28,28,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24187,4465,-1,24188
29,29,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24880,6880,-1,24881
30,30,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24356,3433,-1,24357
31,31,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25080,8960,-1,25081
32,32,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25736,13243,-1,25737
33,33,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25570,5336,-1,25571
34,34,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25754,517,-1,25755
35,35,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,26088,3438,-1,26089
36,36,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24203,1029,-1,24204
37,37,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,23849,16700,-1,23850
38,38,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24523,4467,-1,24524
39,39,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25230,1719,-1,25231
40,40,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,26090,7910,-1,26091
41,41,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24542,2245,-1,24543
42,42,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,27300,6193,-1,27301
43,43,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24366,1029,-1,24367
44,44,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,20232,8783,-1,20233
45,45,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25564,4125,-1,25565
46,46,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,38488,4473,-1,38489
47,47,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24731,10512,-1,24732
48,48,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25741,4471,-1,25742
49,49,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25739,338,-1,25740
50,50,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,27297,2929,-1,27298
51,51,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25050,12384,-1,25051
52,52,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25915,1891,-1,25916
53,53,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,49858,1028,-1,49859
54,54,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25569,1369,-1,25570
55,55,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24714,9807,-1,24715
56,56,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24042,4477,-1,24043
57,57,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24028,4126,-1,24029
58,58,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,26771,3435,-1,26772
59,59,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,23845,6197,-1,23846
60,60,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24194,4128,-1,24195
61,61,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,23673,8258,-1,23674
62,62,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24199,11542,-1,24200
63,63,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25051,8275,-1,25052
64,64,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,25224,2753,-1,25225
65,65,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,24042,168,-1,24043
66,66,3853,pyqt6,rects,pyqt6_rects,fullscreen,,none,48294,4305,-1,48295
