,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,22716,4294967164,11669,11047
1,1,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,19236,4294967164,15195,4041
2,2,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,21293,4294967164,17140,4153
3,3,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,22666,4294967164,16635,6031
4,4,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,24241,4294967164,18152,6089
5,5,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,24394,4294967164,20185,4209
6,6,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,25589,4294967164,21246,4343
7,7,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,27831,4294967164,21580,6251
8,8,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,29380,4294967164,25205,4175
9,9,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,29232,4294967164,23032,6200
10,10,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,30418,4294967164,26347,4071
11,11,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,30571,4294967164,26857,3714
12,12,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,33688,4294967164,27439,6249
13,13,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,34918,4294967164,28771,6147
14,14,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,37828,4294967164,33574,4254
15,15,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,37127,4294967164,30999,6128
16,16,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,38687,4294967164,34564,4123
17,17,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,38512,4294967164,34332,4180
18,18,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,40252,4294967164,36092,4160
19,19,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,41764,4294967164,35724,6040
20,20,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,43841,4294967164,37623,6218
21,21,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,43521,4294967164,37402,6119
22,22,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,47470,4294967164,43280,4190
23,23,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,46244,4294967164,42111,4133
24,24,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,50565,4294967164,46444,4121
25,25,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,49350,4294967164,45299,4051
26,26,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,50555,4294967164,44172,6383
27,27,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,50735,4294967164,46607,4128
28,28,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,52964,4294967164,46770,6194
29,29,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,52818,4294967164,48960,3858
30,30,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,56226,4294967164,50004,6222
31,31,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,56948,4294967164,50744,6204
32,32,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,58159,4294967164,51982,6177
33,33,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,60762,4294967164,54074,6688
34,34,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,61065,4294967164,57017,4048
35,35,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,59850,4294967164,55798,4052
36,36,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,62255,4294967164,56052,6203
37,37,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,64522,4294967164,58263,6259
38,38,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,65359,4294967164,59178,6181
39,39,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,64693,4294967164,60727,3966
40,40,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,69205,4294967164,62455,6750
41,41,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,69908,4294967164,65770,4138
42,42,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,70007,4294967164,63745,6262
43,43,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,72238,4294967164,68060,4178
44,44,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,72094,4294967164,65700,6394
45,45,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,74834,4294967164,70630,4204
46,46,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,74312,4294967164,70235,4077
47,47,2324,tkinter,image,tkinter_image,fullscreen,2,getpixel,78115,4294967164,74010,4105
