,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,11464,13615,7774,3690
1,1,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,8526,10852,4850,3676
2,2,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,7662,9985,4231,3431
3,3,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,7329,9641,3863,3466
4,4,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,7495,9815,4280,3215
5,5,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,8358,10689,4724,3634
6,6,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,7151,9641,3945,3206
7,7,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,8017,10162,4301,3716
8,8,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,9050,11364,5363,3687
9,9,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,10441,12755,6512,3929
10,10,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,9238,11555,5694,3544
11,11,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,7336,9647,3909,3427
12,12,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,8711,11031,5077,3634
13,13,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,7160,9476,4112,3048
14,14,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,10427,12748,6507,3920
15,15,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,7841,10157,4311,3530
16,16,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,8527,10838,4982,3545
17,17,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,7335,9658,3862,3473
18,18,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,8864,11186,5123,3741
19,19,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,10437,12752,6831,3606
20,20,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,8709,11199,5164,3545
21,21,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,9747,12066,6286,3461
22,22,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,7671,9984,4192,3479
23,23,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,7347,9490,3784,3563
24,24,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,9044,11358,5529,3515
25,25,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,7849,10166,4284,3565
26,26,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,7499,9818,4087,3412
27,27,2311,wxpython_d2d,default,wxpython_d2d_default,fullscreen,2,windup,7328,9642,3848,3480
