,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,44206,14832,-1,44207
1,1,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,40058,5512,-1,40059
2,2,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,45901,3955,-1,45902
3,3,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,38996,2230,-1,38997
4,4,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46600,3956,-1,46601
5,5,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,43678,2583,-1,43679
6,6,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,48313,1208,-1,48314
7,7,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,47787,3271,-1,47788
8,8,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,45727,16523,-1,45728
9,9,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46405,44755,-1,46406
10,10,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46250,4812,-1,46251
11,11,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,39530,8778,-1,39531
12,12,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46437,11368,-1,46438
13,13,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,45008,3265,-1,45009
14,14,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46914,9452,-1,46915
15,15,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,41615,1031,-1,41616
16,16,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46231,18250,-1,46232
17,17,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46597,6546,-1,46598
18,18,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,48476,1200,-1,48477
19,19,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,43135,15656,-1,43136
20,20,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46242,5508,-1,46243
21,21,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,42117,11885,-1,42118
22,22,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,47306,7590,-1,47307
23,23,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,47430,4987,-1,47431
24,24,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,45723,28927,-1,45724
25,25,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,45896,2751,-1,45897
26,26,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46407,1717,-1,46408
27,27,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,49681,20141,-1,49682
28,28,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,38140,4641,-1,38141
29,29,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,38879,10518,-1,38880
30,30,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46230,12044,-1,46231
31,31,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46719,8949,-1,46720
32,32,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,42106,14633,-1,42107
33,33,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46923,4986,-1,46924
34,34,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,44519,14288,-1,44520
35,35,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,68992,27900,-1,68993
36,36,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,44220,27924,-1,44221
37,37,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,40374,5673,-1,40375
38,38,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,47611,18930,-1,47612
39,39,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,41954,8438,-1,41955
40,40,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46579,8090,-1,46580
41,41,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,47974,18596,-1,47975
42,42,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,44004,20665,-1,44005
43,43,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46413,22721,-1,46414
44,44,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,50016,4129,-1,50017
45,45,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,45736,16699,-1,45737
46,46,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,42117,18088,-1,42118
47,47,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46807,21884,-1,46808
48,48,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46062,1722,-1,46063
49,49,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46056,5167,-1,46057
50,50,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46396,3783,-1,46397
51,51,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46579,510,-1,46580
52,52,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,47298,13612,-1,47299
53,53,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46919,9982,-1,46920
54,54,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,47258,5847,-1,47259
55,55,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,44330,14294,-1,44331
56,56,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46554,5502,-1,46555
57,57,3863,wxpython_d2d,rects,wxpython_d2d_rects,fullscreen,,none,46393,1541,-1,46394
