,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2499,wxpython,image,wxpython_image,fullscreen,,none,11806,0,-1,11807
1,1,2499,wxpython,image,wxpython_image,fullscreen,,none,9218,0,-1,9219
2,2,2499,wxpython,image,wxpython_image,fullscreen,,none,10266,0,-1,10267
3,3,2499,wxpython,image,wxpython_image,fullscreen,,none,7839,0,-1,7840
4,4,2499,wxpython,image,wxpython_image,fullscreen,,none,7496,0,-1,7497
5,5,2499,wxpython,image,wxpython_image,fullscreen,,none,11629,0,-1,11630
6,6,2499,wxpython,image,wxpython_image,fullscreen,,none,11983,0,-1,11984
7,7,2499,wxpython,image,wxpython_image,fullscreen,,none,9041,0,-1,9042
8,8,2499,wxpython,image,wxpython_image,fullscreen,,none,11628,0,-1,11629
9,9,2499,wxpython,image,wxpython_image,fullscreen,,none,11456,0,-1,11457
10,10,2499,wxpython,image,wxpython_image,fullscreen,,none,7674,0,-1,7675
11,11,2499,wxpython,image,wxpython_image,fullscreen,,none,12494,0,-1,12495
12,12,2499,wxpython,image,wxpython_image,fullscreen,,none,9732,0,-1,9733
13,13,2499,wxpython,image,wxpython_image,fullscreen,,none,8181,0,-1,8182
14,14,2499,wxpython,image,wxpython_image,fullscreen,,none,11279,0,-1,11280
15,15,2499,wxpython,image,wxpython_image,fullscreen,,none,8871,0,-1,8872
16,16,2499,wxpython,image,wxpython_image,fullscreen,,none,11438,0,-1,11439
17,17,2499,wxpython,image,wxpython_image,fullscreen,,none,7494,0,-1,7495
18,18,2499,wxpython,image,wxpython_image,fullscreen,,none,9209,0,-1,9210
19,19,2499,wxpython,image,wxpython_image,fullscreen,,none,9212,0,-1,9213
20,20,2499,wxpython,image,wxpython_image,fullscreen,,none,10583,0,-1,10584
21,21,2499,wxpython,image,wxpython_image,fullscreen,,none,12127,0,-1,12128
22,22,2499,wxpython,image,wxpython_image,fullscreen,,none,8525,0,-1,8526
23,23,2499,wxpython,image,wxpython_image,fullscreen,,none,7839,0,-1,7840
24,24,2499,wxpython,image,wxpython_image,fullscreen,,none,12139,0,-1,12140
25,25,2499,wxpython,image,wxpython_image,fullscreen,,none,9057,0,-1,9058
26,26,2499,wxpython,image,wxpython_image,fullscreen,,none,11466,0,-1,11467
27,27,2499,wxpython,image,wxpython_image,fullscreen,,none,11276,0,-1,11277
28,28,2499,wxpython,image,wxpython_image,fullscreen,,none,8530,0,-1,8531
29,29,2499,wxpython,image,wxpython_image,fullscreen,,none,12485,0,-1,12486
30,30,2499,wxpython,image,wxpython_image,fullscreen,,none,11629,0,-1,11630
31,31,2499,wxpython,image,wxpython_image,fullscreen,,none,8351,0,-1,8352
32,32,2499,wxpython,image,wxpython_image,fullscreen,,none,8695,0,-1,8696
33,33,2499,wxpython,image,wxpython_image,fullscreen,,none,7485,0,-1,7486
34,34,2499,wxpython,image,wxpython_image,fullscreen,,none,10932,0,-1,10933
35,35,2499,wxpython,image,wxpython_image,fullscreen,,none,10764,0,-1,10765
36,36,2499,wxpython,image,wxpython_image,fullscreen,,none,11807,0,-1,11808
37,37,2499,wxpython,image,wxpython_image,fullscreen,,none,9569,0,-1,9570
38,38,2499,wxpython,image,wxpython_image,fullscreen,,none,9553,0,-1,9554
39,39,2499,wxpython,image,wxpython_image,fullscreen,,none,11453,0,-1,11454
40,40,2499,wxpython,image,wxpython_image,fullscreen,,none,7318,0,-1,7319
41,41,2499,wxpython,image,wxpython_image,fullscreen,,none,10594,0,-1,10595
42,42,2499,wxpython,image,wxpython_image,fullscreen,,none,11807,0,-1,11808
43,43,2499,wxpython,image,wxpython_image,fullscreen,,none,10766,0,-1,10767
44,44,2499,wxpython,image,wxpython_image,fullscreen,,none,11275,0,-1,11276
45,45,2499,wxpython,image,wxpython_image,fullscreen,,none,12158,0,-1,12159
46,46,2499,wxpython,image,wxpython_image,fullscreen,,none,10423,0,-1,10424
47,47,2499,wxpython,image,wxpython_image,fullscreen,,none,10759,0,-1,10760
48,48,2499,wxpython,image,wxpython_image,fullscreen,,none,8879,0,-1,8880
49,49,2499,wxpython,image,wxpython_image,fullscreen,,none,8355,0,-1,8356
50,50,2499,wxpython,image,wxpython_image,fullscreen,,none,11118,0,-1,11119
51,51,2499,wxpython,image,wxpython_image,fullscreen,,none,9218,0,-1,9219
52,52,2499,wxpython,image,wxpython_image,fullscreen,,none,10759,0,-1,10760
53,53,2499,wxpython,image,wxpython_image,fullscreen,,none,11293,0,-1,11294
54,54,2499,wxpython,image,wxpython_image,fullscreen,,none,8520,0,-1,8521
55,55,2499,wxpython,image,wxpython_image,fullscreen,,none,12656,0,-1,12657
56,56,2499,wxpython,image,wxpython_image,fullscreen,,none,12309,0,-1,12310
57,57,2499,wxpython,image,wxpython_image,fullscreen,,none,9042,0,-1,9043
58,58,2499,wxpython,image,wxpython_image,fullscreen,,none,11111,0,-1,11112
59,59,2499,wxpython,image,wxpython_image,fullscreen,,none,12147,0,-1,12148
60,60,2499,wxpython,image,wxpython_image,fullscreen,,none,8003,0,-1,8004
61,61,2499,wxpython,image,wxpython_image,fullscreen,,none,11632,0,-1,11633
62,62,2499,wxpython,image,wxpython_image,fullscreen,,none,11787,0,-1,11788
63,63,2499,wxpython,image,wxpython_image,fullscreen,,none,8693,0,-1,8694
64,64,2499,wxpython,image,wxpython_image,fullscreen,,none,11624,0,-1,11625
65,65,2499,wxpython,image,wxpython_image,fullscreen,,none,11277,0,-1,11278
66,66,2499,wxpython,image,wxpython_image,fullscreen,,none,12142,0,-1,12143
67,67,2499,wxpython,image,wxpython_image,fullscreen,,none,10073,0,-1,10074
68,68,2499,wxpython,image,wxpython_image,fullscreen,,none,9049,0,-1,9050
69,69,2499,wxpython,image,wxpython_image,fullscreen,,none,11283,0,-1,11284
70,70,2499,wxpython,image,wxpython_image,fullscreen,,none,11445,0,-1,11446
71,71,2499,wxpython,image,wxpython_image,fullscreen,,none,11973,0,-1,11974
72,72,2499,wxpython,image,wxpython_image,fullscreen,,none,11455,0,-1,11456
73,73,2499,wxpython,image,wxpython_image,fullscreen,,none,11283,0,-1,11284
74,74,2499,wxpython,image,wxpython_image,fullscreen,,none,10245,0,-1,10246
75,75,2499,wxpython,image,wxpython_image,fullscreen,,none,12645,0,-1,12646
76,76,2499,wxpython,image,wxpython_image,fullscreen,,none,11794,0,-1,11795
77,77,2499,wxpython,image,wxpython_image,fullscreen,,none,12654,0,-1,12655
78,78,2499,wxpython,image,wxpython_image,fullscreen,,none,9216,0,-1,9217
79,79,2499,wxpython,image,wxpython_image,fullscreen,,none,8004,0,-1,8005
