,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3915,Godot,3D,Godot_3D,fullscreen,,none,74771,228,-1,74772
1,1,3915,Godot,3D,Godot_3D,fullscreen,,none,76414,182,-1,76415
2,2,3915,Godot,3D,Godot_3D,fullscreen,,none,76756,361,-1,76757
3,3,3915,Godot,3D,Godot_3D,fullscreen,,none,81736,191,-1,81737
4,4,3915,Godot,3D,Godot_3D,fullscreen,,none,74867,191,-1,74868
5,5,3915,Godot,3D,Godot_3D,fullscreen,,none,75668,183,-1,75669
6,6,3915,Godot,3D,Godot_3D,fullscreen,,none,70541,182,-1,70542
7,7,3915,Godot,3D,Godot_3D,fullscreen,,none,71581,182,-1,71582
8,8,3915,Godot,3D,Godot_3D,fullscreen,,none,94819,190,-1,94820
9,9,3915,Godot,3D,Godot_3D,fullscreen,,none,79832,529,-1,79833
10,10,3915,Godot,3D,Godot_3D,fullscreen,,none,90502,353,-1,90503
11,11,3915,Godot,3D,Godot_3D,fullscreen,,none,76610,183,-1,76611
12,12,3915,Godot,3D,Godot_3D,fullscreen,,none,70534,183,-1,70535
13,13,3915,Godot,3D,Godot_3D,fullscreen,,none,74860,182,-1,74861
14,14,3915,Godot,3D,Godot_3D,fullscreen,,none,69358,182,-1,69359
15,15,3915,Godot,3D,Godot_3D,fullscreen,,none,80609,184,-1,80610
16,16,3915,Godot,3D,Godot_3D,fullscreen,,none,70549,183,-1,70550
17,17,3915,Godot,3D,Godot_3D,fullscreen,,none,82435,187,-1,82436
18,18,3915,Godot,3D,Godot_3D,fullscreen,,none,72636,183,-1,72637
19,19,3915,Godot,3D,Godot_3D,fullscreen,,none,74655,182,-1,74656
20,20,3915,Godot,3D,Godot_3D,fullscreen,,none,83514,187,-1,83515
21,21,3915,Godot,3D,Godot_3D,fullscreen,,none,80238,183,-1,80239
22,22,3915,Godot,3D,Godot_3D,fullscreen,,none,74532,183,-1,74533
23,23,3915,Godot,3D,Godot_3D,fullscreen,,none,72955,190,-1,72956
24,24,3915,Godot,3D,Godot_3D,fullscreen,,none,78812,353,-1,78813
25,25,3915,Godot,3D,Godot_3D,fullscreen,,none,77796,183,-1,77797
26,26,3915,Godot,3D,Godot_3D,fullscreen,,none,101373,182,-1,101374
27,27,3915,Godot,3D,Godot_3D,fullscreen,,none,67775,182,-1,67776
28,28,3915,Godot,3D,Godot_3D,fullscreen,,none,70413,182,-1,70414
29,29,3915,Godot,3D,Godot_3D,fullscreen,,none,71767,354,-1,71768
30,30,3915,Godot,3D,Godot_3D,fullscreen,,none,80537,183,-1,80538
31,31,3915,Godot,3D,Godot_3D,fullscreen,,none,77947,182,-1,77948
32,32,3915,Godot,3D,Godot_3D,fullscreen,,none,84872,183,-1,84873
33,33,3915,Godot,3D,Godot_3D,fullscreen,,none,78157,191,-1,78158
