,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,26342,3163,-1,26343
1,1,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,25438,361,-1,25439
2,2,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,25414,183,-1,25415
3,3,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,25945,2596,-1,25946
4,4,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,23526,182,-1,23527
5,5,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,26273,702,-1,26274
6,6,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,27314,1215,-1,27315
7,7,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,35063,4837,-1,35064
8,8,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,26470,1388,-1,26471
9,9,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,28196,1043,-1,28197
10,10,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,29579,3450,-1,29580
11,11,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,22855,1044,-1,22856
12,12,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,24560,1563,-1,24561
13,13,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,25253,702,-1,25254
14,14,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,26658,1216,-1,26659
15,15,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,24735,1386,-1,24736
16,16,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,23875,3806,-1,23876
17,17,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,23712,2772,-1,23713
18,18,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,26278,524,-1,26279
19,19,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,28725,1044,-1,28726
20,20,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,22849,873,-1,22850
21,21,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,24377,698,-1,24378
22,22,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,26117,3115,-1,26118
23,23,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,25100,3285,-1,25101
24,24,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,23867,875,-1,23868
25,25,3885,Godot,rects,Godot_rects,fullscreen,3,getpixel,26979,2265,-1,26980
