,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3908,Unity,rects,Unity_rects,fullscreen,,none,103319,228,-1,103320
1,1,3908,Unity,rects,Unity_rects,fullscreen,,none,97237,524,-1,97238
2,2,3908,Unity,rects,Unity_rects,fullscreen,,none,97955,352,-1,97956
3,3,3908,Unity,rects,Unity_rects,fullscreen,,none,97227,190,-1,97228
4,4,3908,Unity,rects,Unity_rects,fullscreen,,none,95940,182,-1,95941
5,5,3908,Unity,rects,Unity_rects,fullscreen,,none,91379,360,-1,91380
6,6,3908,Unity,rects,Unity_rects,fullscreen,,none,91213,191,-1,91214
7,7,3908,Unity,rects,Unity_rects,fullscreen,,none,99364,190,-1,99365
8,8,3908,Unity,rects,Unity_rects,fullscreen,,none,109506,182,-1,109507
9,9,3908,Unity,rects,Unity_rects,fullscreen,,none,92578,183,-1,92579
10,10,3908,Unity,rects,Unity_rects,fullscreen,,none,102271,183,-1,102272
11,11,3908,Unity,rects,Unity_rects,fullscreen,,none,94839,186,-1,94840
12,12,3908,Unity,rects,Unity_rects,fullscreen,,none,104254,182,-1,104255
13,13,3908,Unity,rects,Unity_rects,fullscreen,,none,96026,182,-1,96027
14,14,3908,Unity,rects,Unity_rects,fullscreen,,none,90739,183,-1,90740
15,15,3908,Unity,rects,Unity_rects,fullscreen,,none,93793,360,-1,93794
16,16,3908,Unity,rects,Unity_rects,fullscreen,,none,90861,354,-1,90862
17,17,3908,Unity,rects,Unity_rects,fullscreen,,none,92821,353,-1,92822
18,18,3908,Unity,rects,Unity_rects,fullscreen,,none,90379,183,-1,90380
19,19,3908,Unity,rects,Unity_rects,fullscreen,,none,98593,361,-1,98594
20,20,3908,Unity,rects,Unity_rects,fullscreen,,none,99619,183,-1,99620
21,21,3908,Unity,rects,Unity_rects,fullscreen,,none,94203,183,-1,94204
22,22,3908,Unity,rects,Unity_rects,fullscreen,,none,94475,191,-1,94476
23,23,3908,Unity,rects,Unity_rects,fullscreen,,none,94256,182,-1,94257
24,24,3908,Unity,rects,Unity_rects,fullscreen,,none,93636,360,-1,93637
25,25,3908,Unity,rects,Unity_rects,fullscreen,,none,92953,184,-1,92954
26,26,3908,Unity,rects,Unity_rects,fullscreen,,none,95196,523,-1,95197
27,27,3908,Unity,rects,Unity_rects,fullscreen,,none,91704,182,-1,91705
28,28,3908,Unity,rects,Unity_rects,fullscreen,,none,91446,183,-1,91447
29,29,3908,Unity,rects,Unity_rects,fullscreen,,none,91390,182,-1,91391
30,30,3908,Unity,rects,Unity_rects,fullscreen,,none,93989,183,-1,93990
31,31,3908,Unity,rects,Unity_rects,fullscreen,,none,92794,190,-1,92795
32,32,3908,Unity,rects,Unity_rects,fullscreen,,none,95190,354,-1,95191
33,33,3908,Unity,rects,Unity_rects,fullscreen,,none,92104,185,-1,92105
34,34,3908,Unity,rects,Unity_rects,fullscreen,,none,93670,182,-1,93671
35,35,3908,Unity,rects,Unity_rects,fullscreen,,none,102417,695,-1,102418
36,36,3908,Unity,rects,Unity_rects,fullscreen,,none,92588,182,-1,92589
37,37,3908,Unity,rects,Unity_rects,fullscreen,,none,91885,702,-1,91886
38,38,3908,Unity,rects,Unity_rects,fullscreen,,none,94713,183,-1,94714
39,39,3908,Unity,rects,Unity_rects,fullscreen,,none,95383,182,-1,95384
40,40,3908,Unity,rects,Unity_rects,fullscreen,,none,95067,183,-1,95068
41,41,3908,Unity,rects,Unity_rects,fullscreen,,none,97397,183,-1,97398
42,42,3908,Unity,rects,Unity_rects,fullscreen,,none,93153,183,-1,93154
43,43,3908,Unity,rects,Unity_rects,fullscreen,,none,93132,183,-1,93133
44,44,3908,Unity,rects,Unity_rects,fullscreen,,none,94158,353,-1,94159
45,45,3908,Unity,rects,Unity_rects,fullscreen,,none,107246,183,-1,107247
46,46,3908,Unity,rects,Unity_rects,fullscreen,,none,91413,191,-1,91414
47,47,3908,Unity,rects,Unity_rects,fullscreen,,none,91421,183,-1,91422
48,48,3908,Unity,rects,Unity_rects,fullscreen,,none,92420,184,-1,92421
49,49,3908,Unity,rects,Unity_rects,fullscreen,,none,93306,182,-1,93307
50,50,3908,Unity,rects,Unity_rects,fullscreen,,none,93991,183,-1,93992
51,51,3908,Unity,rects,Unity_rects,fullscreen,,none,91912,191,-1,91913
52,52,3908,Unity,rects,Unity_rects,fullscreen,,none,92806,695,-1,92807
53,53,3908,Unity,rects,Unity_rects,fullscreen,,none,91196,532,-1,91197
54,54,3908,Unity,rects,Unity_rects,fullscreen,,none,99132,183,-1,99133
55,55,3908,Unity,rects,Unity_rects,fullscreen,,none,96074,183,-1,96075
56,56,3908,Unity,rects,Unity_rects,fullscreen,,none,91603,182,-1,91604
57,57,3908,Unity,rects,Unity_rects,fullscreen,,none,101220,530,-1,101221
58,58,3908,Unity,rects,Unity_rects,fullscreen,,none,92413,353,-1,92414
59,59,3908,Unity,rects,Unity_rects,fullscreen,,none,93156,361,-1,93157
60,60,3908,Unity,rects,Unity_rects,fullscreen,,none,100012,182,-1,100013
61,61,3908,Unity,rects,Unity_rects,fullscreen,,none,91545,353,-1,91546
62,62,3908,Unity,rects,Unity_rects,fullscreen,,none,95530,183,-1,95531
63,63,3908,Unity,rects,Unity_rects,fullscreen,,none,92753,183,-1,92754
64,64,3908,Unity,rects,Unity_rects,fullscreen,,none,93961,182,-1,93962
65,65,3908,Unity,rects,Unity_rects,fullscreen,,none,90865,182,-1,90866
66,66,3908,Unity,rects,Unity_rects,fullscreen,,none,99839,183,-1,99840
67,67,3908,Unity,rects,Unity_rects,fullscreen,,none,96753,183,-1,96754
68,68,3908,Unity,rects,Unity_rects,fullscreen,,none,99309,190,-1,99310
69,69,3908,Unity,rects,Unity_rects,fullscreen,,none,95398,873,-1,95399
70,70,3908,Unity,rects,Unity_rects,fullscreen,,none,101203,361,-1,101204
71,71,3908,Unity,rects,Unity_rects,fullscreen,,none,95870,353,-1,95871
72,72,3908,Unity,rects,Unity_rects,fullscreen,,none,100004,182,-1,100005
73,73,3908,Unity,rects,Unity_rects,fullscreen,,none,90756,183,-1,90757
74,74,3908,Unity,rects,Unity_rects,fullscreen,,none,93267,190,-1,93268
75,75,3908,Unity,rects,Unity_rects,fullscreen,,none,91775,187,-1,91776
76,76,3908,Unity,rects,Unity_rects,fullscreen,,none,91588,183,-1,91589
77,77,3908,Unity,rects,Unity_rects,fullscreen,,none,91402,182,-1,91403
78,78,3908,Unity,rects,Unity_rects,fullscreen,,none,101235,362,-1,101236
79,79,3908,Unity,rects,Unity_rects,fullscreen,,none,92420,182,-1,92421
80,80,3908,Unity,rects,Unity_rects,fullscreen,,none,96763,354,-1,96764
81,81,3908,Unity,rects,Unity_rects,fullscreen,,none,91061,183,-1,91062
82,82,3908,Unity,rects,Unity_rects,fullscreen,,none,96225,191,-1,96226
83,83,3908,Unity,rects,Unity_rects,fullscreen,,none,94020,182,-1,94021
84,84,3908,Unity,rects,Unity_rects,fullscreen,,none,94202,182,-1,94203
85,85,3908,Unity,rects,Unity_rects,fullscreen,,none,97640,361,-1,97641
86,86,3908,Unity,rects,Unity_rects,fullscreen,,none,93674,183,-1,93675
