,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3907,Unity,rects,Unity_rects,fullscreen,2,windup,95384,408,97593,-2209
1,1,3907,Unity,rects,Unity_rects,fullscreen,2,windup,101706,186,102623,-917
2,2,3907,Unity,rects,Unity_rects,fullscreen,2,windup,92253,190,92660,-407
3,3,3907,Unity,rects,Unity_rects,fullscreen,2,windup,98330,182,100491,-2161
4,4,3907,Unity,rects,Unity_rects,fullscreen,2,windup,94984,182,97495,-2511
5,5,3907,Unity,rects,Unity_rects,fullscreen,2,windup,92522,187,96170,-3648
6,6,3907,Unity,rects,Unity_rects,fullscreen,2,windup,96408,183,100014,-3606
7,7,3907,Unity,rects,Unity_rects,fullscreen,2,windup,94530,183,96117,-1587
8,8,3907,Unity,rects,Unity_rects,fullscreen,2,windup,99671,187,101630,-1959
9,9,3907,Unity,rects,Unity_rects,fullscreen,2,windup,92061,182,93463,-1402
10,10,3907,Unity,rects,Unity_rects,fullscreen,2,windup,99171,191,100991,-1820
11,11,3907,Unity,rects,Unity_rects,fullscreen,2,windup,91869,353,93924,-2055
12,12,3907,Unity,rects,Unity_rects,fullscreen,2,windup,94813,182,98651,-3838
13,13,3907,Unity,rects,Unity_rects,fullscreen,2,windup,91418,182,92556,-1138
14,14,3907,Unity,rects,Unity_rects,fullscreen,2,windup,95855,183,96367,-512
15,15,3907,Unity,rects,Unity_rects,fullscreen,2,windup,97214,352,100803,-3589
16,16,3907,Unity,rects,Unity_rects,fullscreen,2,windup,93124,183,94286,-1162
17,17,3907,Unity,rects,Unity_rects,fullscreen,2,windup,94663,182,95869,-1206
18,18,3907,Unity,rects,Unity_rects,fullscreen,2,windup,97596,353,96768,828
19,19,3907,Unity,rects,Unity_rects,fullscreen,2,windup,96883,354,95794,1089
20,20,3907,Unity,rects,Unity_rects,fullscreen,2,windup,100709,183,99740,969
21,21,3907,Unity,rects,Unity_rects,fullscreen,2,windup,92303,361,94137,-1834
22,22,3907,Unity,rects,Unity_rects,fullscreen,2,windup,101759,182,103912,-2153
23,23,3907,Unity,rects,Unity_rects,fullscreen,2,windup,97608,182,96964,644
24,24,3907,Unity,rects,Unity_rects,fullscreen,2,windup,100336,361,104406,-4070
25,25,3907,Unity,rects,Unity_rects,fullscreen,2,windup,96790,354,100773,-3983
26,26,3907,Unity,rects,Unity_rects,fullscreen,2,windup,95369,191,97665,-2296
27,27,3907,Unity,rects,Unity_rects,fullscreen,2,windup,97266,183,98078,-812
28,28,3907,Unity,rects,Unity_rects,fullscreen,2,windup,92932,183,93202,-270
29,29,3907,Unity,rects,Unity_rects,fullscreen,2,windup,92963,702,93556,-593
30,30,3907,Unity,rects,Unity_rects,fullscreen,2,windup,96221,183,100030,-3809
31,31,3907,Unity,rects,Unity_rects,fullscreen,2,windup,99509,361,103610,-4101
32,32,3907,Unity,rects,Unity_rects,fullscreen,2,windup,91206,354,91363,-157
33,33,3907,Unity,rects,Unity_rects,fullscreen,2,windup,95357,183,98687,-3330
34,34,3907,Unity,rects,Unity_rects,fullscreen,2,windup,99814,182,102188,-2374
35,35,3907,Unity,rects,Unity_rects,fullscreen,2,windup,94444,352,96040,-1596
36,36,3907,Unity,rects,Unity_rects,fullscreen,2,windup,95674,191,98514,-2840
37,37,3907,Unity,rects,Unity_rects,fullscreen,2,windup,97068,183,100721,-3653
