,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10232,12258,-1,10233
1,1,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10193,12220,-1,10194
2,2,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8855,11144,-1,8856
3,3,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10725,12751,-1,10726
4,4,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8596,10896,-1,8597
5,5,2943,Direct2D,default,Direct2D_default,fullscreen,,none,6734,9029,-1,6735
6,6,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11259,13285,-1,11260
7,7,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10706,12730,-1,10707
8,8,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10450,12477,-1,10451
9,9,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8595,10894,-1,8596
10,10,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11520,13549,-1,11521
11,11,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10724,13013,-1,10725
12,12,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9401,11429,-1,9402
13,13,2943,Direct2D,default,Direct2D_default,fullscreen,,none,12578,14871,-1,12579
14,14,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7011,9037,-1,7012
15,15,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10984,13011,-1,10985
16,16,2943,Direct2D,default,Direct2D_default,fullscreen,,none,5413,7446,-1,5414
17,17,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10444,12478,-1,10445
18,18,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10976,13003,-1,10977
19,19,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8328,10621,-1,8329
20,20,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11243,13532,-1,11244
21,21,2943,Direct2D,default,Direct2D_default,fullscreen,,none,12052,14351,-1,12053
22,22,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9388,11415,-1,9389
23,23,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8070,10099,-1,8071
24,24,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10981,13012,-1,10982
25,25,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9383,11682,-1,9384
26,26,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10460,12759,-1,10461
27,27,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7806,9832,-1,7807
28,28,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8327,10362,-1,8328
29,29,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11251,13552,-1,11252
30,30,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11500,13529,-1,11501
31,31,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9644,11672,-1,9645
32,32,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11772,13802,-1,11773
33,33,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8860,11152,-1,8861
34,34,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8330,10358,-1,8331
35,35,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7003,9028,-1,7004
36,36,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7262,9558,-1,7263
37,37,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7797,10095,-1,7798
38,38,2943,Direct2D,default,Direct2D_default,fullscreen,,none,6480,8507,-1,6481
39,39,2943,Direct2D,default,Direct2D_default,fullscreen,,none,5942,8238,-1,5943
40,40,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9927,11954,-1,9928
41,41,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10979,13007,-1,10980
42,42,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9393,11684,-1,9394
43,43,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8336,10362,-1,8337
44,44,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9396,11423,-1,9397
45,45,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9660,11685,-1,9661
46,46,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10988,13017,-1,10989
47,47,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7273,9563,-1,7274
48,48,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7268,9298,-1,7269
49,49,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10727,12755,-1,10728
50,50,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11510,13540,-1,11511
51,51,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11513,13805,-1,11514
52,52,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10983,13008,-1,10984
53,53,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7282,9574,-1,7283
54,54,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10455,12484,-1,10456
55,55,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8862,10888,-1,8863
56,56,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11253,13544,-1,11254
57,57,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7534,9828,-1,7535
58,58,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10726,12755,-1,10727
59,59,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11513,13541,-1,11514
60,60,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8335,10363,-1,8336
61,61,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9137,11424,-1,9138
62,62,2943,Direct2D,default,Direct2D_default,fullscreen,,none,6999,9026,-1,7000
63,63,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9401,11691,-1,9402
64,64,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11768,13799,-1,11769
65,65,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7263,9563,-1,7264
66,66,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8587,10616,-1,8588
67,67,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10179,12205,-1,10180
68,68,2943,Direct2D,default,Direct2D_default,fullscreen,,none,12847,14876,-1,12848
69,69,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11525,13550,-1,11526
70,70,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7270,9296,-1,7271
71,71,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11767,13793,-1,11768
72,72,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11789,13819,-1,11790
73,73,2943,Direct2D,default,Direct2D_default,fullscreen,,none,12045,14075,-1,12046
74,74,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7268,9293,-1,7269
75,75,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8867,10897,-1,8868
76,76,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10451,12481,-1,10452
77,77,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11247,13272,-1,11248
78,78,2943,Direct2D,default,Direct2D_default,fullscreen,,none,5416,7441,-1,5417
79,79,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11509,13807,-1,11510
80,80,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9123,11150,-1,9124
81,81,2943,Direct2D,default,Direct2D_default,fullscreen,,none,12312,14338,-1,12313
82,82,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8078,10105,-1,8079
83,83,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7007,9309,-1,7008
84,84,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11517,13548,-1,11518
85,85,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9922,12213,-1,9923
86,86,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9661,11690,-1,9662
87,87,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11245,13273,-1,11246
88,88,2943,Direct2D,default,Direct2D_default,fullscreen,,none,12045,14076,-1,12046
89,89,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10730,12755,-1,10731
90,90,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11519,13547,-1,11520
91,91,2943,Direct2D,default,Direct2D_default,fullscreen,,none,12309,14336,-1,12310
92,92,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11507,13533,-1,11508
93,93,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10982,13011,-1,10983
94,94,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9920,12210,-1,9921
95,95,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11251,13282,-1,11252
96,96,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8859,11149,-1,8860
97,97,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8598,10624,-1,8599
98,98,2943,Direct2D,default,Direct2D_default,fullscreen,,none,6209,8237,-1,6210
99,99,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10720,12745,-1,10721
100,100,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7795,10089,-1,7796
101,101,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7534,9564,-1,7535
102,102,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11782,13810,-1,11783
103,103,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9655,11685,-1,9656
104,104,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10461,12490,-1,10462
105,105,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10974,13001,-1,10975
106,106,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9133,11164,-1,9134
107,107,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7265,9296,-1,7266
108,108,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7265,9293,-1,7266
109,109,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9393,11688,-1,9394
110,110,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7810,9837,-1,7811
111,111,2943,Direct2D,default,Direct2D_default,fullscreen,,none,5947,7975,-1,5948
112,112,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10988,13012,-1,10989
113,113,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8336,10627,-1,8337
114,114,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8590,10621,-1,8591
115,115,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11782,13809,-1,11783
116,116,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10710,12474,-1,10711
117,117,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10984,13281,-1,10985
118,118,2943,Direct2D,default,Direct2D_default,fullscreen,,none,12056,14085,-1,12057
119,119,2943,Direct2D,default,Direct2D_default,fullscreen,,none,6476,8768,-1,6477
120,120,2943,Direct2D,default,Direct2D_default,fullscreen,,none,6207,8239,-1,6208
121,121,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10448,12479,-1,10449
122,122,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8336,10363,-1,8337
123,123,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7535,9566,-1,7536
124,124,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10720,12748,-1,10721
125,125,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8860,10885,-1,8861
126,126,2943,Direct2D,default,Direct2D_default,fullscreen,,none,9923,11954,-1,9924
127,127,2943,Direct2D,default,Direct2D_default,fullscreen,,none,12581,14612,-1,12582
128,128,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11786,13814,-1,11787
129,129,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8603,10893,-1,8604
130,130,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11771,13800,-1,11772
131,131,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11513,13810,-1,11514
132,132,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8603,10631,-1,8604
133,133,2943,Direct2D,default,Direct2D_default,fullscreen,,none,10723,12752,-1,10724
134,134,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8335,10362,-1,8336
135,135,2943,Direct2D,default,Direct2D_default,fullscreen,,none,11791,14082,-1,11792
136,136,2943,Direct2D,default,Direct2D_default,fullscreen,,none,7263,9291,-1,7264
137,137,2943,Direct2D,default,Direct2D_default,fullscreen,,none,8335,10362,-1,8336
