,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10231,308,3693,6538
1,1,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9925,272,5837,4088
2,2,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10456,279,4003,6453
3,3,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9666,280,3628,6038
4,4,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10975,272,4084,6891
5,5,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9928,272,5543,4385
6,6,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9655,272,5550,4105
7,7,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9914,272,3755,6159
8,8,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10725,272,3869,6856
9,9,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9124,273,5390,3734
10,10,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10986,274,4756,6230
11,11,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9392,273,3595,5797
12,12,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10718,280,6938,3780
13,13,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9135,273,5739,3396
14,14,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9920,272,3751,6169
15,15,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10444,273,6628,3816
16,16,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10730,272,4325,6405
17,17,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9393,280,5136,4257
18,18,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10981,273,4792,6189
19,19,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10716,280,3985,6731
20,20,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9667,277,3729,5938
21,21,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10985,273,3967,7018
22,22,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10188,273,6450,3738
23,23,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10714,272,3918,6796
24,24,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10721,273,3937,6784
25,25,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10994,272,4478,6516
26,26,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10727,274,6741,3986
27,27,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10187,278,3979,6208
28,28,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10994,280,4692,6302
29,29,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9918,272,6079,3839
30,30,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9923,272,3771,6152
31,31,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9650,272,5182,4468
32,32,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10449,273,6419,4030
33,33,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9389,271,3712,5677
34,34,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9917,279,3859,6058
35,35,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10186,537,3889,6297
36,36,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10708,272,6722,3986
37,37,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10464,272,6696,3768
38,38,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10457,274,6375,4082
39,39,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,11511,272,4746,6765
40,40,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,11777,273,5240,6537
41,41,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10721,279,3870,6851
42,42,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10996,278,4205,6791
43,43,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10466,280,4808,5658
44,44,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10716,271,3985,6731
45,45,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9653,273,5408,4245
46,46,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9392,273,6527,2865
47,47,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10986,273,7148,3838
48,48,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9392,272,3725,5667
49,49,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10979,281,4300,6679
50,50,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9130,277,5380,3750
51,51,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9131,273,5496,3635
52,52,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9136,272,5043,4093
53,53,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9921,273,3720,6201
54,54,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9397,281,3791,5606
55,55,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9928,273,3856,6072
56,56,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10197,273,5650,4547
57,57,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9669,280,3635,6034
58,58,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,9660,272,5581,4079
59,59,228,Direct2D,rects,Direct2D_rects,fullscreen,2,getpixel,10722,280,3890,6832
