,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,46859,46500,-1,46860
1,1,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,43095,42735,-1,43096
2,2,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,44413,43789,-1,44414
3,3,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,53181,52822,-1,53182
4,4,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,46012,45651,-1,46013
5,5,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,45738,45107,-1,45739
6,6,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,53698,53338,-1,53699
7,7,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,50247,49617,-1,50248
8,8,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,49469,48840,-1,49470
9,9,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,52110,51743,-1,52111
10,10,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,48109,47480,-1,48110
11,11,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,51320,50961,-1,51321
12,12,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,50504,50408,-1,50505
13,13,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,54490,53861,-1,54491
14,14,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,45196,44836,-1,45197
15,15,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,47860,47229,-1,47861
16,16,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,48130,49885,-1,48131
17,17,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,44932,44566,-1,44933
18,18,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,47865,47505,-1,47866
19,19,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,50784,50424,-1,50785
20,20,2732,UnrealEngine5,default,UnrealEngine5_default,fullscreen,,none,46569,46210,-1,46570
