,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2361,WinAPI,default,WinAPI_default,fullscreen,,none,63670,67018,-1,63671
1,1,2361,WinAPI,default,WinAPI_default,fullscreen,,none,64153,67512,-1,64154
2,2,2361,WinAPI,default,WinAPI_default,fullscreen,,none,68292,71644,-1,68293
3,3,2361,WinAPI,default,WinAPI_default,fullscreen,,none,47972,51323,-1,47973
4,4,2361,WinAPI,default,WinAPI_default,fullscreen,,none,61738,65082,-1,61739
5,5,2361,WinAPI,default,WinAPI_default,fullscreen,,none,66747,70100,-1,66748
6,6,2361,WinAPI,default,WinAPI_default,fullscreen,,none,60891,64235,-1,60892
7,7,2361,WinAPI,default,WinAPI_default,fullscreen,,none,38498,41847,-1,38499
8,8,2361,WinAPI,default,WinAPI_default,fullscreen,,none,46943,50295,-1,46944
9,9,2361,WinAPI,default,WinAPI_default,fullscreen,,none,60906,64084,-1,60907
10,10,2361,WinAPI,default,WinAPI_default,fullscreen,,none,59525,63042,-1,59526
11,11,2361,WinAPI,default,WinAPI_default,fullscreen,,none,41462,44820,-1,41463
12,12,2361,WinAPI,default,WinAPI_default,fullscreen,,none,67465,70810,-1,67466
13,13,2361,WinAPI,default,WinAPI_default,fullscreen,,none,60031,63381,-1,60032
14,14,2361,WinAPI,default,WinAPI_default,fullscreen,,none,59208,62385,-1,59209
15,15,2361,WinAPI,default,WinAPI_default,fullscreen,,none,68325,71677,-1,68326
16,16,2361,WinAPI,default,WinAPI_default,fullscreen,,none,50263,53779,-1,50264
17,17,2361,WinAPI,default,WinAPI_default,fullscreen,,none,38354,41711,-1,38355
18,18,2361,WinAPI,default,WinAPI_default,fullscreen,,none,54191,57539,-1,54192
19,19,2361,WinAPI,default,WinAPI_default,fullscreen,,none,62109,65454,-1,62110
20,20,2361,WinAPI,default,WinAPI_default,fullscreen,,none,54541,57891,-1,54542
21,21,2361,WinAPI,default,WinAPI_default,fullscreen,,none,38003,41530,-1,38004
22,22,2361,WinAPI,default,WinAPI_default,fullscreen,,none,69211,72390,-1,69212
23,23,2361,WinAPI,default,WinAPI_default,fullscreen,,none,53325,56680,-1,53326
24,24,2361,WinAPI,default,WinAPI_default,fullscreen,,none,68446,71803,-1,68447
25,25,2361,WinAPI,default,WinAPI_default,fullscreen,,none,60202,63378,-1,60203
26,26,2361,WinAPI,default,WinAPI_default,fullscreen,,none,38323,41682,-1,38324
27,27,2361,WinAPI,default,WinAPI_default,fullscreen,,none,64454,67636,-1,64455
28,28,2361,WinAPI,default,WinAPI_default,fullscreen,,none,44186,47534,-1,44187
29,29,2361,WinAPI,default,WinAPI_default,fullscreen,,none,53143,56494,-1,53144
30,30,2361,WinAPI,default,WinAPI_default,fullscreen,,none,60700,64048,-1,60701
31,31,2361,WinAPI,default,WinAPI_default,fullscreen,,none,67990,71348,-1,67991
32,32,2361,WinAPI,default,WinAPI_default,fullscreen,,none,58302,61665,-1,58303
33,33,2361,WinAPI,default,WinAPI_default,fullscreen,,none,66716,70068,-1,66717
34,34,2361,WinAPI,default,WinAPI_default,fullscreen,,none,57092,60446,-1,57093
35,35,2361,WinAPI,default,WinAPI_default,fullscreen,,none,58290,61638,-1,58291
36,36,2361,WinAPI,default,WinAPI_default,fullscreen,,none,58476,61820,-1,58477
37,37,2361,WinAPI,default,WinAPI_default,fullscreen,,none,54864,58214,-1,54865
38,38,2361,WinAPI,default,WinAPI_default,fullscreen,,none,43672,47021,-1,43673
39,39,2361,WinAPI,default,WinAPI_default,fullscreen,,none,60227,63586,-1,60228
40,40,2361,WinAPI,default,WinAPI_default,fullscreen,,none,53485,56662,-1,53486
41,41,2361,WinAPI,default,WinAPI_default,fullscreen,,none,60892,64247,-1,60893
42,42,2361,WinAPI,default,WinAPI_default,fullscreen,,none,38823,42173,-1,38824
