,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,10423,12745,6634,3789
1,1,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,10942,13263,7302,3640
2,2,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,10930,13252,5657,5273
3,3,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11635,13787,5911,5724
4,4,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11461,13783,7719,3742
5,5,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,10595,12917,6883,3712
6,6,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,12504,14649,6223,6281
7,7,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,10418,12739,6986,3432
8,8,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,10763,12911,6584,4179
9,9,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11463,13785,5336,6127
10,10,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11466,13786,5250,6216
11,11,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,10591,13082,7019,3572
12,12,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11121,13442,7504,3617
13,13,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11277,13775,5520,5757
14,14,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,10775,13088,4608,6167
15,15,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,10599,12911,7029,3570
16,16,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11476,13793,5377,6099
17,17,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,12141,14638,6071,6070
18,18,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11803,14120,5733,6070
19,19,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11107,13419,5041,6066
20,20,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11293,13440,7461,3832
21,21,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11993,14307,5807,6186
22,22,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11629,13949,5474,6155
23,23,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11631,13780,5623,6008
24,24,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,12668,14980,6851,5817
25,25,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,12668,14987,6606,6062
26,26,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11120,13263,7397,3723
27,27,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,10605,12917,7043,3562
28,28,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,10435,12754,6604,3831
29,29,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,12159,14474,6132,6027
30,30,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,12324,14639,6610,5714
31,31,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11802,14115,5644,6158
32,32,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11112,13432,7513,3599
33,33,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11457,13773,7661,3796
34,34,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,12327,14642,6099,6228
35,35,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11118,13437,7533,3585
36,36,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,12144,14456,6220,5924
37,37,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11286,13606,5256,6030
38,38,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11112,13431,7355,3757
39,39,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11808,14126,8287,3521
40,40,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11971,14293,5941,6030
41,41,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,10257,12579,6288,3969
42,42,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11797,14110,5564,6233
43,43,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11974,14297,6132,5842
44,44,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,12156,14468,6266,5890
45,45,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11628,13941,5697,5931
46,46,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,12836,15152,6714,6122
47,47,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,10247,12569,6385,3862
48,48,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,12142,14458,6000,6142
49,49,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,10597,12911,6574,4023
50,50,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11452,13770,7744,3708
51,51,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11283,13605,7875,3408
52,52,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11289,13604,5183,6106
53,53,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,12141,14459,6005,6136
54,54,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,12324,14640,6280,6044
55,55,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11463,13777,7873,3590
56,56,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11794,14109,5702,6092
57,57,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,12156,14651,6348,5808
58,58,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11801,14289,5727,6074
59,59,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11815,14134,5748,6067
60,60,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11113,13427,7533,3580
61,61,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11983,14297,5828,6155
62,62,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11796,14110,5609,6187
63,63,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11113,13437,4995,6118
64,64,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11291,13779,5268,6023
65,65,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11282,13596,5182,6100
66,66,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,10937,13250,7316,3621
67,67,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,13002,15145,7132,5870
68,68,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,10781,13274,7238,3543
69,69,2310,Blend2D,default,Blend2D_default,fullscreen,2,getdbits,11803,14117,5731,6072
