,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,1789,Blend2D,default,Blend2D_default,large,5,getpixel,11980,5340,6196,5784
1,1,1789,Blend2D,default,Blend2D_default,large,5,getpixel,11647,7407,6088,5559
2,2,1789,Blend2D,default,Blend2D_default,large,5,getpixel,10419,11016,7015,3404
3,3,1789,Blend2D,default,Blend2D_default,large,5,getpixel,12833,7228,6950,5883
4,4,1789,Blend2D,default,Blend2D_default,large,5,getpixel,12840,3619,7080,5760
5,5,1789,Blend2D,default,Blend2D_default,large,5,getpixel,9560,5681,3831,5729
6,6,1789,Blend2D,default,Blend2D_default,large,5,getpixel,12672,2240,6782,5890
7,7,1789,Blend2D,default,Blend2D_default,large,5,getpixel,12848,14651,6986,5862
8,8,1789,Blend2D,default,Blend2D_default,large,5,getpixel,10944,14122,7294,3650
9,9,1789,Blend2D,default,Blend2D_default,large,5,getpixel,10944,4125,5122,5822
10,10,1789,Blend2D,default,Blend2D_default,large,5,getpixel,10949,10332,7928,3021
11,11,1789,Blend2D,default,Blend2D_default,large,5,getpixel,12319,5508,6494,5825
12,12,1789,Blend2D,default,Blend2D_default,large,5,getpixel,10602,7925,4777,5825
13,13,1789,Blend2D,default,Blend2D_default,large,5,getpixel,9580,6382,6230,3350
14,14,1789,Blend2D,default,Blend2D_default,large,5,getpixel,11465,1385,5515,5950
15,15,1789,Blend2D,default,Blend2D_default,large,5,getpixel,11114,4642,7640,3474
16,16,1789,Blend2D,default,Blend2D_default,large,5,getpixel,10607,18956,7188,3419
17,17,1789,Blend2D,default,Blend2D_default,large,5,getpixel,11808,4127,5673,6135
18,18,1789,Blend2D,default,Blend2D_default,large,5,getpixel,11972,7572,6108,5864
19,19,1789,Blend2D,default,Blend2D_default,large,5,getpixel,12669,349,7013,5656
20,20,1789,Blend2D,default,Blend2D_default,large,5,getpixel,11288,6201,5132,6156
21,21,1789,Blend2D,default,Blend2D_default,large,5,getpixel,11988,13793,6178,5810
22,22,1789,Blend2D,default,Blend2D_default,large,5,getpixel,12321,2922,6551,5770
23,23,1789,Blend2D,default,Blend2D_default,large,5,getpixel,11119,2929,5307,5812
24,24,1789,Blend2D,default,Blend2D_default,large,5,getpixel,12320,2234,6510,5810
25,25,1789,Blend2D,default,Blend2D_default,large,5,getpixel,10773,11718,7532,3241
26,26,1789,Blend2D,default,Blend2D_default,large,5,getpixel,12329,7061,6353,5976
27,27,1789,Blend2D,default,Blend2D_default,large,5,getpixel,11281,1715,5218,6063
28,28,1789,Blend2D,default,Blend2D_default,large,5,getpixel,12673,17058,6406,6267
29,29,1789,Blend2D,default,Blend2D_default,large,5,getpixel,11115,13778,7854,3261
30,30,1789,Blend2D,default,Blend2D_default,large,5,getpixel,12482,1202,6511,5971
31,31,1789,Blend2D,default,Blend2D_default,large,5,getpixel,11304,12584,5274,6030
32,32,1789,Blend2D,default,Blend2D_default,large,5,getpixel,10425,12743,7266,3159
33,33,1789,Blend2D,default,Blend2D_default,large,5,getpixel,10768,9641,7730,3038
34,34,1789,Blend2D,default,Blend2D_default,large,5,getpixel,11112,5685,5293,5819
35,35,1789,Blend2D,default,Blend2D_default,large,5,getpixel,12153,9303,6375,5778
36,36,1789,Blend2D,default,Blend2D_default,large,5,getpixel,10948,12749,7863,3085
