,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11304,13966,8097,3207
1,1,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11296,13965,7130,4166
2,2,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11291,13965,6988,4303
3,3,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10259,13097,6205,4054
4,4,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11462,14300,9813,1649
5,5,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11106,13772,6855,4251
6,6,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11981,14823,7886,4095
7,7,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,9911,13086,6059,3852
8,8,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10256,13259,6146,4110
9,9,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11307,14140,7079,4228
10,10,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10946,13780,6972,3974
11,11,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10424,13432,6475,3949
12,12,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11115,13785,7041,4074
13,13,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10250,13092,6109,4141
14,14,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11633,14469,7518,4115
15,15,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10435,13099,6220,4215
16,16,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11114,13777,6866,4248
17,17,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11812,14654,7825,3987
18,18,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10258,12933,5858,4400
19,19,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11110,13947,7039,4071
20,20,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,9918,12591,5913,4005
21,21,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,8536,11543,6065,2471
22,22,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10087,12927,6046,4041
23,23,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10256,13089,5972,4284
24,24,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10595,13427,6450,4145
25,25,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,9908,12747,5865,4043
26,26,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10589,13257,6361,4228
27,27,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11282,13950,7057,4225
28,28,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11630,14293,7326,4304
29,29,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10954,13619,6649,4305
30,30,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10600,13265,6369,4231
31,31,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10428,13263,6388,4040
32,32,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11299,14133,7334,3965
33,33,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10769,13605,6694,4075
34,34,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11127,13790,6908,4219
35,35,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11290,14127,7233,4057
36,36,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11107,13940,7055,4052
37,37,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11285,14125,7202,4083
38,38,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11978,14645,7925,4053
39,39,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11625,14462,7689,3936
40,40,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11634,14302,7434,4200
41,41,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10934,13770,6902,4032
42,42,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10768,13601,6640,4128
43,43,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10774,13779,6724,4050
44,44,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,9921,12925,5773,4148
45,45,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11457,14124,7200,4257
46,46,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11629,14297,7514,4115
47,47,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10079,12914,5910,4169
48,48,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11460,14298,7475,3985
49,49,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11791,14625,7751,4040
50,50,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11628,14461,7607,4021
51,51,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,8010,10846,5619,2391
52,52,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,9906,12745,5868,4038
53,53,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10588,13423,6619,3969
54,54,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10596,13431,6448,4148
55,55,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11622,14465,7755,3867
56,56,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10934,13771,6924,4010
57,57,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11293,13780,6983,4310
58,58,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11469,14121,7202,4267
59,59,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10258,13083,5916,4342
60,60,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10248,13089,5992,4256
61,61,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10422,13258,6322,4100
62,62,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10944,13769,6775,4169
63,63,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10777,13611,6608,4169
64,64,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11976,14803,7909,4067
65,65,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,8193,10852,5660,2533
66,66,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10418,13260,6323,4095
67,67,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10430,13089,6200,4230
68,68,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11125,13951,6950,4175
69,69,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10261,12748,6127,4134
70,70,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10939,13767,6847,4092
71,71,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10775,13602,6781,3994
72,72,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11798,14817,7770,4028
73,73,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,11468,14133,7268,4200
74,74,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10947,13772,6791,4156
75,75,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10255,12915,5961,4294
76,76,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10782,13438,6556,4226
77,77,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,9908,12912,5822,4086
78,78,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10265,13099,6123,4142
79,79,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10606,13435,6533,4073
80,80,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10773,13605,6602,4171
81,81,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,10599,13428,6374,4225
82,82,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,9909,12734,5828,4081
83,83,2401,Blend2D,image,Blend2D_image,fullscreen,2,windup,8718,11558,6165,2553
