,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,506,Direct3D,default,Direct3D_default,small,,none,10120,0,-1,10121
1,1,506,Direct3D,default,Direct3D_default,small,,none,7086,0,-1,7087
2,2,506,Direct3D,default,Direct3D_default,small,,none,8641,0,-1,8642
3,3,506,Direct3D,default,Direct3D_default,small,,none,6741,0,-1,6742
4,4,506,Direct3D,default,Direct3D_default,small,,none,8732,0,-1,8733
5,5,506,Direct3D,default,Direct3D_default,small,,none,7899,0,-1,7900
6,6,506,Direct3D,default,Direct3D_default,small,,none,8631,0,-1,8632
7,7,506,Direct3D,default,Direct3D_default,small,,none,9210,0,-1,9211
8,8,506,Direct3D,default,Direct3D_default,small,,none,8682,0,-1,8683
9,9,506,Direct3D,default,Direct3D_default,small,,none,8296,0,-1,8297
10,10,506,Direct3D,default,Direct3D_default,small,,none,8990,0,-1,8991
11,11,506,Direct3D,default,Direct3D_default,small,,none,8715,0,-1,8716
12,12,506,Direct3D,default,Direct3D_default,small,,none,8188,0,-1,8189
13,13,506,Direct3D,default,Direct3D_default,small,,none,8953,0,-1,8954
14,14,506,Direct3D,default,Direct3D_default,small,,none,8585,0,-1,8586
15,15,506,Direct3D,default,Direct3D_default,small,,none,8228,0,-1,8229
16,16,506,Direct3D,default,Direct3D_default,small,,none,9639,0,-1,9640
17,17,506,Direct3D,default,Direct3D_default,small,,none,9348,0,-1,9349
18,18,506,Direct3D,default,Direct3D_default,small,,none,5551,0,-1,5552
19,19,506,Direct3D,default,Direct3D_default,small,,none,9353,0,-1,9354
20,20,506,Direct3D,default,Direct3D_default,small,,none,8714,0,-1,8715
21,21,506,Direct3D,default,Direct3D_default,small,,none,9664,0,-1,9665
22,22,506,Direct3D,default,Direct3D_default,small,,none,9305,0,-1,9306
23,23,506,Direct3D,default,Direct3D_default,small,,none,9338,0,-1,9339
24,24,506,Direct3D,default,Direct3D_default,small,,none,7373,0,-1,7374
25,25,506,Direct3D,default,Direct3D_default,small,,none,6318,0,-1,6319
26,26,506,Direct3D,default,Direct3D_default,small,,none,10199,0,-1,10200
27,27,506,Direct3D,default,Direct3D_default,small,,none,7051,0,-1,7052
28,28,506,Direct3D,default,Direct3D_default,small,,none,10406,0,-1,10407
29,29,506,Direct3D,default,Direct3D_default,small,,none,9033,0,-1,9034
30,30,506,Direct3D,default,Direct3D_default,small,,none,11783,0,-1,11784
31,31,506,Direct3D,default,Direct3D_default,small,,none,8761,0,-1,8762
32,32,506,Direct3D,default,Direct3D_default,small,,none,8353,0,-1,8354
33,33,506,Direct3D,default,Direct3D_default,small,,none,9213,0,-1,9214
34,34,506,Direct3D,default,Direct3D_default,small,,none,8994,0,-1,8995
35,35,506,Direct3D,default,Direct3D_default,small,,none,8703,0,-1,8704
36,36,506,Direct3D,default,Direct3D_default,small,,none,8234,0,-1,8235
37,37,506,Direct3D,default,Direct3D_default,small,,none,9446,0,-1,9447
38,38,506,Direct3D,default,Direct3D_default,small,,none,7612,0,-1,7613
39,39,506,Direct3D,default,Direct3D_default,small,,none,8330,0,-1,8331
40,40,506,Direct3D,default,Direct3D_default,small,,none,7900,0,-1,7901
41,41,506,Direct3D,default,Direct3D_default,small,,none,10690,0,-1,10691
42,42,506,Direct3D,default,Direct3D_default,small,,none,6803,0,-1,6804
43,43,506,Direct3D,default,Direct3D_default,small,,none,8763,0,-1,8764
44,44,506,Direct3D,default,Direct3D_default,small,,none,8234,0,-1,8235
45,45,506,Direct3D,default,Direct3D_default,small,,none,10708,0,-1,10709
46,46,506,Direct3D,default,Direct3D_default,small,,none,9003,0,-1,9004
47,47,506,Direct3D,default,Direct3D_default,small,,none,8332,0,-1,8333
48,48,506,Direct3D,default,Direct3D_default,small,,none,8730,0,-1,8731
49,49,506,Direct3D,default,Direct3D_default,small,,none,7005,0,-1,7006
