,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2029,GDIplus,default,GDIplus_default,small,,none,9749,175,-1,9750
1,1,2029,GDIplus,default,GDIplus_default,small,,none,9919,686,-1,9920
2,2,2029,GDIplus,default,GDIplus_default,small,,none,6297,170,-1,6298
3,3,2029,GDIplus,default,GDIplus_default,small,,none,8888,341,-1,8889
4,4,2029,GDIplus,default,GDIplus_default,small,,none,10441,170,-1,10442
5,5,2029,GDIplus,default,GDIplus_default,small,,none,10083,341,-1,10084
6,6,2029,GDIplus,default,GDIplus_default,small,,none,11636,171,-1,11637
7,7,2029,GDIplus,default,GDIplus_default,small,,none,6301,178,-1,6302
8,8,2029,GDIplus,default,GDIplus_default,small,,none,10779,521,-1,10780
9,9,2029,GDIplus,default,GDIplus_default,small,,none,10430,170,-1,10431
10,10,2029,GDIplus,default,GDIplus_default,small,,none,9048,170,-1,9049
11,11,2029,GDIplus,default,GDIplus_default,small,,none,7326,178,-1,7327
12,12,2029,GDIplus,default,GDIplus_default,small,,none,12315,341,-1,12316
13,13,2029,GDIplus,default,GDIplus_default,small,,none,6294,520,-1,6295
14,14,2029,GDIplus,default,GDIplus_default,small,,none,10252,170,-1,10253
15,15,2029,GDIplus,default,GDIplus_default,small,,none,9221,341,-1,9222
16,16,2029,GDIplus,default,GDIplus_default,small,,none,10091,171,-1,10092
17,17,2029,GDIplus,default,GDIplus_default,small,,none,8874,172,-1,8875
18,18,2029,GDIplus,default,GDIplus_default,small,,none,10425,690,-1,10426
19,19,2029,GDIplus,default,GDIplus_default,small,,none,10766,170,-1,10767
20,20,2029,GDIplus,default,GDIplus_default,small,,none,9747,171,-1,9748
21,21,2029,GDIplus,default,GDIplus_default,small,,none,10945,171,-1,10946
22,22,2029,GDIplus,default,GDIplus_default,small,,none,13027,172,-1,13028
23,23,2029,GDIplus,default,GDIplus_default,small,,none,6813,171,-1,6814
24,24,2029,GDIplus,default,GDIplus_default,small,,none,9393,340,-1,9394
25,25,2029,GDIplus,default,GDIplus_default,small,,none,10610,694,-1,10611
26,26,2029,GDIplus,default,GDIplus_default,small,,none,8875,688,-1,8876
27,27,2029,GDIplus,default,GDIplus_default,small,,none,10415,170,-1,10416
28,28,2029,GDIplus,default,GDIplus_default,small,,none,7152,170,-1,7153
29,29,2029,GDIplus,default,GDIplus_default,small,,none,10779,349,-1,10780
30,30,2029,GDIplus,default,GDIplus_default,small,,none,12155,171,-1,12156
31,31,2029,GDIplus,default,GDIplus_default,small,,none,11627,170,-1,11628
32,32,2029,GDIplus,default,GDIplus_default,small,,none,12656,341,-1,12657
33,33,2029,GDIplus,default,GDIplus_default,small,,none,10774,519,-1,10775
34,34,2029,GDIplus,default,GDIplus_default,small,,none,10079,170,-1,10080
35,35,2029,GDIplus,default,GDIplus_default,small,,none,10427,690,-1,10428
36,36,2029,GDIplus,default,GDIplus_default,small,,none,7148,170,-1,7149
37,37,2029,GDIplus,default,GDIplus_default,small,,none,7855,178,-1,7856
38,38,2029,GDIplus,default,GDIplus_default,small,,none,9921,171,-1,9922
39,39,2029,GDIplus,default,GDIplus_default,small,,none,11817,178,-1,11818
40,40,2029,GDIplus,default,GDIplus_default,small,,none,9914,179,-1,9915
41,41,2029,GDIplus,default,GDIplus_default,small,,none,11115,170,-1,11116
42,42,2029,GDIplus,default,GDIplus_default,small,,none,9041,349,-1,9042
43,43,2029,GDIplus,default,GDIplus_default,small,,none,10594,171,-1,10595
44,44,2029,GDIplus,default,GDIplus_default,small,,none,10084,179,-1,10085
45,45,2029,GDIplus,default,GDIplus_default,small,,none,11468,341,-1,11469
46,46,2029,GDIplus,default,GDIplus_default,small,,none,11987,178,-1,11988
47,47,2029,GDIplus,default,GDIplus_default,small,,none,9571,171,-1,9572
48,48,2029,GDIplus,default,GDIplus_default,small,,none,6289,690,-1,6290
49,49,2029,GDIplus,default,GDIplus_default,small,,none,6980,171,-1,6981
50,50,2029,GDIplus,default,GDIplus_default,small,,none,8370,170,-1,8371
51,51,2029,GDIplus,default,GDIplus_default,small,,none,10436,171,-1,10437
52,52,2029,GDIplus,default,GDIplus_default,small,,none,11809,170,-1,11810
53,53,2029,GDIplus,default,GDIplus_default,small,,none,12162,178,-1,12163
54,54,2029,GDIplus,default,GDIplus_default,small,,none,10084,170,-1,10085
55,55,2029,GDIplus,default,GDIplus_default,small,,none,11985,170,-1,11986
56,56,2029,GDIplus,default,GDIplus_default,small,,none,11124,341,-1,11125
57,57,2029,GDIplus,default,GDIplus_default,small,,none,6646,171,-1,6647
58,58,2029,GDIplus,default,GDIplus_default,small,,none,9051,178,-1,9052
59,59,2029,GDIplus,default,GDIplus_default,small,,none,11455,171,-1,11456
60,60,2029,GDIplus,default,GDIplus_default,small,,none,10603,170,-1,10604
61,61,2029,GDIplus,default,GDIplus_default,small,,none,9059,170,-1,9060
62,62,2029,GDIplus,default,GDIplus_default,small,,none,8364,179,-1,8365
63,63,2029,GDIplus,default,GDIplus_default,small,,none,9400,170,-1,9401
64,64,2029,GDIplus,default,GDIplus_default,small,,none,9214,682,-1,9215
65,65,2029,GDIplus,default,GDIplus_default,small,,none,10080,171,-1,10081
66,66,2029,GDIplus,default,GDIplus_default,small,,none,9209,512,-1,9210
67,67,2029,GDIplus,default,GDIplus_default,small,,none,9387,170,-1,9388
68,68,2029,GDIplus,default,GDIplus_default,small,,none,9906,341,-1,9907
69,69,2029,GDIplus,default,GDIplus_default,small,,none,11982,171,-1,11983
70,70,2029,GDIplus,default,GDIplus_default,small,,none,11464,519,-1,11465
71,71,2029,GDIplus,default,GDIplus_default,small,,none,12313,171,-1,12314
72,72,2029,GDIplus,default,GDIplus_default,small,,none,7496,341,-1,7497
73,73,2029,GDIplus,default,GDIplus_default,small,,none,9221,170,-1,9222
74,74,2029,GDIplus,default,GDIplus_default,small,,none,9388,171,-1,9389
75,75,2029,GDIplus,default,GDIplus_default,small,,none,6127,172,-1,6128
76,76,2029,GDIplus,default,GDIplus_default,small,,none,9743,170,-1,9744
77,77,2029,GDIplus,default,GDIplus_default,small,,none,10430,861,-1,10431
78,78,2029,GDIplus,default,GDIplus_default,small,,none,10596,516,-1,10597
79,79,2029,GDIplus,default,GDIplus_default,small,,none,8879,170,-1,8880
80,80,2029,GDIplus,default,GDIplus_default,small,,none,11969,170,-1,11970
81,81,2029,GDIplus,default,GDIplus_default,small,,none,10083,170,-1,10084
82,82,2029,GDIplus,default,GDIplus_default,small,,none,9565,350,-1,9566
83,83,2029,GDIplus,default,GDIplus_default,small,,none,7853,179,-1,7854
84,84,2029,GDIplus,default,GDIplus_default,small,,none,10595,342,-1,10596
85,85,2029,GDIplus,default,GDIplus_default,small,,none,8022,171,-1,8023
86,86,2029,GDIplus,default,GDIplus_default,small,,none,6122,691,-1,6123
87,87,2029,GDIplus,default,GDIplus_default,small,,none,10777,179,-1,10778
88,88,2029,GDIplus,default,GDIplus_default,small,,none,9060,171,-1,9061
89,89,2029,GDIplus,default,GDIplus_default,small,,none,8880,349,-1,8881
90,90,2029,GDIplus,default,GDIplus_default,small,,none,11285,342,-1,11286
91,91,2029,GDIplus,default,GDIplus_default,small,,none,9389,171,-1,9390
92,92,2029,GDIplus,default,GDIplus_default,small,,none,7493,511,-1,7494
93,93,2029,GDIplus,default,GDIplus_default,small,,none,11452,171,-1,11453
94,94,2029,GDIplus,default,GDIplus_default,small,,none,9045,171,-1,9046
95,95,2029,GDIplus,default,GDIplus_default,small,,none,10075,170,-1,10076
96,96,2029,GDIplus,default,GDIplus_default,small,,none,10769,341,-1,10770
97,97,2029,GDIplus,default,GDIplus_default,small,,none,10077,171,-1,10078
