,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2214,GLUT,default,GLUT_default,fullscreen,,none,8070,4294967164,-1,8071
1,1,2214,GLUT,default,GLUT_default,fullscreen,,none,6473,4294967164,-1,6474
2,2,2214,GLUT,default,GLUT_default,fullscreen,,none,6987,4294967164,-1,6988
3,3,2214,GLUT,default,GLUT_default,fullscreen,,none,5961,4294967164,-1,5962
4,4,2214,GLUT,default,GLUT_default,fullscreen,,none,5953,4294967164,-1,5954
5,5,2214,GLUT,default,GLUT_default,fullscreen,,none,6304,4294967164,-1,6305
6,6,2214,GLUT,default,GLUT_default,fullscreen,,none,6127,4294967164,-1,6128
7,7,2214,GLUT,default,GLUT_default,fullscreen,,none,6822,4294967164,-1,6823
8,8,2214,GLUT,default,GLUT_default,fullscreen,,none,5274,4294967164,-1,5275
9,9,2214,GLUT,default,GLUT_default,fullscreen,,none,6298,4294967164,-1,6299
10,10,2214,GLUT,default,GLUT_default,fullscreen,,none,7001,4294967164,-1,7002
11,11,2214,GLUT,default,GLUT_default,fullscreen,,none,7515,4294967164,-1,7516
12,12,2214,GLUT,default,GLUT_default,fullscreen,,none,5094,4294967164,-1,5095
13,13,2214,GLUT,default,GLUT_default,fullscreen,,none,5619,4294967164,-1,5620
14,14,2214,GLUT,default,GLUT_default,fullscreen,,none,5620,4294967164,-1,5621
15,15,2214,GLUT,default,GLUT_default,fullscreen,,none,6477,4294967164,-1,6478
16,16,2214,GLUT,default,GLUT_default,fullscreen,,none,6300,4294967164,-1,6301
17,17,2214,GLUT,default,GLUT_default,fullscreen,,none,7330,4294967164,-1,7331
18,18,2214,GLUT,default,GLUT_default,fullscreen,,none,4923,4294967164,-1,4924
19,19,2214,GLUT,default,GLUT_default,fullscreen,,none,6986,4294967164,-1,6987
20,20,2214,GLUT,default,GLUT_default,fullscreen,,none,6123,4294967164,-1,6124
21,21,2214,GLUT,default,GLUT_default,fullscreen,,none,6653,4294967164,-1,6654
22,22,2214,GLUT,default,GLUT_default,fullscreen,,none,6987,4294967164,-1,6988
23,23,2214,GLUT,default,GLUT_default,fullscreen,,none,6655,4294967164,-1,6656
24,24,2214,GLUT,default,GLUT_default,fullscreen,,none,6990,4294967164,-1,6991
25,25,2214,GLUT,default,GLUT_default,fullscreen,,none,5268,4294967164,-1,5269
26,26,2214,GLUT,default,GLUT_default,fullscreen,,none,7338,4294967164,-1,7339
27,27,2214,GLUT,default,GLUT_default,fullscreen,,none,6819,4294967164,-1,6820
28,28,2214,GLUT,default,GLUT_default,fullscreen,,none,5791,4294967164,-1,5792
29,29,2214,GLUT,default,GLUT_default,fullscreen,,none,6825,4294967164,-1,6826
30,30,2214,GLUT,default,GLUT_default,fullscreen,,none,6303,4294967164,-1,6304
31,31,2214,GLUT,default,GLUT_default,fullscreen,,none,6476,4294967164,-1,6477
32,32,2214,GLUT,default,GLUT_default,fullscreen,,none,6819,4294967164,-1,6820
33,33,2214,GLUT,default,GLUT_default,fullscreen,,none,6829,4294967164,-1,6830
34,34,2214,GLUT,default,GLUT_default,fullscreen,,none,7339,4294967164,-1,7340
35,35,2214,GLUT,default,GLUT_default,fullscreen,,none,7674,4294967164,-1,7675
36,36,2214,GLUT,default,GLUT_default,fullscreen,,none,7172,4294967164,-1,7173
37,37,2214,GLUT,default,GLUT_default,fullscreen,,none,5270,4294967164,-1,5271
38,38,2214,GLUT,default,GLUT_default,fullscreen,,none,8019,4294967164,-1,8020
39,39,2214,GLUT,default,GLUT_default,fullscreen,,none,7680,4294967164,-1,7681
40,40,2214,GLUT,default,GLUT_default,fullscreen,,none,5264,4294967164,-1,5265
41,41,2214,GLUT,default,GLUT_default,fullscreen,,none,7860,4294967164,-1,7861
42,42,2214,GLUT,default,GLUT_default,fullscreen,,none,5959,4294967164,-1,5960
43,43,2214,GLUT,default,GLUT_default,fullscreen,,none,7870,4294967164,-1,7871
44,44,2214,GLUT,default,GLUT_default,fullscreen,,none,5962,4294967164,-1,5963
45,45,2214,GLUT,default,GLUT_default,fullscreen,,none,6833,4294967164,-1,6834
46,46,2214,GLUT,default,GLUT_default,fullscreen,,none,5612,4294967164,-1,5613
47,47,2214,GLUT,default,GLUT_default,fullscreen,,none,7512,4294967164,-1,7513
48,48,2214,GLUT,default,GLUT_default,fullscreen,,none,7505,4294967164,-1,7506
49,49,2214,GLUT,default,GLUT_default,fullscreen,,none,6649,4294967164,-1,6650
50,50,2214,GLUT,default,GLUT_default,fullscreen,,none,7857,4294967164,-1,7858
51,51,2214,GLUT,default,GLUT_default,fullscreen,,none,5948,4294967164,-1,5949
52,52,2214,GLUT,default,GLUT_default,fullscreen,,none,6816,4294967164,-1,6817
53,53,2214,GLUT,default,GLUT_default,fullscreen,,none,5267,4294967164,-1,5268
54,54,2214,GLUT,default,GLUT_default,fullscreen,,none,7327,4294967164,-1,7328
55,55,2214,GLUT,default,GLUT_default,fullscreen,,none,6643,4294967164,-1,6644
56,56,2214,GLUT,default,GLUT_default,fullscreen,,none,6990,4294967164,-1,6991
57,57,2214,GLUT,default,GLUT_default,fullscreen,,none,6295,4294967164,-1,6296
58,58,2214,GLUT,default,GLUT_default,fullscreen,,none,5261,4294967164,-1,5262
59,59,2214,GLUT,default,GLUT_default,fullscreen,,none,6639,4294967164,-1,6640
60,60,2214,GLUT,default,GLUT_default,fullscreen,,none,7852,4294967164,-1,7853
61,61,2214,GLUT,default,GLUT_default,fullscreen,,none,6642,4294967164,-1,6643
62,62,2214,GLUT,default,GLUT_default,fullscreen,,none,5953,4294967164,-1,5954
63,63,2214,GLUT,default,GLUT_default,fullscreen,,none,7342,4294967164,-1,7343
64,64,2214,GLUT,default,GLUT_default,fullscreen,,none,6136,4294967164,-1,6137
65,65,2214,GLUT,default,GLUT_default,fullscreen,,none,6828,4294967164,-1,6829
66,66,2214,GLUT,default,GLUT_default,fullscreen,,none,7336,4294967164,-1,7337
67,67,2214,GLUT,default,GLUT_default,fullscreen,,none,7851,4294967164,-1,7852
68,68,2214,GLUT,default,GLUT_default,fullscreen,,none,7339,4294967164,-1,7340
69,69,2214,GLUT,default,GLUT_default,fullscreen,,none,6480,4294967164,-1,6481
