,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2007,GTK,default,GTK_default,small,5,getpixel,8382,2073,2258,6124
1,1,2007,GTK,default,GTK_default,small,5,getpixel,7668,2755,3642,4026
2,2,2007,GTK,default,GTK_default,small,5,getpixel,8712,1376,2444,6268
3,3,2007,GTK,default,GTK_default,small,5,getpixel,7156,170,3418,3738
4,4,2007,GTK,default,GTK_default,small,5,getpixel,8366,520,4919,3447
5,5,2007,GTK,default,GTK_default,small,5,getpixel,8361,519,6069,2292
6,6,2007,GTK,default,GTK_default,small,5,getpixel,7164,682,3681,3483
7,7,2007,GTK,default,GTK_default,small,5,getpixel,8545,348,4498,4047
8,8,2007,GTK,default,GTK_default,small,5,getpixel,8026,342,4504,3522
9,9,2007,GTK,default,GTK_default,small,5,getpixel,7848,172,4456,3392
10,10,2007,GTK,default,GTK_default,small,5,getpixel,8018,683,2003,6015
11,11,2007,GTK,default,GTK_default,small,5,getpixel,8021,341,4104,3917
12,12,2007,GTK,default,GTK_default,small,5,getpixel,7166,341,3744,3422
13,13,2007,GTK,default,GTK_default,small,5,getpixel,8360,348,5037,3323
14,14,2007,GTK,default,GTK_default,small,5,getpixel,7327,1033,3803,3524
15,15,2007,GTK,default,GTK_default,small,5,getpixel,8880,690,5389,3491
16,16,2007,GTK,default,GTK_default,small,5,getpixel,8535,1210,4944,3591
17,17,2007,GTK,default,GTK_default,small,5,getpixel,7852,170,4636,3216
18,18,2007,GTK,default,GTK_default,small,5,getpixel,6988,1201,3312,3676
19,19,2007,GTK,default,GTK_default,small,5,getpixel,7506,1041,3873,3633
20,20,2007,GTK,default,GTK_default,small,5,getpixel,7148,2577,3434,3714
21,21,2007,GTK,default,GTK_default,small,5,getpixel,7149,170,3027,4122
22,22,2007,GTK,default,GTK_default,small,5,getpixel,8363,340,4812,3551
23,23,2007,GTK,default,GTK_default,small,5,getpixel,8010,341,4292,3718
24,24,2007,GTK,default,GTK_default,small,5,getpixel,8546,862,5172,3374
25,25,2007,GTK,default,GTK_default,small,5,getpixel,9051,861,2776,6275
26,26,2007,GTK,default,GTK_default,small,5,getpixel,8369,341,4791,3578
27,27,2007,GTK,default,GTK_default,small,5,getpixel,6988,341,2754,4234
28,28,2007,GTK,default,GTK_default,small,5,getpixel,8527,341,4752,3775
29,29,2007,GTK,default,GTK_default,small,5,getpixel,8015,690,4531,3484
30,30,2007,GTK,default,GTK_default,small,5,getpixel,7154,170,3207,3947
31,31,2007,GTK,default,GTK_default,small,5,getpixel,7155,172,4985,2170
32,32,2007,GTK,default,GTK_default,small,5,getpixel,7490,342,4009,3481
33,33,2007,GTK,default,GTK_default,small,5,getpixel,7498,1202,4037,3461
34,34,2007,GTK,default,GTK_default,small,5,getpixel,7495,1203,3546,3949
35,35,2007,GTK,default,GTK_default,small,5,getpixel,6637,341,2823,3814
