,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8353,8601,-1,8354
1,1,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,9577,9831,-1,9578
2,2,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,7846,8096,-1,7847
3,3,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,9047,9297,-1,9048
4,4,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,9041,9634,-1,9042
5,5,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,7840,8260,-1,7841
6,6,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,4922,5350,-1,4923
7,7,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8874,9298,-1,8875
8,8,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,9055,9475,-1,9056
9,9,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,5951,6380,-1,5952
10,10,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8523,8773,-1,8524
11,11,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8708,9128,-1,8709
12,12,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,5610,6037,-1,5611
13,13,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8882,9140,-1,8883
14,14,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,6993,9320,-1,6994
15,15,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,9227,9484,-1,9228
16,16,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,5949,6199,-1,5950
17,17,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8529,8778,-1,8530
18,18,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,7663,9990,-1,7664
19,19,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,7665,8775,-1,7666
20,20,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8702,8952,-1,8703
21,21,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,9565,9993,-1,9566
22,22,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,5597,5846,-1,5598
23,23,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,6630,7057,-1,6631
24,24,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,7674,8103,-1,7675
25,25,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8694,8952,-1,8695
26,26,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8355,8612,-1,8356
27,27,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,9041,9298,-1,9042
28,28,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,7830,8087,-1,7831
29,29,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,9221,9478,-1,9222
30,30,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8189,8446,-1,8190
31,31,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,6634,7062,-1,6635
32,32,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,7840,8098,-1,7841
33,33,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,7672,8100,-1,7673
34,34,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8883,9140,-1,8884
35,35,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,6978,7404,-1,6979
36,36,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8367,8617,-1,8368
37,37,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,4923,5351,-1,4924
38,38,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,7836,10167,-1,7837
39,39,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,7848,8098,-1,7849
40,40,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8705,8954,-1,8706
41,41,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,6307,6556,-1,6308
42,42,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8024,8452,-1,8025
43,43,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,5948,6197,-1,5949
44,44,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,4747,5167,-1,4748
45,45,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8368,8617,-1,8369
46,46,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,9573,9822,-1,9574
47,47,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,7510,7760,-1,7511
48,48,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8020,8439,-1,8021
49,49,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8709,8958,-1,8710
50,50,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,7330,9646,-1,7331
51,51,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8201,8621,-1,8202
52,52,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,4748,6889,-1,4749
53,53,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,7682,7931,-1,7683
54,54,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,7506,7925,-1,7507
55,55,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,9569,9988,-1,9570
56,56,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,5085,7401,-1,5086
57,57,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,7846,8095,-1,7847
58,58,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8880,9129,-1,8881
59,59,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,6472,6721,-1,6473
60,60,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,7503,9821,-1,7504
61,61,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,9396,9645,-1,9397
62,62,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8370,8619,-1,8371
63,63,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,8537,8787,-1,8538
64,64,2314,JavaSwing,default,JavaSwing_default,fullscreen,,none,7676,9820,-1,7677
