,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,8030,3280,5519,2511
1,1,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,6976,7054,4746,2230
2,2,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,8012,6545,4270,3742
3,3,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,8353,5331,4635,3718
4,4,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,7661,7227,5556,2105
5,5,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,8020,1375,5795,2225
6,6,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,6983,1722,4662,2321
7,7,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,7670,1892,4960,2710
8,8,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,6982,169,4936,2046
9,9,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,7663,1711,5374,2289
10,10,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,8182,4302,6343,1839
11,11,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,7149,6193,5295,1854
12,12,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,8702,0,4952,3750
13,13,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,7670,0,5542,2128
14,14,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,7490,1717,5807,1683
15,15,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,8183,1201,5109,3074
16,16,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,7835,6709,4882,2953
17,17,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,7320,7226,5040,2280
18,18,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,8176,7911,5104,3072
19,19,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,7838,1206,4776,3062
20,20,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,8351,4992,6127,2224
21,21,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,8694,2579,4784,3910
22,22,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,8534,3101,5270,3264
23,23,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,7662,2921,5463,2199
24,24,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,7147,5509,4826,2321
25,25,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,7495,6025,5544,1951
26,26,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,7658,3095,4423,3235
27,27,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,7666,1543,3843,3823
28,28,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,8351,7395,5796,2555
29,29,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,8187,4306,5895,2292
30,30,3858,JavaSwing,rects,JavaSwing_rects,fullscreen,3,getpixel,7155,2065,4555,2600
