,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2313,Qt5,default,Qt5_default,fullscreen,2,windup,10259,12584,6949,3310
1,1,2313,Qt5,default,Qt5_default,fullscreen,2,windup,9920,12244,5788,4132
2,2,2313,Qt5,default,Qt5_default,fullscreen,2,windup,10245,12565,6223,4022
3,3,2313,Qt5,default,Qt5_default,fullscreen,2,windup,9748,12240,5668,4080
4,4,2313,Qt5,default,Qt5_default,fullscreen,2,windup,10258,12577,6205,4053
5,5,2313,Qt5,default,Qt5_default,fullscreen,2,windup,10954,13266,6810,4144
6,6,2313,Qt5,default,Qt5_default,fullscreen,2,windup,10080,12401,6030,4050
7,7,2313,Qt5,default,Qt5_default,fullscreen,2,windup,9743,12230,5690,4053
8,8,2313,Qt5,default,Qt5_default,fullscreen,2,windup,9913,12398,5776,4137
9,9,2313,Qt5,default,Qt5_default,fullscreen,2,windup,10782,13103,6716,4066
10,10,2313,Qt5,default,Qt5_default,fullscreen,2,windup,11112,13437,6930,4182
11,11,2313,Qt5,default,Qt5_default,fullscreen,2,windup,9386,11705,5102,4284
12,12,2313,Qt5,default,Qt5_default,fullscreen,2,windup,10431,12747,6298,4133
13,13,2313,Qt5,default,Qt5_default,fullscreen,2,windup,11118,13441,6909,4209
14,14,2313,Qt5,default,Qt5_default,fullscreen,2,windup,10778,13104,6291,4487
15,15,2313,Qt5,default,Qt5_default,fullscreen,2,windup,9391,11707,5143,4248
16,16,2313,Qt5,default,Qt5_default,fullscreen,2,windup,9740,12061,5577,4163
17,17,2313,Qt5,default,Qt5_default,fullscreen,2,windup,9396,11717,5331,4065
18,18,2313,Qt5,default,Qt5_default,fullscreen,2,windup,9915,12236,5680,4235
19,19,2313,Qt5,default,Qt5_default,fullscreen,2,windup,10082,12571,7363,2719
20,20,2313,Qt5,default,Qt5_default,fullscreen,2,windup,10426,12748,6319,4107
21,21,2313,Qt5,default,Qt5_default,fullscreen,2,windup,10605,13104,6585,4020
