,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,41607,2239,-1,41608
1,1,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,41586,517,-1,41587
2,2,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,38484,2402,-1,38485
3,3,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,40046,2405,-1,40047
4,4,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,39347,8266,-1,39348
5,5,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,39866,9983,-1,39867
6,6,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,41765,3783,-1,41766
7,7,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,41256,1553,-1,41257
8,8,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,40545,168,-1,40546
9,9,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,40554,339,-1,40555
10,10,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,40029,3096,-1,40030
11,11,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,41262,1890,-1,41263
12,12,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,39858,2230,-1,39859
13,13,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,39892,688,-1,39893
14,14,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,40217,3613,-1,40218
15,15,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,37317,2240,-1,37318
16,16,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,40403,3273,-1,40404
17,17,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,41933,167,-1,41934
18,18,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,41253,850,-1,41254
19,19,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,40559,1028,-1,40560
20,20,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,40432,7751,-1,40433
21,21,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,40213,168,-1,40214
22,22,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,42287,168,-1,42288
23,23,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,40198,4471,-1,40199
24,24,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,39004,1030,-1,39005
25,25,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,39185,1201,-1,39186
26,26,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,40192,1371,-1,40193
27,27,3861,SDL2_Software,rects,SDL2_Software_rects,fullscreen,,none,40557,859,-1,40558
