,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2326,SFML,default,SFML_default,fullscreen,,none,6810,6896,-1,6811
1,1,2326,SFML,default,SFML_default,fullscreen,,none,4057,4314,-1,4058
2,2,2326,SFML,default,SFML_default,fullscreen,,none,6636,6893,-1,6637
3,3,2326,SFML,default,SFML_default,fullscreen,,none,5594,5681,-1,5595
4,4,2326,SFML,default,SFML_default,fullscreen,,none,4231,4309,-1,4232
5,5,2326,SFML,default,SFML_default,fullscreen,,none,6114,6371,-1,6115
6,6,2326,SFML,default,SFML_default,fullscreen,,none,4916,4994,-1,4917
7,7,2326,SFML,default,SFML_default,fullscreen,,none,6816,7065,-1,6817
8,8,2326,SFML,default,SFML_default,fullscreen,,none,6979,7057,-1,6980
9,9,2326,SFML,default,SFML_default,fullscreen,,none,5953,6211,-1,5954
10,10,2326,SFML,default,SFML_default,fullscreen,,none,4053,4132,-1,4054
11,11,2326,SFML,default,SFML_default,fullscreen,,none,4052,4309,-1,4053
12,12,2326,SFML,default,SFML_default,fullscreen,,none,4572,4830,-1,4573
13,13,2326,SFML,default,SFML_default,fullscreen,,none,5954,6032,-1,5955
14,14,2326,SFML,default,SFML_default,fullscreen,,none,3884,3791,-1,3885
15,15,2326,SFML,default,SFML_default,fullscreen,,none,6474,6722,-1,6475
16,16,2326,SFML,default,SFML_default,fullscreen,,none,7156,7235,-1,7157
17,17,2326,SFML,default,SFML_default,fullscreen,,none,5265,5514,-1,5266
18,18,2326,SFML,default,SFML_default,fullscreen,,none,6641,6719,-1,6642
19,19,2326,SFML,default,SFML_default,fullscreen,,none,6131,6380,-1,6132
20,20,2326,SFML,default,SFML_default,fullscreen,,none,5087,5336,-1,5088
21,21,2326,SFML,default,SFML_default,fullscreen,,none,5435,5514,-1,5436
22,22,2326,SFML,default,SFML_default,fullscreen,,none,7153,7402,-1,7154
23,23,2326,SFML,default,SFML_default,fullscreen,,none,6815,7065,-1,6816
24,24,2326,SFML,default,SFML_default,fullscreen,,none,5257,5336,-1,5258
25,25,2326,SFML,default,SFML_default,fullscreen,,none,5087,5336,-1,5088
26,26,2326,SFML,default,SFML_default,fullscreen,,none,5608,5687,-1,5609
27,27,2326,SFML,default,SFML_default,fullscreen,,none,5440,5519,-1,5441
28,28,2326,SFML,default,SFML_default,fullscreen,,none,4577,4655,-1,4578
29,29,2326,SFML,default,SFML_default,fullscreen,,none,6475,6554,-1,6476
30,30,2326,SFML,default,SFML_default,fullscreen,,none,6473,6722,-1,6474
31,31,2326,SFML,default,SFML_default,fullscreen,,none,4056,4477,-1,4057
32,32,2326,SFML,default,SFML_default,fullscreen,,none,5776,6025,-1,5777
33,33,2326,SFML,default,SFML_default,fullscreen,,none,4745,4995,-1,4746
34,34,2326,SFML,default,SFML_default,fullscreen,,none,7150,7228,-1,7151
35,35,2326,SFML,default,SFML_default,fullscreen,,none,3711,3960,-1,3712
36,36,2326,SFML,default,SFML_default,fullscreen,,none,4920,4998,-1,4921
37,37,2326,SFML,default,SFML_default,fullscreen,,none,6981,7231,-1,6982
38,38,2326,SFML,default,SFML_default,fullscreen,,none,5083,5333,-1,5084
39,39,2326,SFML,default,SFML_default,fullscreen,,none,5949,6198,-1,5950
40,40,2326,SFML,default,SFML_default,fullscreen,,none,5443,5692,-1,5444
41,41,2326,SFML,default,SFML_default,fullscreen,,none,5607,5686,-1,5608
42,42,2326,SFML,default,SFML_default,fullscreen,,none,5614,5868,-1,5615
