,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2315,Skia,default,Skia_default,fullscreen,,none,10951,11378,-1,10952
1,1,2315,Skia,default,Skia_default,fullscreen,,none,14565,14814,-1,14566
2,2,2315,Skia,default,Skia_default,fullscreen,,none,14225,14474,-1,14226
3,3,2315,Skia,default,Skia_default,fullscreen,,none,12485,12912,-1,12486
4,4,2315,Skia,default,Skia_default,fullscreen,,none,11629,12049,-1,11630
5,5,2315,Skia,default,Skia_default,fullscreen,,none,17324,17573,-1,17325
6,6,2315,Skia,default,Skia_default,fullscreen,,none,10772,13086,-1,10773
7,7,2315,Skia,default,Skia_default,fullscreen,,none,11122,11371,-1,11123
8,8,2315,Skia,default,Skia_default,fullscreen,,none,17682,17931,-1,17683
9,9,2315,Skia,default,Skia_default,fullscreen,,none,14231,14480,-1,14232
10,10,2315,Skia,default,Skia_default,fullscreen,,none,13028,13277,-1,13029
11,11,2315,Skia,default,Skia_default,fullscreen,,none,15089,15510,-1,15090
12,12,2315,Skia,default,Skia_default,fullscreen,,none,9053,9302,-1,9054
13,13,2315,Skia,default,Skia_default,fullscreen,,none,8708,11029,-1,8709
14,14,2315,Skia,default,Skia_default,fullscreen,,none,8705,11024,-1,8706
15,15,2315,Skia,default,Skia_default,fullscreen,,none,12846,13095,-1,12847
16,16,2315,Skia,default,Skia_default,fullscreen,,none,7851,8100,-1,7852
17,17,2315,Skia,default,Skia_default,fullscreen,,none,11978,12397,-1,11979
18,18,2315,Skia,default,Skia_default,fullscreen,,none,13007,13086,-1,13008
19,19,2315,Skia,default,Skia_default,fullscreen,,none,8707,8956,-1,8708
20,20,2315,Skia,default,Skia_default,fullscreen,,none,15761,16185,-1,15762
21,21,2315,Skia,default,Skia_default,fullscreen,,none,10610,12923,-1,10611
22,22,2315,Skia,default,Skia_default,fullscreen,,none,11816,12235,-1,11817
23,23,2315,Skia,default,Skia_default,fullscreen,,none,14401,14650,-1,14402
24,24,2315,Skia,default,Skia_default,fullscreen,,none,13004,13253,-1,13005
25,25,2315,Skia,default,Skia_default,fullscreen,,none,9571,11719,-1,9572
