,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3855,Skia,rects,Skia_rects,fullscreen,3,windup,20762,2580,15375,5387
1,1,3855,Skia,rects,Skia_rects,fullscreen,3,windup,18179,5167,15514,2665
2,2,3855,Skia,rects,Skia_rects,fullscreen,3,windup,16637,4303,14504,2133
3,3,3855,Skia,rects,Skia_rects,fullscreen,3,windup,19724,3960,15035,4689
4,4,3855,Skia,rects,Skia_rects,fullscreen,3,windup,16957,3266,14368,2589
5,5,3855,Skia,rects,Skia_rects,fullscreen,3,windup,17484,3100,14477,3007
6,6,3855,Skia,rects,Skia_rects,fullscreen,3,windup,19032,5501,14852,4180
7,7,3855,Skia,rects,Skia_rects,fullscreen,3,windup,20917,1028,15690,5227
8,8,3855,Skia,rects,Skia_rects,fullscreen,3,windup,16450,1207,14322,2128
9,9,3855,Skia,rects,Skia_rects,fullscreen,3,windup,19887,168,15373,4514
10,10,3855,Skia,rects,Skia_rects,fullscreen,3,windup,20244,5678,14621,5623
11,11,3855,Skia,rects,Skia_rects,fullscreen,3,windup,21088,19962,17584,3504
12,12,3855,Skia,rects,Skia_rects,fullscreen,3,windup,20419,2927,15756,4663
13,13,3855,Skia,rects,Skia_rects,fullscreen,3,windup,19906,13261,14610,5296
14,14,3855,Skia,rects,Skia_rects,fullscreen,3,windup,18171,4988,14563,3608
15,15,3855,Skia,rects,Skia_rects,fullscreen,3,windup,19729,10156,14870,4859
16,16,3855,Skia,rects,Skia_rects,fullscreen,3,windup,20606,10343,14997,5609
17,17,3855,Skia,rects,Skia_rects,fullscreen,3,windup,18168,1890,14311,3857
18,18,3855,Skia,rects,Skia_rects,fullscreen,3,windup,19887,510,14709,5178
19,19,3855,Skia,rects,Skia_rects,fullscreen,3,windup,17485,11364,14442,3043
20,20,3855,Skia,rects,Skia_rects,fullscreen,3,windup,17323,679,14122,3201
21,21,3855,Skia,rects,Skia_rects,fullscreen,3,windup,17833,16708,14410,3423
22,22,3855,Skia,rects,Skia_rects,fullscreen,3,windup,16790,6017,14239,2551
23,23,3855,Skia,rects,Skia_rects,fullscreen,3,windup,19547,1376,14671,4876
24,24,3855,Skia,rects,Skia_rects,fullscreen,3,windup,17991,509,14894,3097
25,25,3855,Skia,rects,Skia_rects,fullscreen,3,windup,20558,14446,14733,5825
26,26,3855,Skia,rects,Skia_rects,fullscreen,3,windup,19371,0,16291,3080
27,27,3855,Skia,rects,Skia_rects,fullscreen,3,windup,19028,7398,15387,3641
28,28,3855,Skia,rects,Skia_rects,fullscreen,3,windup,17985,5678,14643,3342
29,29,3855,Skia,rects,Skia_rects,fullscreen,3,windup,19895,18428,15155,4740
30,30,3855,Skia,rects,Skia_rects,fullscreen,3,windup,18350,1893,14494,3856
31,31,3855,Skia,rects,Skia_rects,fullscreen,3,windup,16971,6889,14284,2687
32,32,3855,Skia,rects,Skia_rects,fullscreen,3,windup,18506,2406,14478,4028
33,33,3855,Skia,rects,Skia_rects,fullscreen,3,windup,17307,10322,14120,3187
34,34,3855,Skia,rects,Skia_rects,fullscreen,3,windup,20935,3957,14929,6006
35,35,3855,Skia,rects,Skia_rects,fullscreen,3,windup,17652,2405,14282,3370
36,36,3855,Skia,rects,Skia_rects,fullscreen,3,windup,22299,5334,17772,4527
37,37,3855,Skia,rects,Skia_rects,fullscreen,3,windup,17822,6537,14132,3690
38,38,3855,Skia,rects,Skia_rects,fullscreen,3,windup,17483,2062,14393,3090
39,39,3855,Skia,rects,Skia_rects,fullscreen,3,windup,19379,3093,14602,4777
40,40,3855,Skia,rects,Skia_rects,fullscreen,3,windup,19734,5853,14612,5122
41,41,3855,Skia,rects,Skia_rects,fullscreen,3,windup,19033,4988,15364,3669
42,42,3855,Skia,rects,Skia_rects,fullscreen,3,windup,17647,1711,14215,3432
43,43,3855,Skia,rects,Skia_rects,fullscreen,3,windup,19024,4123,14950,4074
44,44,3855,Skia,rects,Skia_rects,fullscreen,3,windup,16973,12401,14355,2618
45,45,3855,Skia,rects,Skia_rects,fullscreen,3,windup,17821,2751,14219,3602
46,46,3855,Skia,rects,Skia_rects,fullscreen,3,windup,19208,2067,14532,4676
47,47,3855,Skia,rects,Skia_rects,fullscreen,3,windup,20567,18410,14641,5926
48,48,3855,Skia,rects,Skia_rects,fullscreen,3,windup,17993,8264,14185,3808
49,49,3855,Skia,rects,Skia_rects,fullscreen,3,windup,17847,1028,14239,3608
50,50,3855,Skia,rects,Skia_rects,fullscreen,3,windup,19546,8602,14699,4847
51,51,3855,Skia,rects,Skia_rects,fullscreen,3,windup,17308,5329,14341,2967
52,52,3855,Skia,rects,Skia_rects,fullscreen,3,windup,16617,3774,13930,2687
