,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,47873,221,44751,3122
1,1,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,46111,183,42942,3169
2,2,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,99146,182,95936,3210
3,3,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,43155,354,40087,3068
4,4,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,45915,524,42977,2938
5,5,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,47813,188,44726,3087
6,6,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,44552,190,41353,3199
7,7,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,45969,182,43009,2960
8,8,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,45916,183,42829,3087
9,9,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,45581,182,42469,3112
10,10,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,43672,183,40665,3007
11,11,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,45075,695,41849,3226
12,12,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,46093,182,42925,3168
13,13,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,57273,182,54097,3176
14,14,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,45926,182,42974,2952
15,15,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,43881,534,40697,3184
16,16,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,44572,182,41566,3006
17,17,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,46093,182,42976,3117
18,18,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,46773,182,43534,3239
19,19,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,45238,182,42054,3184
20,20,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,46081,183,42968,3113
21,21,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,45908,354,42754,3154
22,22,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,45914,533,42672,3242
23,23,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,45944,182,42704,3240
24,24,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,46447,191,43478,2969
25,25,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,46088,182,42959,3129
26,26,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,52134,183,49083,3051
27,27,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,47664,190,44452,3212
28,28,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,42484,182,39361,3123
29,29,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,47116,183,44071,3045
30,30,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,46100,183,42833,3267
31,31,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,47318,182,44100,3218
32,32,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,44031,184,40824,3207
33,33,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,47808,182,44560,3248
34,34,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,47120,182,44084,3036
35,35,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,46455,182,43288,3167
36,36,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,50055,182,46964,3091
37,37,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,44179,354,41264,2915
38,38,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,58978,183,55621,3357
39,39,3913,WinUI,rects,WinUI_rects,fullscreen,2,windup,42130,183,38969,3161
