,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,19382,0,-1,19383
1,1,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,14553,0,-1,14554
2,2,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20397,0,-1,20398
3,3,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,22982,0,-1,22983
4,4,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20061,0,-1,20062
5,5,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,19546,0,-1,19547
6,6,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,14729,0,-1,14730
7,7,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,21089,0,-1,21090
8,8,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,22323,0,-1,22324
9,9,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,21784,0,-1,21785
10,10,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20585,0,-1,20586
11,11,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,19543,0,-1,19544
12,12,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,19541,0,-1,19542
13,13,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,19890,0,-1,19891
14,14,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20570,0,-1,20571
15,15,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,23340,0,-1,23341
16,16,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20411,0,-1,20412
17,17,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,22993,0,-1,22994
18,18,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,21105,0,-1,21106
19,19,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,23335,0,-1,23336
20,20,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,18341,0,-1,18342
21,21,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,22818,0,-1,22819
22,22,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20415,0,-1,20416
23,23,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,21286,0,-1,21287
24,24,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,21966,0,-1,21967
25,25,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,19722,0,-1,19723
26,26,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20756,0,-1,20757
27,27,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,22989,0,-1,22990
28,28,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20237,0,-1,20238
29,29,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20239,0,-1,20240
30,30,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,16966,0,-1,16967
31,31,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,30225,0,-1,30226
32,32,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,14552,0,-1,14553
33,33,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,15063,0,-1,15064
34,34,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,13006,0,-1,13007
35,35,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,22645,0,-1,22646
36,36,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20575,0,-1,20576
37,37,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20919,0,-1,20920
38,38,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,14907,0,-1,14908
39,39,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,18512,0,-1,18513
40,40,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,14391,0,-1,14392
41,41,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20430,0,-1,20431
42,42,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,21277,0,-1,21278
43,43,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20738,0,-1,20739
44,44,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20575,0,-1,20576
45,45,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,16270,0,-1,16271
46,46,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20750,0,-1,20751
47,47,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20926,0,-1,20927
48,48,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,18352,0,-1,18353
49,49,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20059,0,-1,20060
50,50,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20585,0,-1,20586
51,51,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,22313,0,-1,22314
52,52,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,15772,0,-1,15773
53,53,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20409,0,-1,20410
54,54,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,15596,0,-1,15597
55,55,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20751,0,-1,20752
56,56,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,21467,0,-1,21468
57,57,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,22829,0,-1,22830
58,58,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20060,0,-1,20061
59,59,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,21103,0,-1,21104
60,60,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,18327,0,-1,18328
61,61,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20916,0,-1,20917
62,62,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,22131,0,-1,22132
63,63,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,23868,0,-1,23869
64,64,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,23666,0,-1,23667
65,65,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,23864,0,-1,23865
66,66,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,17489,0,-1,17490
67,67,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,19031,0,-1,19032
68,68,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,13002,0,-1,13003
69,69,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,29549,0,-1,29550
70,70,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,19889,0,-1,19890
71,71,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,14377,0,-1,14378
72,72,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,19360,0,-1,19361
73,73,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,14731,0,-1,14732
74,74,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20403,0,-1,20404
75,75,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,19719,0,-1,19720
76,76,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,18333,0,-1,18334
77,77,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,23338,0,-1,23339
78,78,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,16630,0,-1,16631
79,79,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,19894,0,-1,19895
80,80,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20244,0,-1,20245
81,81,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,19719,0,-1,19720
82,82,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,23488,0,-1,23489
83,83,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,19712,0,-1,19713
84,84,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,18181,0,-1,18182
85,85,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20753,0,-1,20754
86,86,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20402,0,-1,20403
87,87,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,14541,0,-1,14542
88,88,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,22826,0,-1,22827
89,89,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,21955,0,-1,21956
90,90,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,22986,0,-1,22987
91,91,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,14552,0,-1,14553
92,92,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,22471,0,-1,22472
93,93,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,23497,0,-1,23498
94,94,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,17465,0,-1,17466
95,95,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,23677,0,-1,23678
96,96,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,23687,0,-1,23688
97,97,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,16262,0,-1,16263
98,98,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,21090,0,-1,21091
99,99,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20227,0,-1,20228
100,100,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,21768,0,-1,21769
101,101,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,19534,0,-1,19535
102,102,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,30046,0,-1,30047
103,103,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,22297,0,-1,22298
104,104,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20067,0,-1,20068
105,105,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,20920,0,-1,20921
106,106,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,16620,0,-1,16621
107,107,2500,wxpython_d2d,image,wxpython_d2d_image,fullscreen,,none,19886,0,-1,19887
