,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,1813,wxpython,default,wxpython_default,small,5,getpixel,8533,1562,2748,5785
1,1,1813,wxpython,default,wxpython_default,small,5,getpixel,8540,2417,2296,6244
2,2,1813,wxpython,default,wxpython_default,small,5,getpixel,7846,3098,1235,6611
3,3,1813,wxpython,default,wxpython_default,small,5,getpixel,7151,1031,3420,3731
4,4,1813,wxpython,default,wxpython_default,small,5,getpixel,6809,1892,3361,3448
5,5,1813,wxpython,default,wxpython_default,small,5,getpixel,7684,3964,1131,6553
6,6,1813,wxpython,default,wxpython_default,small,5,getpixel,6638,1030,3329,3309
7,7,1813,wxpython,default,wxpython_default,small,5,getpixel,6979,862,2852,4127
8,8,1813,wxpython,default,wxpython_default,small,5,getpixel,8017,2933,1225,6792
9,9,1813,wxpython,default,wxpython_default,small,5,getpixel,7504,2926,4081,3423
10,10,1813,wxpython,default,wxpython_default,small,5,getpixel,7148,513,3493,3655
11,11,1813,wxpython,default,wxpython_default,small,5,getpixel,7680,2584,4199,3481
12,12,1813,wxpython,default,wxpython_default,small,5,getpixel,8889,4481,2852,6037
13,13,1813,wxpython,default,wxpython_default,small,5,getpixel,7334,1551,3754,3580
14,14,1813,wxpython,default,wxpython_default,small,5,getpixel,7500,519,3080,4420
15,15,1813,wxpython,default,wxpython_default,small,5,getpixel,8182,3436,2337,5845
16,16,1813,wxpython,default,wxpython_default,small,5,getpixel,7329,7235,3719,3610
17,17,1813,wxpython,default,wxpython_default,small,5,getpixel,7503,349,1256,6247
18,18,1813,wxpython,default,wxpython_default,small,5,getpixel,6479,1037,2699,3780
19,19,1813,wxpython,default,wxpython_default,small,5,getpixel,7679,349,1239,6440
20,20,1813,wxpython,default,wxpython_default,small,5,getpixel,8186,341,4721,3465
21,21,1813,wxpython,default,wxpython_default,small,5,getpixel,7841,174,1111,6730
22,22,1813,wxpython,default,wxpython_default,small,5,getpixel,8186,342,4394,3792
23,23,1813,wxpython,default,wxpython_default,small,5,getpixel,8011,694,1333,6678
24,24,1813,wxpython,default,wxpython_default,small,5,getpixel,8190,513,4425,3765
25,25,1813,wxpython,default,wxpython_default,small,5,getpixel,7666,1033,1592,6074
26,26,1813,wxpython,default,wxpython_default,small,5,getpixel,7848,5168,1389,6459
27,27,1813,wxpython,default,wxpython_default,small,5,getpixel,8546,7586,4349,4197
28,28,1813,wxpython,default,wxpython_default,small,5,getpixel,6984,172,3516,3468
29,29,1813,wxpython,default,wxpython_default,small,5,getpixel,8707,1032,4730,3977
30,30,1813,wxpython,default,wxpython_default,small,5,getpixel,7506,178,1274,6232
31,31,1813,wxpython,default,wxpython_default,small,5,getpixel,8026,1036,4395,3631
32,32,1813,wxpython,default,wxpython_default,small,5,getpixel,8350,513,4684,3666
33,33,1813,wxpython,default,wxpython_default,small,5,getpixel,7672,2242,1230,6442
34,34,1813,wxpython,default,wxpython_default,small,5,getpixel,7322,341,3369,3953
35,35,1813,wxpython,default,wxpython_default,small,5,getpixel,6635,2065,2354,4281
36,36,1813,wxpython,default,wxpython_default,small,5,getpixel,7316,1542,3755,3561
37,37,1813,wxpython,default,wxpython_default,small,5,getpixel,8707,3788,2804,5903
38,38,1813,wxpython,default,wxpython_default,small,5,getpixel,7671,1551,1329,6342
39,39,1813,wxpython,default,wxpython_default,small,5,getpixel,7845,1721,1279,6566
