,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3902,Unity,rects,Unity_rects,fullscreen,,none,90597,1090,-1,90598
1,1,3902,Unity,rects,Unity_rects,fullscreen,,none,88151,531,-1,88152
2,2,3902,Unity,rects,Unity_rects,fullscreen,,none,87301,354,-1,87302
3,3,3902,Unity,rects,Unity_rects,fullscreen,,none,93141,183,-1,93142
4,4,3902,Unity,rects,Unity_rects,fullscreen,,none,86413,353,-1,86414
5,5,3902,Unity,rects,Unity_rects,fullscreen,,none,95019,1563,-1,95020
6,6,3902,Unity,rects,Unity_rects,fullscreen,,none,87791,183,-1,87792
7,7,3902,Unity,rects,Unity_rects,fullscreen,,none,87094,362,-1,87095
8,8,3902,Unity,rects,Unity_rects,fullscreen,,none,88089,182,-1,88090
9,9,3902,Unity,rects,Unity_rects,fullscreen,,none,96381,182,-1,96382
10,10,3902,Unity,rects,Unity_rects,fullscreen,,none,99161,182,-1,99162
11,11,3902,Unity,rects,Unity_rects,fullscreen,,none,87968,1214,-1,87969
12,12,3902,Unity,rects,Unity_rects,fullscreen,,none,87437,353,-1,87438
13,13,3902,Unity,rects,Unity_rects,fullscreen,,none,85402,874,-1,85403
14,14,3902,Unity,rects,Unity_rects,fullscreen,,none,89336,182,-1,89337
15,15,3902,Unity,rects,Unity_rects,fullscreen,,none,94163,1050,-1,94164
16,16,3902,Unity,rects,Unity_rects,fullscreen,,none,89889,190,-1,89890
17,17,3902,Unity,rects,Unity_rects,fullscreen,,none,87965,190,-1,87966
18,18,3902,Unity,rects,Unity_rects,fullscreen,,none,87425,878,-1,87426
19,19,3902,Unity,rects,Unity_rects,fullscreen,,none,88474,353,-1,88475
20,20,3902,Unity,rects,Unity_rects,fullscreen,,none,88805,362,-1,88806
21,21,3902,Unity,rects,Unity_rects,fullscreen,,none,91709,183,-1,91710
22,22,3902,Unity,rects,Unity_rects,fullscreen,,none,93464,183,-1,93465
23,23,3902,Unity,rects,Unity_rects,fullscreen,,none,88808,1560,-1,88809
24,24,3902,Unity,rects,Unity_rects,fullscreen,,none,93490,188,-1,93491
25,25,3902,Unity,rects,Unity_rects,fullscreen,,none,87480,526,-1,87481
26,26,3902,Unity,rects,Unity_rects,fullscreen,,none,87949,360,-1,87950
27,27,3902,Unity,rects,Unity_rects,fullscreen,,none,86579,524,-1,86580
28,28,3902,Unity,rects,Unity_rects,fullscreen,,none,88126,1223,-1,88127
29,29,3902,Unity,rects,Unity_rects,fullscreen,,none,95541,1214,-1,95542
30,30,3902,Unity,rects,Unity_rects,fullscreen,,none,86436,707,-1,86437
31,31,3902,Unity,rects,Unity_rects,fullscreen,,none,86592,524,-1,86593
32,32,3902,Unity,rects,Unity_rects,fullscreen,,none,87100,533,-1,87101
33,33,3902,Unity,rects,Unity_rects,fullscreen,,none,86620,183,-1,86621
34,34,3902,Unity,rects,Unity_rects,fullscreen,,none,90404,701,-1,90405
35,35,3902,Unity,rects,Unity_rects,fullscreen,,none,88176,361,-1,88177
36,36,3902,Unity,rects,Unity_rects,fullscreen,,none,87226,362,-1,87227
37,37,3902,Unity,rects,Unity_rects,fullscreen,,none,90889,183,-1,90890
38,38,3902,Unity,rects,Unity_rects,fullscreen,,none,91926,699,-1,91927
39,39,3902,Unity,rects,Unity_rects,fullscreen,,none,87614,524,-1,87615
40,40,3902,Unity,rects,Unity_rects,fullscreen,,none,95026,353,-1,95027
41,41,3902,Unity,rects,Unity_rects,fullscreen,,none,89651,532,-1,89652
42,42,3902,Unity,rects,Unity_rects,fullscreen,,none,85719,353,-1,85720
43,43,3902,Unity,rects,Unity_rects,fullscreen,,none,88122,523,-1,88123
44,44,3902,Unity,rects,Unity_rects,fullscreen,,none,90366,190,-1,90367
45,45,3902,Unity,rects,Unity_rects,fullscreen,,none,91082,361,-1,91083
46,46,3902,Unity,rects,Unity_rects,fullscreen,,none,92626,184,-1,92627
47,47,3902,Unity,rects,Unity_rects,fullscreen,,none,90002,183,-1,90003
48,48,3902,Unity,rects,Unity_rects,fullscreen,,none,86752,183,-1,86753
49,49,3902,Unity,rects,Unity_rects,fullscreen,,none,96718,354,-1,96719
50,50,3902,Unity,rects,Unity_rects,fullscreen,,none,91075,872,-1,91076
51,51,3902,Unity,rects,Unity_rects,fullscreen,,none,87749,354,-1,87750
52,52,3902,Unity,rects,Unity_rects,fullscreen,,none,93870,358,-1,93871
53,53,3902,Unity,rects,Unity_rects,fullscreen,,none,97069,874,-1,97070
54,54,3902,Unity,rects,Unity_rects,fullscreen,,none,89326,523,-1,89327
55,55,3902,Unity,rects,Unity_rects,fullscreen,,none,86603,354,-1,86604
56,56,3902,Unity,rects,Unity_rects,fullscreen,,none,87610,874,-1,87611
57,57,3902,Unity,rects,Unity_rects,fullscreen,,none,87256,353,-1,87257
58,58,3902,Unity,rects,Unity_rects,fullscreen,,none,87483,874,-1,87484
59,59,3902,Unity,rects,Unity_rects,fullscreen,,none,88840,183,-1,88841
60,60,3902,Unity,rects,Unity_rects,fullscreen,,none,88794,183,-1,88795
61,61,3902,Unity,rects,Unity_rects,fullscreen,,none,88115,182,-1,88116
62,62,3902,Unity,rects,Unity_rects,fullscreen,,none,87590,190,-1,87591
63,63,3902,Unity,rects,Unity_rects,fullscreen,,none,88309,361,-1,88310
64,64,3902,Unity,rects,Unity_rects,fullscreen,,none,86710,532,-1,86711
65,65,3902,Unity,rects,Unity_rects,fullscreen,,none,95328,353,-1,95329
66,66,3902,Unity,rects,Unity_rects,fullscreen,,none,88807,532,-1,88808
67,67,3902,Unity,rects,Unity_rects,fullscreen,,none,87774,706,-1,87775
68,68,3902,Unity,rects,Unity_rects,fullscreen,,none,87784,182,-1,87785
69,69,3902,Unity,rects,Unity_rects,fullscreen,,none,87110,182,-1,87111
70,70,3902,Unity,rects,Unity_rects,fullscreen,,none,87070,182,-1,87071
71,71,3902,Unity,rects,Unity_rects,fullscreen,,none,85590,361,-1,85591
72,72,3902,Unity,rects,Unity_rects,fullscreen,,none,88285,182,-1,88286
73,73,3902,Unity,rects,Unity_rects,fullscreen,,none,86397,524,-1,86398
74,74,3902,Unity,rects,Unity_rects,fullscreen,,none,88286,182,-1,88287
75,75,3902,Unity,rects,Unity_rects,fullscreen,,none,88823,182,-1,88824
76,76,3902,Unity,rects,Unity_rects,fullscreen,,none,93273,182,-1,93274
77,77,3902,Unity,rects,Unity_rects,fullscreen,,none,88639,361,-1,88640
78,78,3902,Unity,rects,Unity_rects,fullscreen,,none,89003,353,-1,89004
79,79,3902,Unity,rects,Unity_rects,fullscreen,,none,87424,525,-1,87425
80,80,3902,Unity,rects,Unity_rects,fullscreen,,none,88960,1043,-1,88961
81,81,3902,Unity,rects,Unity_rects,fullscreen,,none,95865,531,-1,95866
82,82,3902,Unity,rects,Unity_rects,fullscreen,,none,96217,182,-1,96218
83,83,3902,Unity,rects,Unity_rects,fullscreen,,none,88627,1050,-1,88628
84,84,3902,Unity,rects,Unity_rects,fullscreen,,none,88540,1048,-1,88541
85,85,3902,Unity,rects,Unity_rects,fullscreen,,none,87627,183,-1,87628
86,86,3902,Unity,rects,Unity_rects,fullscreen,,none,93837,532,-1,93838
87,87,3902,Unity,rects,Unity_rects,fullscreen,,none,92286,702,-1,92287
88,88,3902,Unity,rects,Unity_rects,fullscreen,,none,88666,190,-1,88667
89,89,3902,Unity,rects,Unity_rects,fullscreen,,none,90586,183,-1,90587
90,90,3902,Unity,rects,Unity_rects,fullscreen,,none,87581,182,-1,87582
91,91,3902,Unity,rects,Unity_rects,fullscreen,,none,92630,694,-1,92631
92,92,3902,Unity,rects,Unity_rects,fullscreen,,none,92801,532,-1,92802
93,93,3902,Unity,rects,Unity_rects,fullscreen,,none,87078,182,-1,87079
94,94,3902,Unity,rects,Unity_rects,fullscreen,,none,87418,703,-1,87419
95,95,3902,Unity,rects,Unity_rects,fullscreen,,none,86722,353,-1,86723
96,96,3902,Unity,rects,Unity_rects,fullscreen,,none,96720,1052,-1,96721
