,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,137,222,-1,138
1,1,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,102,183,-1,103
2,2,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,288,190,-1,289
3,3,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,278,184,-1,279
4,4,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,285,191,-1,286
5,5,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,102,190,-1,103
6,6,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,102,183,-1,103
7,7,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,796,183,-1,797
8,8,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,455,191,-1,456
9,9,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,276,182,-1,277
10,10,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,276,182,-1,277
11,11,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,276,182,-1,277
12,12,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,183,-1,104
13,13,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,102,183,-1,103
14,14,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,111,191,-1,112
15,15,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,276,183,-1,277
16,16,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,183,-1,104
17,17,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,447,182,-1,448
18,18,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,284,362,-1,285
19,19,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,183,-1,104
20,20,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,184,-1,104
21,21,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,797,191,-1,798
22,22,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,102,183,-1,103
23,23,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,277,183,-1,278
24,24,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,183,-1,104
25,25,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,184,-1,104
26,26,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,102,183,-1,103
27,27,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,183,-1,104
28,28,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,102,183,-1,103
29,29,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,284,183,-1,285
30,30,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,799,191,-1,800
31,31,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,455,183,-1,456
32,32,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,276,182,-1,277
33,33,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,110,191,-1,111
34,34,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,184,-1,104
35,35,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,102,183,-1,103
36,36,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,446,183,-1,447
37,37,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,455,190,-1,456
38,38,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,277,183,-1,278
39,39,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,281,187,-1,282
40,40,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,111,192,-1,112
41,41,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,455,361,-1,456
42,42,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,447,183,-1,448
43,43,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,183,-1,104
44,44,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,184,-1,104
45,45,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,283,362,-1,284
46,46,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,184,-1,104
47,47,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,276,183,-1,277
48,48,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,183,-1,104
49,49,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,285,183,-1,286
50,50,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,191,-1,104
51,51,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,184,-1,104
52,52,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,191,-1,104
53,53,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,619,182,-1,620
54,54,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,277,183,-1,278
55,55,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,276,182,-1,277
56,56,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,284,190,-1,285
57,57,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,184,-1,104
58,58,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,447,182,-1,448
59,59,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,183,-1,104
60,60,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,103,184,-1,104
61,61,3644,OpenSesame_Psychopy,rects,OpenSesame_Psychopy_rects,fullscreen,,none,276,182,-1,277
