,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14386,0,10502,3884
1,1,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13700,0,11866,1834
2,2,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14209,0,12641,1568
3,3,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13696,0,11723,1973
4,4,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13353,0,12453,900
5,5,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13357,0,12502,855
6,6,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13007,0,11233,1774
7,7,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13699,0,12713,986
8,8,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13345,0,12622,723
9,9,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14548,0,12658,1890
10,10,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13337,0,11479,1858
11,11,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14556,0,12747,1809
12,12,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13519,0,12721,798
13,13,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14030,0,12525,1505
14,14,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13172,0,12519,653
15,15,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13527,0,12553,974
16,16,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14203,0,12391,1812
17,17,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13860,0,12751,1109
18,18,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14032,0,12614,1418
19,19,2370,GLEW,default,GLEW_default,fullscreen,3,windup,12657,0,12836,-179
20,20,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14730,0,12633,2097
21,21,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13170,0,11253,1917
22,22,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13689,0,11773,1916
23,23,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14728,0,12745,1983
24,24,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13348,0,11523,1825
25,25,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13179,0,11278,1901
26,26,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14205,0,12618,1587
27,27,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13168,0,11158,2010
28,28,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13516,0,11681,1835
29,29,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13688,0,12574,1114
30,30,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14564,0,12553,2011
31,31,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14391,0,12574,1817
32,32,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13013,0,12590,423
33,33,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13010,0,12507,503
34,34,2370,GLEW,default,GLEW_default,fullscreen,3,windup,12825,0,10959,1866
35,35,2370,GLEW,default,GLEW_default,fullscreen,3,windup,16611,0,12551,4060
36,36,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14385,0,12591,1794
37,37,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13689,0,12599,1090
38,38,2370,GLEW,default,GLEW_default,fullscreen,3,windup,12843,0,12883,-40
39,39,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13869,0,12748,1121
40,40,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13689,0,12551,1138
41,41,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13498,0,12587,911
42,42,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13859,0,11938,1921
43,43,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14556,0,12463,2093
44,44,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13859,0,12488,1371
45,45,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13525,0,11797,1728
46,46,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14199,0,12658,1541
47,47,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13513,0,11725,1788
48,48,2370,GLEW,default,GLEW_default,fullscreen,3,windup,12659,0,12857,-198
49,49,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13691,0,12744,947
50,50,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13171,0,12581,590
51,51,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14202,0,12347,1855
52,52,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13515,0,12630,885
53,53,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14732,0,12535,2197
54,54,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13170,0,12664,506
55,55,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13519,0,11593,1926
56,56,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14216,0,12698,1518
57,57,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13346,0,12744,602
58,58,2370,GLEW,default,GLEW_default,fullscreen,3,windup,12842,0,12701,141
59,59,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14204,0,12388,1816
60,60,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14714,0,12467,2247
61,61,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14718,0,12664,2054
62,62,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13342,0,12590,752
63,63,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14218,0,12738,1480
64,64,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13340,0,11486,1854
65,65,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13168,0,11234,1934
66,66,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14381,0,12527,1854
67,67,2370,GLEW,default,GLEW_default,fullscreen,3,windup,13173,0,11404,1769
68,68,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14377,0,12592,1785
69,69,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14203,0,12256,1947
70,70,2370,GLEW,default,GLEW_default,fullscreen,3,windup,12658,0,12581,77
71,71,2370,GLEW,default,GLEW_default,fullscreen,3,windup,12830,0,12509,321
72,72,2370,GLEW,default,GLEW_default,fullscreen,3,windup,14028,0,12174,1854
73,73,2370,GLEW,default,GLEW_default,fullscreen,3,windup,16611,0,12647,3964
