,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2369,pyglet,default,pyglet_default,fullscreen,,none,19384,0,-1,19385
1,1,2369,pyglet,default,pyglet_default,fullscreen,,none,14901,0,-1,14902
2,2,2369,pyglet,default,pyglet_default,fullscreen,,none,15415,0,-1,15416
3,3,2369,pyglet,default,pyglet_default,fullscreen,,none,19368,0,-1,19369
4,4,2369,pyglet,default,pyglet_default,fullscreen,,none,14043,0,-1,14044
5,5,2369,pyglet,default,pyglet_default,fullscreen,,none,16788,0,-1,16789
6,6,2369,pyglet,default,pyglet_default,fullscreen,,none,24183,0,-1,24184
7,7,2369,pyglet,default,pyglet_default,fullscreen,,none,13180,0,-1,13181
8,8,2369,pyglet,default,pyglet_default,fullscreen,,none,22995,0,-1,22996
9,9,2369,pyglet,default,pyglet_default,fullscreen,,none,21772,0,-1,21773
10,10,2369,pyglet,default,pyglet_default,fullscreen,,none,16276,0,-1,16277
11,11,2369,pyglet,default,pyglet_default,fullscreen,,none,20227,0,-1,20228
12,12,2369,pyglet,default,pyglet_default,fullscreen,,none,27817,0,-1,27818
13,13,2369,pyglet,default,pyglet_default,fullscreen,,none,11450,0,-1,11451
14,14,2369,pyglet,default,pyglet_default,fullscreen,,none,17817,0,-1,17818
15,15,2369,pyglet,default,pyglet_default,fullscreen,,none,16787,0,-1,16788
16,16,2369,pyglet,default,pyglet_default,fullscreen,,none,11975,0,-1,11976
17,17,2369,pyglet,default,pyglet_default,fullscreen,,none,11970,0,-1,11971
18,18,2369,pyglet,default,pyglet_default,fullscreen,,none,14717,0,-1,14718
19,19,2369,pyglet,default,pyglet_default,fullscreen,,none,26258,0,-1,26259
20,20,2369,pyglet,default,pyglet_default,fullscreen,,none,15747,0,-1,15748
21,21,2369,pyglet,default,pyglet_default,fullscreen,,none,19026,0,-1,19027
22,22,2369,pyglet,default,pyglet_default,fullscreen,,none,12995,0,-1,12996
23,23,2369,pyglet,default,pyglet_default,fullscreen,,none,16776,0,-1,16777
24,24,2369,pyglet,default,pyglet_default,fullscreen,,none,20409,0,-1,20410
25,25,2369,pyglet,default,pyglet_default,fullscreen,,none,15587,0,-1,15588
26,26,2369,pyglet,default,pyglet_default,fullscreen,,none,16092,0,-1,16093
27,27,2369,pyglet,default,pyglet_default,fullscreen,,none,16438,0,-1,16439
28,28,2369,pyglet,default,pyglet_default,fullscreen,,none,16612,0,-1,16613
29,29,2369,pyglet,default,pyglet_default,fullscreen,,none,11783,0,-1,11784
30,30,2369,pyglet,default,pyglet_default,fullscreen,,none,18180,0,-1,18181
31,31,2369,pyglet,default,pyglet_default,fullscreen,,none,20396,0,-1,20397
32,32,2369,pyglet,default,pyglet_default,fullscreen,,none,13680,0,-1,13681
33,33,2369,pyglet,default,pyglet_default,fullscreen,,none,10932,0,-1,10933
34,34,2369,pyglet,default,pyglet_default,fullscreen,,none,10935,0,-1,10936
35,35,2369,pyglet,default,pyglet_default,fullscreen,,none,18866,0,-1,18867
36,36,2369,pyglet,default,pyglet_default,fullscreen,,none,20591,0,-1,20592
37,37,2369,pyglet,default,pyglet_default,fullscreen,,none,15914,0,-1,15915
38,38,2369,pyglet,default,pyglet_default,fullscreen,,none,18164,0,-1,18165
39,39,2369,pyglet,default,pyglet_default,fullscreen,,none,25749,0,-1,25750
40,40,2369,pyglet,default,pyglet_default,fullscreen,,none,14220,0,-1,14221
41,41,2369,pyglet,default,pyglet_default,fullscreen,,none,21278,0,-1,21279
42,42,2369,pyglet,default,pyglet_default,fullscreen,,none,22122,0,-1,22123
43,43,2369,pyglet,default,pyglet_default,fullscreen,,none,14564,0,-1,14565
44,44,2369,pyglet,default,pyglet_default,fullscreen,,none,14558,0,-1,14559
45,45,2369,pyglet,default,pyglet_default,fullscreen,,none,15062,0,-1,15063
