,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10070,0,3905,6165
1,1,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,8522,0,5124,3398
2,2,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9031,0,5666,3365
3,3,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10253,0,4394,5859
4,4,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,8355,0,4834,3521
5,5,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9903,0,4203,5700
6,6,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10074,0,4109,5965
7,7,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10422,0,4573,5849
8,8,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9384,0,6159,3225
9,9,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,8347,0,4725,3622
10,10,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10247,0,4293,5954
11,11,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10067,0,4123,5944
12,12,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9384,0,3564,5820
13,13,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9209,0,5476,3733
14,14,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10246,0,4191,6055
15,15,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9729,0,3846,5883
16,16,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10069,0,4241,5828
17,17,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,8696,0,5214,3482
18,18,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9730,0,3832,5898
19,19,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,7658,0,3774,3884
20,20,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9377,0,5250,4127
21,21,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9891,0,3962,5929
22,22,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9384,0,3534,5850
23,23,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10246,0,4411,5835
24,24,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9378,0,3482,5896
25,25,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9385,0,5772,3613
26,26,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9732,0,3773,5959
27,27,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10751,0,5093,5658
28,28,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10762,0,7295,3467
29,29,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10420,0,4526,5894
30,30,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9551,0,5946,3605
31,31,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10070,0,3781,6289
32,32,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9386,0,3553,5833
33,33,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9742,0,6058,3684
34,34,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,8365,0,5014,3351
35,35,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10255,0,4090,6165
36,36,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,8873,0,5335,3538
37,37,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10077,0,4322,5755
38,38,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9046,0,5512,3534
39,39,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10431,0,4574,5857
40,40,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10769,0,4541,6228
41,41,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9901,0,4253,5648
42,42,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10081,0,4125,5956
43,43,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9559,0,6135,3424
44,44,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9559,0,6038,3521
45,45,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,8871,0,5512,3359
46,46,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9038,0,4939,4099
47,47,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9908,0,4182,5726
48,48,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9728,0,3700,6028
49,49,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9570,0,3695,5875
50,50,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9563,0,5933,3630
51,51,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9739,0,3997,5742
52,52,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10762,0,5068,5694
53,53,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10256,0,4418,5838
54,54,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,11108,0,5421,5687
55,55,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10766,0,4932,5834
56,56,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,11277,0,4778,6499
57,57,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9212,0,3227,5985
58,58,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10082,0,4010,6072
59,59,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10073,0,4291,5782
60,60,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10429,0,4012,6417
61,61,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10073,0,4426,5647
62,62,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9904,0,4150,5754
63,63,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9042,0,5751,3291
64,64,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9395,0,5710,3685
65,65,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9567,0,5784,3783
66,66,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9213,0,3262,5951
67,67,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9568,0,3735,5833
68,68,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9737,0,3905,5832
69,69,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9736,0,3885,5851
70,70,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10593,0,4517,6076
71,71,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,8868,0,5401,3467
72,72,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,9382,0,5687,3695
73,73,2375,pyqt6,default,pyqt6_default,fullscreen,2,getpixel,10936,0,6983,3953
