,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9524,-1,9525
1,1,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8520,11370,-2850
2,2,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8632,9439,-807
3,3,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8852,16302,-7450
4,4,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8848,9648,-800
5,5,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,10532,11501,-969
6,6,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9196,14054,-4858
7,7,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8632,9666,-1034
8,8,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9856,9557,299
9,9,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8516,9561,-1045
10,10,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8852,16757,-7905
11,11,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9072,8022,1050
12,12,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,7852,8904,-1052
13,13,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8960,8942,18
14,14,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8528,7886,642
15,15,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,7848,12530,-4682
16,16,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,10200,11884,-1684
17,17,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9748,12936,-3188
18,18,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8748,15259,-6511
19,19,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9632,8970,662
20,20,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8960,15824,-6864
21,21,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9416,13933,-4517
22,22,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9304,16954,-7650
23,23,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8288,17880,-9592
24,24,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9412,16099,-6687
25,25,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9748,9679,69
26,26,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,7956,8176,-220
27,27,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,10080,12962,-2882
28,28,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9188,13751,-4563
29,29,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,11320,9191,2129
30,30,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8068,7702,366
31,31,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8404,10092,-1688
32,32,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8512,14281,-5769
33,33,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8064,9927,-1863
34,34,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9740,15101,-5361
35,35,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9296,12492,-3196
36,36,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,10196,9336,860
37,37,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9420,9118,302
38,38,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8736,20073,-11337
39,39,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9188,10540,-1352
40,40,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,10080,13762,-3682
41,41,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9520,9567,-47
42,42,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9976,17834,-7858
43,43,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,7728,9608,-1880
44,44,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9744,7743,2001
45,45,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8852,8321,531
46,46,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8512,16438,-7926
47,47,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,9968,16807,-6839
48,48,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,8512,17525,-9013
49,49,glumpy_pyglet,default,glumpy_pyglet_default,windup_python,True,windup_python_True,7840,10024,-2184
