,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,28356,-1,28357
1,1,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22408,-1,22409
2,2,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,21728,-1,21729
3,3,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22644,-1,22645
4,4,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,24316,-1,24317
5,5,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,21400,-1,21401
6,6,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22956,-1,22957
7,7,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22508,-1,22509
8,8,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22188,-1,22189
9,9,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,21616,-1,21617
10,10,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,21632,-1,21633
11,11,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,23084,-1,23085
12,12,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,21504,-1,21505
13,13,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22748,-1,22749
14,14,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,21748,-1,21749
15,15,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,21520,-1,21521
16,16,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22744,-1,22745
17,17,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22304,-1,22305
18,18,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,21280,-1,21281
19,19,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22844,-1,22845
20,20,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22964,-1,22965
21,21,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,23424,-1,23425
22,22,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,23652,-1,23653
23,23,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22080,-1,22081
24,24,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22848,-1,22849
25,25,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22188,-1,22189
26,26,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,23188,-1,23189
27,27,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,21840,-1,21841
28,28,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22864,-1,22865
29,29,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22844,-1,22845
30,30,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22412,-1,22413
31,31,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,21284,-1,21285
32,32,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,21404,-1,21405
33,33,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22736,-1,22737
34,34,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,21960,-1,21961
35,35,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22180,-1,22181
36,36,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22400,-1,22401
37,37,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22536,-1,22537
38,38,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22512,-1,22513
39,39,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22520,-1,22521
40,40,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,23192,-1,23193
41,41,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22192,-1,22193
42,42,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22396,-1,22397
43,43,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,21728,-1,21729
44,44,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22736,-1,22737
45,45,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22284,-1,22285
46,46,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,21972,-1,21973
47,47,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22748,-1,22749
48,48,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,22508,-1,22509
49,49,glumpy_sdl,rects,glumpy_sdl_rects,windup_python,False,windup_python_False,21412,-1,21413
