,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,27888,-1,27889
1,1,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,20168,-1,20169
2,2,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,21508,-1,21509
3,3,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,21732,-1,21733
4,4,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,21624,-1,21625
5,5,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,21276,-1,21277
6,6,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,23304,-1,23305
7,7,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,23752,-1,23753
8,8,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,20048,-1,20049
9,9,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,22404,-1,22405
10,10,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,21504,-1,21505
11,11,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,20720,-1,20721
12,12,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,22528,-1,22529
13,13,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,21284,-1,21285
14,14,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,20060,-1,20061
15,15,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,22756,-1,22757
16,16,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,19836,-1,19837
17,17,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,21388,-1,21389
18,18,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,20608,-1,20609
19,19,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,22628,-1,22629
20,20,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,22976,-1,22977
21,21,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,22408,-1,22409
22,22,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,19156,-1,19157
23,23,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,20068,-1,20069
24,24,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,22184,-1,22185
25,25,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,22644,-1,22645
26,26,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,23196,-1,23197
27,27,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,21860,-1,21861
28,28,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,21736,-1,21737
29,29,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,23304,-1,23305
30,30,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,22748,-1,22749
31,31,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,20052,-1,20053
32,32,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,21168,-1,21169
33,33,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,22848,-1,22849
34,34,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,22516,-1,22517
35,35,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,23420,-1,23421
36,36,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,21512,-1,21513
37,37,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,21184,-1,21185
38,38,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,20728,-1,20729
39,39,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,23200,-1,23201
40,40,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,23984,-1,23985
41,41,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,22076,-1,22077
42,42,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,21392,-1,21393
43,43,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,22312,-1,22313
44,44,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,23860,-1,23861
45,45,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,20716,-1,20717
46,46,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,22404,-1,22405
47,47,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,19608,-1,19609
48,48,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,22196,-1,22197
49,49,glumpy_sdl,rects,glumpy_sdl_rects,bitblt,False,bitblt_False,20736,-1,20737
