,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,28560,-1,28561
1,1,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20396,-1,20397
2,2,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,19712,-1,19713
3,3,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,18712,-1,18713
4,4,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20284,-1,20285
5,5,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20292,-1,20293
6,6,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,21068,-1,21069
7,7,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20048,-1,20049
8,8,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,19936,-1,19937
9,9,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,19728,-1,19729
10,10,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20612,-1,20613
11,11,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20388,-1,20389
12,12,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20388,-1,20389
13,13,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20732,-1,20733
14,14,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,19488,-1,19489
15,15,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20508,-1,20509
16,16,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20280,-1,20281
17,17,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,19824,-1,19825
18,18,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20628,-1,20629
19,19,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20620,-1,20621
20,20,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20944,-1,20945
21,21,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,22064,-1,22065
22,22,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20048,-1,20049
23,23,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,19932,-1,19933
24,24,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,19500,-1,19501
25,25,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,19264,-1,19265
26,26,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20844,-1,20845
27,27,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20496,-1,20497
28,28,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,21072,-1,21073
29,29,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20500,-1,20501
30,30,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,19500,-1,19501
31,31,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20948,-1,20949
32,32,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,19392,-1,19393
33,33,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20052,-1,20053
34,34,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20272,-1,20273
35,35,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20504,-1,20505
36,36,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,19940,-1,19941
37,37,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,19624,-1,19625
38,38,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20944,-1,20945
39,39,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20956,-1,20957
40,40,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,19620,-1,19621
41,41,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20388,-1,20389
42,42,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,18836,-1,18837
43,43,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,19268,-1,19269
44,44,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,19264,-1,19265
45,45,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20840,-1,20841
46,46,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,19956,-1,19957
47,47,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20616,-1,20617
48,48,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,19936,-1,19937
49,49,glumpy_glfw,rects,glumpy_glfw_rects,windup_python,False,windup_python_False,20720,-1,20721
