,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,24752,-1,24753
1,1,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20164,-1,20165
2,2,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,18604,-1,18605
3,3,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,19504,-1,19505
4,4,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20388,-1,20389
5,5,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20408,-1,20409
6,6,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20504,-1,20505
7,7,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20628,-1,20629
8,8,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,19388,-1,19389
9,9,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,18372,-1,18373
10,10,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20172,-1,20173
11,11,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20168,-1,20169
12,12,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20720,-1,20721
13,13,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20064,-1,20065
14,14,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,19496,-1,19497
15,15,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,19948,-1,19949
16,16,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,19148,-1,19149
17,17,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20048,-1,20049
18,18,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,19848,-1,19849
19,19,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20400,-1,20401
20,20,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20272,-1,20273
21,21,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,19708,-1,19709
22,22,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,19044,-1,19045
23,23,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20172,-1,20173
24,24,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,18252,-1,18253
25,25,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20396,-1,20397
26,26,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,18152,-1,18153
27,27,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20060,-1,20061
28,28,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,19396,-1,19397
29,29,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,18828,-1,18829
30,30,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,18264,-1,18265
31,31,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,19152,-1,19153
32,32,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,19060,-1,19061
33,33,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20512,-1,20513
34,34,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,19716,-1,19717
35,35,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,18716,-1,18717
36,36,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,19728,-1,19729
37,37,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20392,-1,20393
38,38,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20172,-1,20173
39,39,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20388,-1,20389
40,40,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20160,-1,20161
41,41,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,19156,-1,19157
42,42,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,19492,-1,19493
43,43,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,19044,-1,19045
44,44,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,18704,-1,18705
45,45,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20056,-1,20057
46,46,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,18816,-1,18817
47,47,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20272,-1,20273
48,48,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,20388,-1,20389
49,49,glumpy_pyglet,rects,glumpy_pyglet_rects,getpixel,False,getpixel_False,19716,-1,19717
