,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,14456,8561,5895
1,1,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15012,6819,8193
2,2,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,16132,9523,6609
3,3,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,16128,8960,7168
4,4,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,16020,9161,6859
5,5,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15808,9391,6417
6,6,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15684,10431,5253
7,7,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15236,10486,4750
8,8,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,14908,8224,6684
9,9,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,16028,8253,7775
10,10,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15248,9516,5732
11,11,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15576,9364,6212
12,12,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,16124,9617,6507
13,13,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15900,8469,7431
14,14,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15908,9490,6418
15,15,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15472,11261,4211
16,16,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,16824,9730,7094
17,17,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,14908,9587,5321
18,18,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,16140,9846,6294
19,19,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,14684,10152,4532
20,20,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,16144,11124,5020
21,21,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15468,9128,6340
22,22,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,14564,9492,5072
23,23,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,16128,9742,6386
24,24,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,16464,9563,6901
25,25,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,16804,7780,9024
26,26,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15348,9213,6135
27,27,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,14452,9746,4706
28,28,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,16460,8760,7700
29,29,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,16016,9740,6276
30,30,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15344,8676,6668
31,31,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15232,8771,6461
32,32,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,14672,9237,5435
33,33,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15904,9711,6193
34,34,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15572,7814,7758
35,35,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15572,8191,7381
36,36,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,14580,10632,3948
37,37,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,14580,10136,4444
38,38,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,14788,9943,4845
39,39,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15908,10730,5178
40,40,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,16800,9462,7338
41,41,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15236,8699,6537
42,42,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,14796,8714,6082
43,43,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,16132,8346,7786
44,44,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,16360,10506,5854
45,45,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15468,11085,4383
46,46,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15452,10104,5348
47,47,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15572,9117,6455
48,48,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,14784,9823,4961
49,49,JavaSwing,default,JavaSwing_default,windup_python,True,windup_python_True,15128,8594,6534
