,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,20307,11464,-1,20308
1,1,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,18423,6644,-1,18424
2,2,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,19211,5841,-1,19212
3,3,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,18685,18588,-1,18686
4,4,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,19198,1864,-1,19199
5,5,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,17887,18320,-1,17888
6,6,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,19473,16725,-1,19474
7,7,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,18939,280,-1,18940
8,8,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,17631,17536,-1,17632
9,9,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,18674,19110,-1,18675
10,10,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,18672,17249,-1,18673
11,11,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,19482,17798,-1,19483
12,12,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,18155,17262,-1,18156
13,13,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,19472,19376,-1,19473
14,14,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,19466,20169,-1,19467
15,15,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,17887,17266,-1,17888
16,16,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,17865,10878,-1,17866
17,17,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,19743,3189,-1,19744
18,18,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,19228,18861,-1,19229
19,19,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,19747,16473,-1,19748
20,20,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,19728,19631,-1,19729
21,21,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,20262,5052,-1,20263
22,22,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,18161,10363,-1,18162
23,23,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,18674,545,-1,18675
24,24,87,Skia,rects,Skia_rects,fullscreen,3,getpixel,19219,7982,-1,19220
