,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3054,SFML,default,SFML_default,fullscreen,3,getpixel,17120,19148,2440,14680
1,1,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14964,17254,2114,12850
2,2,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14427,16717,2136,12291
3,3,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13372,15665,2873,10499
4,4,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13903,16193,1445,12458
5,5,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16019,18309,2142,13877
6,6,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15477,17772,2187,13290
7,7,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14692,16980,2198,12494
8,8,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14161,16454,1762,12399
9,9,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13363,15661,2173,11190
10,10,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15494,17793,2208,13286
11,11,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13375,15671,2883,10492
12,12,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13627,15925,2149,11478
13,13,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15757,18049,2193,13564
14,14,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15771,18060,2253,13518
15,15,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15483,17779,2221,13262
16,16,3054,SFML,default,SFML_default,fullscreen,3,getpixel,12842,15140,2252,10590
17,17,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16547,18836,2161,14386
18,18,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16817,18846,2179,14638
19,19,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13637,15928,1388,12249
20,20,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16014,18311,2190,13824
21,21,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16550,18847,2190,14360
22,22,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15225,17522,2223,13002
23,23,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13113,15149,2474,10639
24,24,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15225,17525,2168,13057
25,25,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15489,17788,2218,13271
26,26,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14168,16194,1541,12627
27,27,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15750,18048,2127,13623
28,28,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16015,18316,2202,13813
29,29,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13895,16194,1583,12312
30,30,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13103,15404,2612,10491
31,31,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16292,18592,2218,14074
32,32,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16545,19105,2250,14295
33,33,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13644,15941,1160,12484
34,34,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13115,15412,2524,10591
35,35,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16811,19109,2083,14728
36,36,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14971,17271,2232,12739
37,37,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14691,16989,2141,12550
38,38,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14436,16735,2054,12382
39,39,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13369,15658,2909,10460
40,40,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14689,16987,2199,12490
41,41,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16293,18583,2231,14062
42,42,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14162,16458,1964,12198
43,43,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16553,18841,2133,14420
44,44,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14172,16461,1702,12470
45,45,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14443,16732,1980,12463
46,46,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16556,18852,2200,14356
47,47,3054,SFML,default,SFML_default,fullscreen,3,getpixel,12574,14872,2143,10431
48,48,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14445,16470,2245,12200
49,49,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13381,15672,2081,11300
50,50,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13116,15404,2735,10381
51,51,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15762,18051,2116,13646
52,52,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13901,16191,1582,12319
53,53,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15234,17521,2239,12995
54,54,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14444,16737,2132,12312
55,55,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15507,17800,2133,13374
56,56,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13116,15404,2539,10577
57,57,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14965,17257,2105,12860
58,58,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16549,18841,2207,14342
59,59,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15493,17786,2217,13276
60,60,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16281,18569,2158,14123
61,61,3054,SFML,default,SFML_default,fullscreen,3,getpixel,12839,15131,2348,10491
62,62,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13375,15667,891,12484
63,63,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14960,16987,2173,12787
64,64,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15759,18052,2186,13573
65,65,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14962,17251,2106,12856
66,66,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16821,19116,2147,14674
67,67,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14161,16451,2233,11928
68,68,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13905,16194,1388,12517
69,69,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16280,18570,2177,14103
70,70,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15494,17791,2241,13253
71,71,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16824,19116,2283,14541
72,72,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13639,15935,1135,12504
73,73,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15224,17514,2151,13073
74,74,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13092,15385,2188,10904
75,75,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13379,15670,1118,12261
76,76,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16820,19113,2116,14704
77,77,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15772,18061,2249,13523
78,78,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13640,15931,2249,11391
79,79,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13902,16196,1367,12535
80,80,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16291,18581,2170,14121
81,81,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15490,17782,2241,13249
82,82,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13353,15646,2920,10433
83,83,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14956,17247,2204,12752
84,84,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15224,17513,2197,13027
85,85,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13895,16448,1633,12262
86,86,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15492,17780,2236,13256
87,87,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15749,18039,2114,13635
88,88,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13902,16195,2201,11701
89,89,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13369,15662,914,12455
90,90,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14689,17252,2146,12543
91,91,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13909,16204,1454,12455
92,92,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16556,18847,2129,14427
93,93,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14152,16446,2227,11925
94,94,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14161,16453,1702,12459
95,95,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16280,18572,2193,14087
96,96,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14414,16708,2062,12352
97,97,3054,SFML,default,SFML_default,fullscreen,3,getpixel,14167,16197,1751,12416
98,98,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15238,17533,2181,13057
99,99,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16545,18573,2192,14353
100,100,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13365,15656,2247,11118
101,101,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13903,16204,1467,12436
102,102,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15224,17515,2194,13030
103,103,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16823,19125,2239,14584
104,104,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13359,15656,2860,10499
105,105,3054,SFML,default,SFML_default,fullscreen,3,getpixel,15230,17525,2105,13125
106,106,3054,SFML,default,SFML_default,fullscreen,3,getpixel,12845,15141,2175,10670
107,107,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16818,19116,2097,14721
108,108,3054,SFML,default,SFML_default,fullscreen,3,getpixel,16813,19110,2123,14690
109,109,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13625,15923,2226,11399
110,110,3054,SFML,default,SFML_default,fullscreen,3,getpixel,13897,16198,1500,12397
