,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,5604,6373,2448,3156
1,1,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,5424,6363,3085,2339
2,2,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,5602,6371,2131,3471
3,3,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,5604,6543,2216,3388
4,4,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,5083,5852,2840,2243
5,5,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,6116,6886,2131,3985
6,6,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,4400,7231,2095,2305
7,7,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,5088,5857,2706,2382
8,8,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,5773,6711,2088,3685
9,9,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,4922,5691,2040,2882
10,10,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,4048,4987,1921,2127
11,11,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,4396,7232,2260,2136
12,12,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,4913,5852,2016,2897
13,13,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,6807,7747,2090,4717
14,14,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,5256,6024,2179,3077
15,15,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,3708,4650,1534,2174
16,16,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,4914,5859,2041,2873
17,17,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,6283,7221,2074,4209
18,18,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,4735,5508,2376,2359
19,19,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,6293,7403,2166,4127
20,20,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,5602,6541,1470,4132
21,21,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,4393,7227,2080,2313
22,22,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,5086,6027,2100,2986
23,23,2309,SDL2_OpenGLES2,image,SDL2_OpenGLES2_image,fullscreen,3,getdbits,5604,6374,1355,4249
