,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,159323,347,154980,4343
1,1,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,159204,1032,156653,2551
2,2,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,163364,1038,157449,5915
3,3,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,158523,520,154294,4229
4,4,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,159638,171,153394,6244
5,5,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,168436,853,162112,6324
6,6,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,162211,340,155804,6407
7,7,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,160442,1376,156101,4341
8,8,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,158564,2412,154677,3887
9,9,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,162759,690,156055,6704
10,10,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,159844,1553,153266,6578
11,11,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,160652,349,154779,5873
12,12,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,158760,2760,154546,4214
13,13,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,160270,346,155937,4333
14,14,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,159831,348,155295,4536
15,15,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,161209,170,158139,3070
16,16,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,161170,682,158674,2496
17,17,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,160853,861,157855,2998
18,18,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,160399,866,154251,6148
19,19,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,164031,865,159204,4827
20,20,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,159781,864,156896,2885
21,21,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,160767,861,155111,5656
22,22,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,160955,520,154503,6452
23,23,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,158939,690,155771,3168
24,24,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,161517,683,155009,6508
25,25,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,159813,1211,153891,5922
26,26,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,160507,683,154681,5826
27,27,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,159971,345,157141,2830
28,28,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,159668,170,153277,6391
29,29,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,159936,862,155889,4047
30,30,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,160022,690,153462,6560
31,31,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,160276,1544,153968,6308
32,32,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,161987,170,155665,6322
33,33,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,160147,171,156161,3986
34,34,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,159843,520,154402,5441
35,35,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,160893,691,154718,6175
36,36,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,159945,521,153737,6208
37,37,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,163708,341,157296,6412
38,38,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,161145,1381,156997,4148
39,39,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,159394,176,155387,4007
40,40,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,160972,1211,156910,4062
41,41,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,164735,170,161508,3227
42,42,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,160125,690,154079,6046
43,43,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,163197,1208,156981,6216
44,44,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,160781,1894,154863,5918
45,45,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,159632,341,153860,5772
46,46,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,159964,1723,155648,4316
47,47,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,159131,349,154979,4152
48,48,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,161003,1213,156720,4283
49,49,3673,win32,rects,win32_rects,no_fullscreen,2,getpixel,160158,691,153720,6438
