,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,FLTK,default,FLTK_default,windup,True,windup_True,12992,6116,6876
1,1,FLTK,default,FLTK_default,windup,True,windup_True,11648,5036,6612
2,2,FLTK,default,FLTK_default,windup,True,windup_True,11764,4508,7256
3,3,FLTK,default,FLTK_default,windup,True,windup_True,11320,5084,6236
4,4,FLTK,default,FLTK_default,windup,True,windup_True,11100,5132,5968
5,5,FLTK,default,FLTK_default,windup,True,windup_True,11308,4819,6489
6,6,FLTK,default,FLTK_default,windup,True,windup_True,12884,5986,6898
7,7,FLTK,default,FLTK_default,windup,True,windup_True,11420,5190,6230
8,8,FLTK,default,FLTK_default,windup,True,windup_True,12096,4876,7220
9,9,FLTK,default,FLTK_default,windup,True,windup_True,12548,5920,6628
10,10,FLTK,default,FLTK_default,windup,True,windup_True,12548,6067,6481
11,11,FLTK,default,FLTK_default,windup,True,windup_True,13444,6142,7302
12,12,FLTK,default,FLTK_default,windup,True,windup_True,13444,6340,7104
13,13,FLTK,default,FLTK_default,windup,True,windup_True,12440,5700,6740
14,14,FLTK,default,FLTK_default,windup,True,windup_True,11536,4911,6625
15,15,FLTK,default,FLTK_default,windup,True,windup_True,11328,4888,6440
16,16,FLTK,default,FLTK_default,windup,True,windup_True,12108,6610,5498
17,17,FLTK,default,FLTK_default,windup,True,windup_True,13900,6400,7500
18,18,FLTK,default,FLTK_default,windup,True,windup_True,11652,6469,5183
19,19,FLTK,default,FLTK_default,windup,True,windup_True,13108,7201,5907
20,20,FLTK,default,FLTK_default,windup,True,windup_True,14560,7451,7109
21,21,FLTK,default,FLTK_default,windup,True,windup_True,13668,7674,5994
22,22,FLTK,default,FLTK_default,windup,True,windup_True,13104,7456,5648
23,23,FLTK,default,FLTK_default,windup,True,windup_True,13784,7378,6406
24,24,FLTK,default,FLTK_default,windup,True,windup_True,11420,6086,5334
25,25,FLTK,default,FLTK_default,windup,True,windup_True,13444,7692,5752
26,26,FLTK,default,FLTK_default,windup,True,windup_True,13896,6715,7181
27,27,FLTK,default,FLTK_default,windup,True,windup_True,14228,6665,7563
28,28,FLTK,default,FLTK_default,windup,True,windup_True,13560,7108,6452
29,29,FLTK,default,FLTK_default,windup,True,windup_True,12104,6644,5460
30,30,FLTK,default,FLTK_default,windup,True,windup_True,13896,7213,6683
31,31,FLTK,default,FLTK_default,windup,True,windup_True,12544,9865,2679
32,32,FLTK,default,FLTK_default,windup,True,windup_True,14568,7370,7198
33,33,FLTK,default,FLTK_default,windup,True,windup_True,12768,7198,5570
34,34,FLTK,default,FLTK_default,windup,True,windup_True,15236,8165,7071
35,35,FLTK,default,FLTK_default,windup,True,windup_True,13668,7333,6335
36,36,FLTK,default,FLTK_default,windup,True,windup_True,11544,6176,5368
37,37,FLTK,default,FLTK_default,windup,True,windup_True,12996,7148,5848
38,38,FLTK,default,FLTK_default,windup,True,windup_True,14352,6998,7354
39,39,FLTK,default,FLTK_default,windup,True,windup_True,13560,7462,6098
40,40,FLTK,default,FLTK_default,windup,True,windup_True,11540,6028,5512
41,41,FLTK,default,FLTK_default,windup,True,windup_True,13452,6273,7179
42,42,FLTK,default,FLTK_default,windup,True,windup_True,11200,6088,5112
43,43,FLTK,default,FLTK_default,windup,True,windup_True,13332,7398,5934
44,44,FLTK,default,FLTK_default,windup,True,windup_True,12100,5841,6259
45,45,FLTK,default,FLTK_default,windup,True,windup_True,12660,5728,6932
46,46,FLTK,default,FLTK_default,windup,True,windup_True,12444,6082,6362
47,47,FLTK,default,FLTK_default,windup,True,windup_True,12772,6548,6224
48,48,FLTK,default,FLTK_default,windup,True,windup_True,13448,7612,5836
49,49,FLTK,default,FLTK_default,windup,True,windup_True,14784,7203,7581
