,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,13328,12094,1234
1,1,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,14560,10889,3671
2,2,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,12436,8813,3623
3,3,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,14680,14443,237
4,4,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,13900,12748,1152
5,5,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,17372,16701,671
6,6,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,12096,11432,664
7,7,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,13452,12604,848
8,8,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,15244,14400,844
9,9,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,17820,14823,2997
10,10,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,13668,13256,412
11,11,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,15136,13988,1148
12,12,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,13112,12812,300
13,13,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,13884,13471,413
14,14,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,15460,14459,1001
15,15,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,16924,15908,1016
16,16,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,13220,12927,293
17,17,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,12776,12154,622
18,18,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,18144,14857,3287
19,19,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,13216,12996,220
20,20,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,16692,16125,567
21,21,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,15564,15543,21
22,22,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,18492,15473,3019
23,23,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,13548,12665,883
24,24,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,15244,14448,796
25,25,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,14684,14269,415
26,26,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,17364,14666,2698
27,27,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,14908,14392,516
28,28,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,21856,17345,4511
29,29,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,14668,14165,503
30,30,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,13676,10353,3323
31,31,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,17356,16809,547
32,32,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,14568,13803,765
33,33,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,14900,14526,374
34,34,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,16804,15864,940
35,35,JavaSwing,rects,JavaSwing_rects,windup,True,windup_True,17368,18460,-1092
